global,time,se_prm_tchr
world,1970,14300965
world,1971,14599792
world,1972,15302541
world,1973,15827891
world,1974,16277946
world,1975,16743671
world,1976,17155078
world,1977,17420846
world,1978,17601152
world,1979,17910892
world,1980,18534788
world,1981,18965250
world,1982,19461060
world,1983,19873204
world,1984,20173352
world,1985,20346938
world,1986,20790332
world,1987,20787468
world,1988,21172104
world,1989,21786086
world,1990,22003504
world,1991,22284880
world,1992,22547234
world,1993,22937032
world,1994,23295870
world,1995,23712400
world,1996,24005092
world,1997,24211228
world,1998,24475480
world,1999,24625086
world,2000,24993658
world,2001,25199522
world,2002,25166934
world,2003,25955560
world,2004,26608512
world,2005,26899108
world,2006,27107698
world,2007,27537410
world,2008,27786180
world,2009,28158870
world,2010,28644658
world,2011,29143406
world,2012,29387108
world,2013,30517070
world,2014,30809254
world,2015,31228198
world,2016,31912294
world,2017,31867238
world,2018,31962270
world,2019,32652932
