geo,time,sl_tlf_advn_zs
afg,2014,84.29
afg,2017,64.68
afg,2020,57.75
ago,2004,89
ago,2009,69.13
ago,2011,89.11
ago,2014,68.66
alb,2007,79.19
alb,2008,78.9
alb,2009,81.3
alb,2010,77.97
alb,2011,74.52
alb,2012,73.06
alb,2013,73.43
alb,2014,74.38
alb,2015,73.27
alb,2016,74.13
alb,2017,73.22
alb,2018,62.12
alb,2019,62.7
are,2017,81.4
are,2018,80.24
arg,2004,84.14
arg,2005,84.37
arg,2006,84.95
arg,2008,83.85
arg,2009,83.88
arg,2010,83.84
arg,2011,83.64
arg,2012,82.47
arg,2013,82.65
arg,2014,82.21
arg,2017,79.03
arg,2018,79.58
arg,2019,80.41
arg,2020,77.24
arm,2007,57.22
arm,2008,70.5
arm,2009,60.81
arm,2010,71.51
arm,2011,69.11
arm,2012,64.98
arm,2013,70.32
arm,2014,74.51
arm,2015,76.86
arm,2016,74.62
arm,2017,73.61
arm,2018,66.43
arm,2019,67.93
arm,2020,64.51
aus,2009,86.72
aus,2010,86.33
aus,2011,86.64
aus,2012,86.86
aus,2013,82.58
aus,2014,81.28
aus,2015,82.09
aus,2016,81.42
aus,2017,81.8
aut,1995,85.12
aut,1996,82.46
aut,1997,83.65
aut,1998,81.31
aut,1999,76.25
aut,2000,77.69
aut,2001,77.82
aut,2002,76.54
aut,2003,76.55
aut,2004,74.52
aut,2005,75.97
aut,2006,76.37
aut,2007,77.21
aut,2008,75.57
aut,2009,75.81
aut,2010,75.25
aut,2011,75.91
aut,2012,76.6
aut,2013,76.91
aut,2014,76.8
aut,2015,76.89
aut,2016,76.88
aut,2017,77.42
aut,2018,76.71
aut,2019,76.7
aut,2020,76.86
bdi,2014,76.08
bel,1992,82.55
bel,1993,81.64
bel,1994,81.76
bel,1995,81.71
bel,1996,81.56
bel,1997,81.55
bel,1998,80.2
bel,1999,81.57
bel,2000,81.44
bel,2001,79.82
bel,2002,78.88
bel,2003,78.97
bel,2004,80.14
bel,2005,79.5
bel,2006,78.6
bel,2007,79.24
bel,2008,78.3
bel,2009,77.57
bel,2010,76.92
bel,2011,76.03
bel,2012,75.84
bel,2013,75.81
bel,2014,75.68
bel,2015,74.92
bel,2016,74.96
bel,2017,75.32
bel,2018,75.07
bel,2019,74.82
bel,2020,74.91
ben,2011,66.17
ben,2018,42.43
bfa,2014,58.22
bfa,2018,71.11
bgd,2006,72.58
bgd,2010,85.84
bgd,2013,80.09
bgd,2016,77.52
bgd,2017,79.64
bgr,2000,74.58
bgr,2001,73.48
bgr,2002,73.15
bgr,2003,73.12
bgr,2004,73.88
bgr,2005,72.38
bgr,2006,73.32
bgr,2007,74.39
bgr,2008,75.49
bgr,2009,74.85
bgr,2010,74.6
bgr,2011,73.24
bgr,2012,73.33
bgr,2013,73.49
bgr,2014,73.59
bgr,2015,74.28
bgr,2016,73.75
bgr,2017,74.52
bgr,2018,74.3
bgr,2019,75.72
bgr,2020,75.08
bih,2006,72.95
bih,2007,79.67
bih,2008,80.46
bih,2009,81.26
bih,2010,79.74
bih,2011,83.71
bih,2012,79.76
bih,2013,81.24
bih,2014,81.38
bih,2015,78.96
bih,2016,78.92
bih,2017,77.48
bih,2018,76.56
bih,2019,74.6
bih,2020,79.67
blr,2020,83.37
blz,2012,87.71
blz,2013,83.75
blz,2014,85.71
