global,time,dt_oda_oatl_kd
world,1990,3464080078.125
world,1991,9865650390.625
world,1992,6024049804.6875
world,1993,5499709960.9375
world,1994,7579750000
world,1995,8791509765.625
world,1996,5972680175.78125
world,1997,7485589843.75
world,1998,9279379882.8125
world,1999,9459929687.5
world,2000,10719419921.875
world,2001,9400330078.125
world,2002,8306219726.5625
world,2003,8392120117.1875
world,2004,9622070312.5
