geo,time,per_allsp_cov_pop_tot
afg,2007,15.73311
afg,2011,8.82058
ago,2018,21.57588
alb,2008,67.72739
alb,2012,54.88551
arg,2006,33.33583
arg,2010,37.80101
arg,2011,42.13773
arg,2012,41.05499
arg,2013,46.3608
arg,2014,44.69379
arg,2016,46.77458
arg,2017,50.68988
arg,2018,50.3744
arg,2019,51.32391
arm,2008,60.86073
arm,2009,60.7879
arm,2010,65.46785
arm,2011,63.57598
arm,2012,65.03766
arm,2013,65.04405
arm,2014,66.76265
arm,2015,66.57049
arm,2016,67.53894
arm,2017,71.05507
arm,2018,67.01848
aze,2015,64.64362
ben,2003,6.62698
bfa,2003,34.26921
bfa,2014,4.28044
bfa,2018,56.98152
bgd,2005,13.98317
bgd,2010,19.62982
bgd,2016,40.9912
bgr,2007,73.60793
bih,2007,57.62292
bih,2015,50.34959
blr,2008,74.96094
blr,2009,73.86217
blr,2010,74.35017
blr,2012,77.24999
blr,2013,75.05252
blr,2014,75.39988
blr,2015,75.36997
blr,2016,76.35101
blr,2017,76.39178
blr,2018,73.32902
blr,2019,71.87002
blz,2009,39.38702
bol,2006,16.13644
bol,2007,58.35292
bol,2008,73.44051
bol,2009,79.08309
bol,2011,76.47873
bol,2012,76.75464
bol,2014,78.1962
bol,2015,76.69851
bol,2016,84.3385
bol,2017,83.02119
bol,2018,83.61143
bol,2019,77.98964
bra,2006,53.93267
bra,2009,45.46018
bra,2011,45.34388
bra,2012,46.37658
bra,2015,53.80871
bra,2016,50.74891
bra,2017,50.14241
bra,2018,50.7094
bra,2019,50.31267
btn,2007,2.3972
btn,2012,2.91698
btn,2017,0.89294
bwa,2009,73.77427
bwa,2015,55.44381
chl,2006,89.68931
chl,2009,90.44321
chl,2011,83.43314
chl,2013,88.54116
chl,2015,87.72247
chl,2017,92.28807
chn,2013,63.053
civ,2002,25.30079
civ,2008,32.39916
civ,2015,32.86267
cmr,2007,4.04191
cmr,2014,5.01345
cod,2004,1.51236
cod,2012,11.05739
cog,2005,8.9148
col,2010,52.30339
col,2011,51.59691
col,2012,48.8641
col,2014,65.67668
col,2015,36.25845
col,2016,34.44578
col,2017,33.42258
col,2018,32.29325
col,2019,31.41673
com,2004,1.98288
cpv,2007,29.67965
cri,2008,70.16919
cri,2009,72.67794
cri,2010,67.15198
cri,2011,67.94582
cri,2012,67.33135
cri,2014,66.63173
cri,2015,72.01258
cri,2016,73.20826
cri,2017,74.78003
cri,2018,73.96391
cri,2019,73.56694
dji,2002,2.94569
dji,2012,20.94194
dma,2002,20.83975
dom,2007,15.23819
dom,2008,23.14573
dom,2009,29.70393
dom,2010,32.72715
dom,2011,31.276
dom,2012,35.54825
dom,2013,33.04243
dom,2014,34.5342
dom,2015,31.04564
dom,2016,59.13892
dom,2017,52.21623
dom,2018,53.17432
dom,2019,49.55643
ecu,2008,63.0927
ecu,2010,70.41634
ecu,2011,44.92821
ecu,2012,73.97964
ecu,2014,76.33446
ecu,2015,74.9681
ecu,2016,72.57548
ecu,2017,74.40946
ecu,2018,31.99718
ecu,2019,33.56042
egy,2008,55.45321
eth,2004,0.51447
eth,2010,13.24795
eth,2015,23.15086
eth,2018,21.66356
fji,2008,14.33352
fji,2013,37.11095
fsm,2000,22.29539
gab,2005,51.83428
gab,2017,48.37543
geo,2011,64.65342
geo,2016,64.26904
geo,2018,63.5544
gha,2005,5.6778
gha,2012,63.67291
gha,2016,56.56183
gin,2012,3.89322
gmb,1998,5.06521
gmb,2010,8.30704
gmb,2015,2.95458
gtm,2006,50.58905
gtm,2011,63.81366
gtm,2014,63.26831
hnd,2008,51.48208
hnd,2009,50.48132
hnd,2010,53.24197
hnd,2011,50.90285
hnd,2013,55.79375
hnd,2015,45.89312
hnd,2016,35.92024
hnd,2017,43.53632
hrv,2008,67.98576
hrv,2010,70.71854
hrv,2011,70.47809
hrv,2014,71.06271
hti,2001,0.75339
hti,2012,19.46214
hun,2007,89.44499
idn,2009,41.60401
idn,2011,52.80325
idn,2012,55.07542
idn,2014,66.07379
idn,2015,57.41294
idn,2017,54.07381
idn,2018,57.12564
idn,2019,44.58003
ind,2004,27.22058
ind,2009,21.45403
ind,2011,93.9888
irq,2006,86.01429
irq,2012,83.55954
jam,2002,32.64992
jam,2010,57.94349
jam,2017,52.77096
jor,2006,81.94829
jor,2010,73.19309
kaz,2007,45.77772
kaz,2010,50.65705
kaz,2014,67.35576
kaz,2015,50.21454
kaz,2017,49.21031
ken,2005,21.57822
ken,2015,27.40089
kgz,2006,36.62832
kgz,2011,59.97547
kgz,2012,58.31822
kgz,2013,57.86213
khm,2008,2.64562
khm,2013,3.08597
kir,2006,4.57146
kos,2006,25.49997
kos,2011,44.41085
kos,2012,45.36678
kos,2013,44.52739
lao,2007,1.65253
lao,2018,2.15922
lbn,2004,54.56076
lbr,2007,33.83068
lbr,2014,7.39837
lbr,2016,14.25467
lka,2006,35.61105
lka,2009,29.83174
lka,2012,33.13001
lka,2016,35.1407
lso,2010,6.32261
lso,2017,71.66855
ltu,2008,81.90531
lva,2008,78.08068
lva,2009,80.30125
mar,2009,41.01336
mda,2010,56.55593
mda,2012,56.58826
mda,2013,56.59123
mda,2018,60.10607
mdg,2010,5.69943
mdv,2004,6.5401
mdv,2009,29.30851
mdv,2016,27.54905
mex,2008,60.95985
mex,2010,71.00353
mex,2012,72.23022
mex,2014,65.68297
mex,2016,39.57135
mex,2018,38.44753
mhl,1999,22.95052
mli,2009,1.3058
mmr,2009,2.33733
