geo,time,sp_dyn_le00_in
abw,1960,65.662
abw,1961,66.074
abw,1962,66.444
abw,1963,66.787
abw,1964,67.113
abw,1965,67.435
abw,1966,67.762
abw,1967,68.095
abw,1968,68.436
abw,1969,68.784
abw,1970,69.14
abw,1971,69.498
abw,1972,69.851
abw,1973,70.191
abw,1974,70.519
abw,1975,70.833
abw,1976,71.14
abw,1977,71.441
abw,1978,71.736
abw,1979,72.023
abw,1980,72.293
abw,1981,72.538
abw,1982,72.751
abw,1983,72.929
abw,1984,73.071
abw,1985,73.181
abw,1986,73.262
abw,1987,73.325
abw,1988,73.378
abw,1989,73.425
abw,1990,73.468
abw,1991,73.509
abw,1992,73.544
abw,1993,73.573
abw,1994,73.598
abw,1995,73.622
abw,1996,73.646
abw,1997,73.671
abw,1998,73.7
abw,1999,73.738
abw,2000,73.787
abw,2001,73.853
abw,2002,73.937
abw,2003,74.038
abw,2004,74.156
abw,2005,74.287
abw,2006,74.429
abw,2007,74.576
abw,2008,74.725
abw,2009,74.872
abw,2010,75.017
abw,2011,75.158
abw,2012,75.299
abw,2013,75.441
abw,2014,75.583
abw,2015,75.725
abw,2016,75.868
abw,2017,76.01
abw,2018,76.152
abw,2019,76.293
abw,2020,76.434
afg,1960,32.446
afg,1961,32.962
afg,1962,33.471
afg,1963,33.971
afg,1964,34.463
afg,1965,34.948
afg,1966,35.43
afg,1967,35.914
afg,1968,36.403
afg,1969,36.9
afg,1970,37.409
afg,1971,37.93
afg,1972,38.461
afg,1973,39.003
afg,1974,39.558
afg,1975,40.128
afg,1976,40.715
afg,1977,41.32
afg,1978,41.944
afg,1979,42.585
afg,1980,43.244
afg,1981,43.923
afg,1982,44.617
afg,1983,45.324
afg,1984,46.04
afg,1985,46.761
afg,1986,47.486
afg,1987,48.211
afg,1988,48.93
afg,1989,49.64
afg,1990,50.331
afg,1991,50.999
afg,1992,51.641
afg,1993,52.256
afg,1994,52.842
afg,1995,53.398
afg,1996,53.924
afg,1997,54.424
afg,1998,54.906
afg,1999,55.376
afg,2000,55.841
afg,2001,56.308
afg,2002,56.784
afg,2003,57.271
afg,2004,57.772
afg,2005,58.29
afg,2006,58.826
afg,2007,59.375
afg,2008,59.93
afg,2009,60.484
afg,2010,61.028
afg,2011,61.553
afg,2012,62.054
afg,2013,62.525
afg,2014,62.966
afg,2015,63.377
afg,2016,63.763
afg,2017,64.13
afg,2018,64.486
afg,2019,64.833
afg,2020,65.173
ago,1960,37.524
ago,1961,37.811
ago,1962,38.113
ago,1963,38.43
ago,1964,38.76
ago,1965,39.102
ago,1966,39.454
ago,1967,39.813
ago,1968,40.178
ago,1969,40.546
ago,1970,40.914
ago,1971,41.282
ago,1972,41.65
ago,1973,42.016
ago,1974,42.374
ago,1975,42.721
ago,1976,43.053
ago,1977,43.367
ago,1978,43.66
ago,1979,43.931
ago,1980,44.178
ago,1981,44.404
ago,1982,44.611
ago,1983,44.799
ago,1984,44.966
ago,1985,45.107
ago,1986,45.213
ago,1987,45.283
ago,1988,45.317
ago,1989,45.324
ago,1990,45.306
ago,1991,45.271
ago,1992,45.23
ago,1993,45.201
ago,1994,45.201
ago,1995,45.246
ago,1996,45.35
ago,1997,45.519
ago,1998,45.763
ago,1999,46.093
ago,2000,46.522
ago,2001,47.059
ago,2002,47.702
ago,2003,48.44
ago,2004,49.263
ago,2005,50.165
ago,2006,51.143
ago,2007,52.177
ago,2008,53.243
ago,2009,54.311
ago,2010,55.35
ago,2011,56.33
ago,2012,57.236
ago,2013,58.054
ago,2014,58.776
ago,2015,59.398
ago,2016,59.925
ago,2017,60.379
ago,2018,60.782
ago,2019,61.147
ago,2020,61.487
alb,1960,62.283
alb,1961,63.301
alb,1962,64.19
alb,1963,64.914
alb,1964,65.463
alb,1965,65.85
alb,1966,66.11
alb,1967,66.304
alb,1968,66.487
alb,1969,66.689
alb,1970,66.935
alb,1971,67.237
alb,1972,67.582
alb,1973,67.953
alb,1974,68.343
alb,1975,68.736
alb,1976,69.11
alb,1977,69.448
alb,1978,69.742
alb,1979,69.991
alb,1980,70.208
alb,1981,70.416
alb,1982,70.635
alb,1983,70.876
alb,1984,71.134
alb,1985,71.388
alb,1986,71.605
alb,1987,71.76
alb,1988,71.843
alb,1989,71.86
alb,1990,71.836
alb,1991,71.803
alb,1992,71.802
alb,1993,71.86
alb,1994,71.992
alb,1995,72.205
alb,1996,72.495
alb,1997,72.838
alb,1998,73.208
alb,1999,73.587
alb,2000,73.955
alb,2001,74.288
alb,2002,74.579
alb,2003,74.828
alb,2004,75.039
alb,2005,75.228
alb,2006,75.423
alb,2007,75.646
alb,2008,75.912
alb,2009,76.221
alb,2010,76.562
alb,2011,76.914
alb,2012,77.252
alb,2013,77.554
alb,2014,77.813
alb,2015,78.025
alb,2016,78.194
alb,2017,78.333
alb,2018,78.458
alb,2019,78.573
alb,2020,78.686
are,1960,51.537
are,1961,52.56
are,1962,53.573
are,1963,54.572
are,1964,55.555
are,1965,56.523
are,1966,57.482
are,1967,58.432
are,1968,59.375
are,1969,60.304
are,1970,61.215
are,1971,62.099
are,1972,62.949
are,1973,63.759
are,1974,64.525
are,1975,65.244
are,1976,65.916
are,1977,66.545
are,1978,67.137
are,1979,67.692
are,1980,68.213
are,1981,68.701
are,1982,69.158
are,1983,69.585
are,1984,69.986
are,1985,70.363
are,1986,70.717
are,1987,71.049
are,1988,71.361
are,1989,71.657
are,1990,71.939
are,1991,72.208
are,1992,72.466
are,1993,72.715
are,1994,72.957
are,1995,73.194
are,1996,73.428
are,1997,73.657
are,1998,73.883
are,1999,74.106
are,2000,74.327
are,2001,74.544
are,2002,74.758
are,2003,74.968
are,2004,75.174
are,2005,75.376
are,2006,75.573
are,2007,75.767
are,2008,75.957
are,2009,76.145
are,2010,76.332
are,2011,76.521
are,2012,76.711
are,2013,76.903
are,2014,77.095
are,2015,77.285
are,2016,77.47
are,2017,77.647
are,2018,77.814
are,2019,77.972
are,2020,78.12
arg,1960,65.055
arg,1961,65.176
arg,1962,65.269
arg,1963,65.348
arg,1964,65.426
arg,1965,65.518
arg,1966,65.64
arg,1967,65.796
arg,1968,65.989
arg,1969,66.219
arg,1970,66.483
arg,1971,66.774
arg,1972,67.078
arg,1973,67.383
arg,1974,67.686
arg,1975,67.985
arg,1976,68.283
arg,1977,68.585
arg,1978,68.891
arg,1979,69.197
arg,1980,69.496
arg,1981,69.777
arg,1982,70.033
arg,1983,70.262
arg,1984,70.466
arg,1985,70.65
arg,1986,70.825
arg,1987,71.001
arg,1988,71.186
arg,1989,71.384
arg,1990,71.594
arg,1991,71.813
arg,1992,72.032
arg,1993,72.246
arg,1994,72.453
arg,1995,72.651
arg,1996,72.843
arg,1997,73.029
arg,1998,73.213
arg,1999,73.396
arg,2000,73.576
arg,2001,73.755
arg,2002,73.932
arg,2003,74.107
arg,2004,74.28
arg,2005,74.451
arg,2006,74.62
arg,2007,74.787
arg,2008,74.952
arg,2009,75.116
arg,2010,75.278
arg,2011,75.439
arg,2012,75.598
arg,2013,75.756
arg,2014,75.913
arg,2015,76.068
arg,2016,76.221
arg,2017,76.372
arg,2018,76.52
arg,2019,76.667
arg,2020,76.813
arm,1960,65.972
arm,1961,66.403
arm,1962,66.838
arm,1963,67.277
arm,1964,67.716
arm,1965,68.153
arm,1966,68.588
arm,1967,69.016
arm,1968,69.427
arm,1969,69.809
arm,1970,70.144
arm,1971,70.412
arm,1972,70.605
arm,1973,70.723
arm,1974,70.775
arm,1975,70.783
arm,1976,70.783
arm,1977,70.798
arm,1978,70.838
arm,1979,70.897
arm,1980,70.937
arm,1981,70.91
arm,1982,70.776
arm,1983,70.519
arm,1984,70.15
arm,1985,69.698
arm,1986,69.205
arm,1987,68.732
arm,1988,68.332
arm,1989,68.038
arm,1990,67.879
arm,1991,67.87
arm,1992,67.99
arm,1993,68.218
arm,1994,68.538
arm,1995,68.938
arm,1996,69.404
arm,1997,69.912
arm,1998,70.434
arm,1999,70.944
arm,2000,71.409
arm,2001,71.8
arm,2002,72.112
arm,2003,72.348
arm,2004,72.513
arm,2005,72.626
arm,2006,72.716
arm,2007,72.815
arm,2008,72.946
arm,2009,73.118
arm,2010,73.331
arm,2011,73.572
arm,2012,73.82
arm,2013,74.056
arm,2014,74.273
arm,2015,74.467
arm,2016,74.64
arm,2017,74.797
arm,2018,74.945
arm,2019,75.087
arm,2020,75.224
atg,1960,61.968
atg,1961,62.523
atg,1962,63.049
atg,1963,63.54
atg,1964,63.992
atg,1965,64.401
atg,1966,64.762
atg,1967,65.081
atg,1968,65.363
atg,1969,65.616
atg,1970,65.847
atg,1971,66.066
atg,1972,66.28
atg,1973,66.498
atg,1974,66.727
atg,1975,66.975
atg,1976,67.244
atg,1977,67.533
atg,1978,67.837
atg,1979,68.154
atg,1980,68.482
atg,1981,68.818
atg,1982,69.156
atg,1983,69.491
atg,1984,69.82
atg,1985,70.137
atg,1986,70.44
atg,1987,70.728
atg,1988,71.004
atg,1989,71.267
atg,1990,71.52
atg,1991,71.765
atg,1992,72.006
atg,1993,72.247
atg,1994,72.489
atg,1995,72.732
atg,1996,72.977
atg,1997,73.222
atg,1998,73.465
atg,1999,73.705
atg,2000,73.94
atg,2001,74.171
atg,2002,74.395
atg,2003,74.613
atg,2004,74.821
atg,2005,75.019
atg,2006,75.204
atg,2007,75.376
atg,2008,75.535
atg,2009,75.683
atg,2010,75.823
atg,2011,75.956
atg,2012,76.087
atg,2013,76.218
atg,2014,76.349
atg,2015,76.483
atg,2016,76.617
atg,2017,76.752
atg,2018,76.885
atg,2019,77.016
atg,2020,77.146
aus,1960,70.81707
aus,1961,70.97317
aus,1962,70.94244
aus,1963,70.91171
aus,1964,70.88098
aus,1965,70.85024
aus,1966,70.81951
aus,1967,70.86927
aus,1968,70.91902
aus,1969,70.96878
aus,1970,71.01854
aus,1971,71.06829
aus,1972,71.45756
aus,1973,71.84683
aus,1974,72.2361
aus,1975,72.62537
aus,1976,73.01463
aus,1977,73.34439
aus,1978,73.67415
aus,1979,74.0039
aus,1980,74.33366
aus,1981,74.66341
aus,1982,74.90488
aus,1983,75.14634
aus,1984,75.3878
aus,1985,75.62927
aus,1986,75.87073
aus,1987,76.15171
aus,1988,76.43268
aus,1989,76.71366
aus,1990,76.99463
aus,1991,77.27561
aus,1992,77.37805
aus,1993,77.87805
aus,1994,77.87805
aus,1995,77.82927
aus,1996,78.07805
aus,1997,78.48049
aus,1998,78.63171
aus,1999,78.93171
aus,2000,79.23415
aus,2001,79.63415
aus,2002,79.93659
aus,2003,80.23902
aus,2004,80.49024
aus,2005,80.84146
aus,2006,81.04146
aus,2007,81.29268
aus,2008,81.39512
aus,2009,81.5439
aus,2010,81.69512
aus,2011,81.89512
aus,2012,82.04634
aus,2013,82.14878
aus,2014,82.3
aus,2015,82.4
aus,2016,82.44878
aus,2017,82.5
aus,2018,82.74878
aus,2019,82.9
aus,2020,83.2
aut,1960,68.58561
aut,1961,69.57732
aut,1962,69.30951
aut,1963,69.44366
aut,1964,69.92195
aut,1965,69.7222
aut,1966,70.04585
aut,1967,69.9178
aut,1968,70.05756
aut,1969,69.83317
aut,1970,69.91463
aut,1971,70.11463
aut,1972,70.46341
aut,1973,71.01463
aut,1974,71.0122
aut,1975,71.11463
aut,1976,71.56585
aut,1977,71.91463
aut,1978,72.0122
aut,1979,72.3122
aut,1980,72.46341
aut,1981,72.8122
aut,1982,72.96098
aut,1983,73.0122
aut,1984,73.6122
aut,1985,73.81463
aut,1986,74.31707
aut,1987,74.76829
aut,1988,75.21707
aut,1989,75.26585
aut,1990,75.56829
aut,1991,75.61707
aut,1992,75.81707
aut,1993,76.06829
aut,1994,76.41951
aut,1995,76.66829
aut,1996,76.87073
aut,1997,77.31951
aut,1998,77.67073
aut,1999,77.87561
aut,2000,78.12683
aut,2001,78.57561
aut,2002,78.67805
aut,2003,78.63171
aut,2004,79.18049
aut,2005,79.33171
aut,2006,79.88049
aut,2007,80.18049
aut,2008,80.43171
aut,2009,80.33171
aut,2010,80.58049
aut,2011,80.98293
aut,2012,80.93659
aut,2013,81.13659
aut,2014,81.49024
aut,2015,81.19024
aut,2016,81.64146
aut,2017,81.6439
aut,2018,81.69268
aut,2019,81.89512
aut,2020,81.19268
aze,1960,61.034
aze,1961,61.256
aze,1962,61.469
aze,1963,61.679
aze,1964,61.889
aze,1965,62.104
aze,1966,62.322
aze,1967,62.539
aze,1968,62.75
aze,1969,62.953
aze,1970,63.141
aze,1971,63.31
aze,1972,63.457
aze,1973,63.582
aze,1974,63.687
aze,1975,63.776
aze,1976,63.852
aze,1977,63.921
aze,1978,63.992
aze,1979,64.069
aze,1980,64.161
aze,1981,64.28
aze,1982,64.425
