geo,time,sl_tlf_intm_ma_zs
afg,2014,72.79
afg,2017,64.68
afg,2020,58.54
ago,2004,92.71
ago,2009,78.22
ago,2011,90.52
ago,2014,62.33
alb,2007,73.35
alb,2008,71.2
alb,2009,72.5
alb,2010,69.93
alb,2011,75.24
alb,2012,73.54
alb,2013,70.08
alb,2014,70.78
alb,2015,70.98
alb,2016,71.67
alb,2017,73.49
alb,2018,66.52
alb,2019,67.56
are,2017,88.7
are,2018,89.04
arg,2004,79.39
arg,2005,79.38
arg,2006,80.14
arg,2008,79.6
arg,2009,79.84
arg,2010,80.22
arg,2011,80.64
arg,2012,80.11
arg,2013,79.14
arg,2014,78.85
arg,2017,77.27
arg,2018,77.83
arg,2019,78.25
arg,2020,72.71
arm,2007,61.95
arm,2008,63.38
arm,2009,61.87
arm,2010,78.75
arm,2011,75.01
arm,2012,61.08
arm,2013,73.13
arm,2014,72.71
arm,2015,71.07
arm,2016,69.89
arm,2017,70.25
arm,2018,71.11
arm,2019,71.62
arm,2020,67.04
aus,2009,88.41
aus,2010,87.81
aus,2011,88.88
aus,2012,87.89
aus,2013,81.36
aus,2014,79.78
aus,2015,81.04
aus,2016,80.16
aus,2017,79.81
aut,1995,77.7
aut,1996,78.05
aut,1997,77.13
aut,1998,74.97
aut,1999,75.48
aut,2000,74.54
aut,2001,73.36
aut,2002,73.08
aut,2003,73.77
aut,2004,69.92
aut,2005,71.08
aut,2006,70.88
aut,2007,71.54
aut,2008,71.86
aut,2009,71.43
aut,2010,71.08
aut,2011,70.48
aut,2012,70.79
aut,2013,70.87
aut,2014,68.32
aut,2015,67.71
aut,2016,67.97
aut,2017,67.95
aut,2018,68.23
aut,2019,67.88
aut,2020,66.08
bdi,2014,72.18
bel,1992,71.57
bel,1993,71.65
bel,1994,71.9
bel,1995,72.95
bel,1996,73.27
bel,1997,73.22
bel,1998,71.21
bel,1999,72.28
bel,2000,72.1
bel,2001,71.31
bel,2002,71.29
bel,2003,72.08
bel,2004,69.45
bel,2005,70.86
bel,2006,70.53
bel,2007,70.42
bel,2008,70.16
bel,2009,69.37
bel,2010,69.62
bel,2011,68.06
bel,2012,68.23
bel,2013,67.86
bel,2014,66.67
bel,2015,66.52
bel,2016,66.45
bel,2017,65.6
bel,2018,65.63
bel,2019,65.41
bel,2020,63.57
ben,2011,47.46
ben,2018,54.86
bfa,2014,49.52
bfa,2018,55.59
bgd,2006,70.08
bgd,2010,62.32
bgd,2013,75.07
bgd,2016,69.39
bgd,2017,65.06
bgr,2000,71.27
bgr,2001,70.72
bgr,2002,70.12
bgr,2003,70.56
bgr,2004,71.37
bgr,2005,70.36
bgr,2006,71.47
bgr,2007,73.2
bgr,2008,73.92
bgr,2009,71.74
bgr,2010,70.73
bgr,2011,68.45
bgr,2012,68.35
bgr,2013,68.07
bgr,2014,67.73
bgr,2015,67.53
bgr,2016,66.55
bgr,2017,68.8
bgr,2018,68.56
bgr,2019,69.09
bgr,2020,68.33
bih,2006,66.29
bih,2007,68.35
bih,2008,66.29
bih,2009,65.22
bih,2010,65.44
bih,2011,64.41
bih,2012,65.82
bih,2013,63.21
bih,2014,63.85
bih,2015,63.21
bih,2016,62.53
bih,2017,60.84
bih,2018,61.03
bih,2019,58.43
bih,2020,65.82
blr,2020,76.87
blz,2012,81.17
blz,2013,80.7
blz,2014,81.32
blz,2015,81.96
