geo,time,sl_tlf_0714_wk_ma_zs
afg,2011,46.1682
ago,2001,24.7
alb,2000,42.0516
alb,2010,4.34749
arg,2012,4.73304
arm,2010,0
aze,2000,3.30033
aze,2005,6.3
bdi,2000,44.62194
bdi,2010,18.045
ben,2012,28.8
bfa,2010,55.6217
bgd,2003,62.87056
bgd,2006,39.4
bgd,2013,64.72901
bih,2000,2.63158
bih,2006,0.2
blr,2012,0
blz,2001,14.54987
bol,2009,5.37873
bol,2013,7.60623
bol,2015,7.54
bra,2011,3.78305
bra,2013,5.14318
bra,2014,5.10965
bra,2015,4.2
caf,2000,48.27068
caf,2010,17.1313
chl,2003,3.19425
chl,2012,1.2
civ,2000,39.3643
civ,2012,35.19155
cmr,2001,45.27056
cmr,2011,12.3
cod,2000,29.6
cod,2010,16.8874
cod,2014,7.38834
cog,2012,4.8
col,2012,20.9
col,2014,12.95839
col,2015,17.57
cri,2011,23.1535
cri,2016,15.19
dom,2009,5.5
dom,2012,14.2786
dom,2014,6.93351
dza,2013,4.05317
ecu,2011,26.25346
ecu,2015,10.48492
egy,2009,52
eth,2011,35.45036
gab,2012,4.25046
geo,2006,1
gha,2006,17.7
gha,2012,12.69271
gin,1994,98.3
gin,2012,45.1
gmb,2000,33.24902
gmb,2008,26.2
gmb,2015,57.15922
gnb,2000,59.8
gnb,2006,36.4
gnb,2014,22.66667
gtm,2012,22.65997
gtm,2014,26.44376
gtm,2015,37.84315
hnd,2013,57.2
hnd,2014,45.64249
hti,2012,7.69421
idn,2010,46.4
ind,2000,89.9
ind,2012,82.6
irq,2000,43.94972
irq,2011,26.9
jam,2011,0
jor,2007,33.2
jor,2016,23.44
kaz,1996,6.3
kaz,2006,1.2
ken,1999,43.5
ken,2000,13.4
ken,2009,33.15964
kgz,1998,9.3
kgz,2007,1.1
kgz,2014,0.2646
khm,2001,15.53706
khm,2012,23.6
lao,2010,87.93466
lbr,2010,22.32198
lka,1999,5.9
lka,2009,4.37908
lso,2000,23.55479
mar,1999,90.5
mda,2000,4.52611
mda,2009,0
mdg,2001,86.62923
mdg,2007,43
mex,2011,17.09265
mex,2013,15.49623
mkd,2011,0.79061
mli,2013,53.9
mng,2000,30.83197
mng,2012,8.61993
mng,2013,5.83898
moz,2008,17.30281
mrt,2007,51.1
mrt,2011,45.23129
mwi,2011,12.39269
mwi,2014,5.56871
mwi,2015,7.49
nam,1999,12.34237
ner,2012,50.4
nga,2010,32
nga,2011,20.45685
nic,2001,38.70393
nic,2010,21.6436
nic,2012,16.80239
npl,1999,23.22275
npl,2008,10.23713
npl,2014,7.13623
pak,2011,80.21435
pan,2012,22.4
pan,2014,15.40969
per,2011,31.66621
per,2014,25.66778
per,2015,22.60362
phl,2001,18.27393
phl,2011,17.5
prt,2001,3.57617
pry,2005,20.6
pry,2014,10.21043
rou,2000,25
rwa,2000,25.48476
rwa,2010,7.65008
rwa,2011,24.26297
rwa,2014,25
sdn,2000,52.07754
sdn,2008,74.33489
sdn,2014,22.41608
sen,2011,60.4
sen,2015,47.71212
sle,2000,51.3
sle,2013,28.1
slv,2003,24.46577
slv,2012,20.1
slv,2013,17.63408
som,2006,46.1
srb,2005,2.4
srb,2014,1.35078
ssd,2008,74.13342
swz,2000,14
swz,2010,3.05141
syr,2006,35.8
tcd,2010,38.5
tcd,2015,43.91164
tgo,2010,9.73224
tgo,2014,11.53856
tha,2005,4.9
tjk,2005,6.1
tls,2007,34.5
tto,2000,21.15385
tto,2006,4.2
tun,2012,10.9
tur,1999,64.88717
tur,2006,33.5
tza,2001,42.69835
tza,2011,29.20058
tza,2014,30.66073
uga,2012,7.18002
ukr,2012,2.3
ury,2009,12.18178
uzb,2000,4.42225
uzb,2005,0
ven,2003,21.92982
ven,2006,24.28717
ven,2013,37.14425
vnm,2012,20.9
yem,1999,43.20391
yem,2010,26.12219
zaf,1999,4.7
zmb,2008,18.78953
zwe,1999,12.8
