geo,time,fp_cpi_totl
abw,1980,31.98246
abw,1984,39.85754
abw,1985,41.4647
abw,1986,41.91001
abw,1987,43.43681
abw,1988,44.79285
abw,1989,46.58082
abw,1990,49.29959
abw,1991,52.03846
abw,1992,54.05411
abw,1993,56.87333
abw,1994,60.46265
abw,1995,62.49504
abw,1996,64.51068
abw,1997,66.44597
abw,1998,67.68817
abw,1999,69.23171
abw,2000,72.03146
abw,2001,74.10856
abw,2002,76.56544
abw,2003,79.36495
abw,2004,81.37219
abw,2005,84.13705
abw,2006,87.17273
abw,2007,91.87358
abw,2008,100.10177
abw,2009,97.96417
abw,2010,100
abw,2011,104.3163
abw,2012,104.97085
abw,2013,102.48088
abw,2014,102.91277
abw,2015,103.40136
abw,2016,102.4385
abw,2017,101.38514
abw,2018,105.06141
abw,2019,109.53436
afg,2004,63.52339
afg,2005,71.58214
afg,2006,76.4387
afg,2007,83.07402
afg,2008,105.02106
afg,2009,97.86791
afg,2010,100
afg,2011,111.80419
afg,2012,119.00573
afg,2013,127.79522
afg,2014,133.76837
afg,2015,132.88321
afg,2016,138.70867
afg,2017,145.61074
afg,2018,146.52248
afg,2019,149.89598
ago,1990,0
ago,1991,0
ago,1992,0
ago,1993,0
ago,1994,0.00003
ago,1995,0.0007
ago,1996,0.02971
ago,1997,0.09484
ago,1998,0.19658
ago,1999,0.6845
ago,2000,2.90908
ago,2001,7.34721
ago,2002,15.34813
ago,2003,30.4237
ago,2004,43.67082
ago,2005,53.69481
ago,2006,60.83901
ago,2007,68.2927
ago,2008,76.81278
ago,2009,87.3594
ago,2010,100
ago,2011,113.48247
ago,2012,125.14609
ago,2013,136.13118
ago,2014,146.04206
ago,2015,159.40545
ago,2016,208.33545
ago,2017,270.51022
ago,2018,323.60761
ago,2019,378.88372
alb,1991,5.11455
alb,1992,16.67372
alb,1993,30.84717
alb,1994,37.80785
alb,1995,40.75429
alb,1996,45.94047
alb,1997,61.18365
alb,1998,73.8137
alb,1999,74.10116
alb,2000,74.13822
alb,2001,76.44214
alb,2002,82.38209
alb,2003,82.78082
alb,2004,84.66824
alb,2005,86.67198
alb,2006,88.72674
alb,2007,91.32882
alb,2008,94.36173
alb,2009,96.50083
alb,2010,100
alb,2011,103.42912
alb,2012,105.53038
alb,2013,107.57516
alb,2014,109.32419
alb,2015,113.15185
alb,2016,112.73623
alb,2017,115.05927
alb,2018,117.39274
alb,2019,119.04926
alb,2020,120.97891
alb,2021,123.44866
are,2007,86.95312
are,2008,97.60525
are,2009,99.12966
are,2010,100
are,2011,100.87735
are,2012,101.54543
are,2013,102.66356
are,2014,105.07232
are,2015,109.34873
are,2016,111.11743
are,2017,113.30292
are,2018,116.77977
are,2019,114.52466
are,2020,112.14323
arm,1993,0.46203
arm,1994,16.04982
arm,1995,44.28969
arm,1996,52.56353
arm,1997,59.9018
arm,1998,65.09678
arm,1999,65.51877
arm,2000,65.00059
arm,2001,67.04545
arm,2002,67.75616
arm,2003,70.95531
arm,2004,75.89469
arm,2005,76.3796
arm,2006,78.58877
arm,2007,82.05246
arm,2008,89.39612
arm,2009,92.44164
arm,2010,100
arm,2011,107.65001
arm,2012,110.40372
arm,2013,116.79573
arm,2014,120.27777
arm,2015,124.76616
arm,2016,123.01493
arm,2017,124.20763
arm,2018,127.33795
arm,2019,129.17601
arm,2020,130.74089
arm,2021,140.13441
atg,1998,79.56938
atg,1999,80.46158
atg,2000,81.08257
atg,2001,82.21999
atg,2002,84.19957
atg,2003,85.87811
atg,2004,87.62151
atg,2005,89.46046
atg,2006,91.05982
atg,2007,92.34928
atg,2008,97.27501
atg,2009,96.73984
atg,2010,100
atg,2011,103.45675
atg,2012,106.95036
atg,2013,108.0835
atg,2014,109.261
atg,2015,110.31974
atg,2016,109.77979
atg,2017,112.45017
atg,2018,113.80762
atg,2019,115.43661
atg,2020,116.15923
atg,2021,118.55559
aus,1960,7.96046
aus,1961,8.14256
aus,1962,8.11655
aus,1963,8.16857
aus,1964,8.40271
aus,1965,8.68887
aus,1966,8.97503
aus,1967,9.2872
aus,1968,9.52133
aus,1969,9.83351
aus,1970,10.1717
aus,1971,10.79605
aus,1972,11.44641
aus,1973,12.48699
aus,1974,14.41207
aus,1975,16.59729
aus,1976,18.80853
aus,1977,21.12383
aus,1978,22.81478
aus,1979,24.89594
aus,1980,27.41935
aus,1981,30.02081
aus,1982,33.42872
aus,1983,36.7846
aus,1984,38.24142
aus,1985,40.81686
aus,1986,44.51093
aus,1987,48.30905
aus,1988,51.79501
aus,1989,55.69719
aus,1990,59.78148
aus,1991,61.68054
aus,1992,62.30489
aus,1993,63.3975
aus,1994,64.6462
aus,1995,67.63788
aus,1996,69.40687
aus,1997,69.56296
aus,1998,70.16129
aus,1999,71.20187
aus,2000,74.37565
aus,2001,77.65349
aus,2002,79.96878
aus,2003,82.15401
aus,2004,84.07908
aus,2005,86.34235
aus,2006,89.41207
aus,2007,91.49324
aus,2008,95.47347
aus,2009,97.16441
aus,2010,100
aus,2011,103.30385
aus,2012,105.12487
aus,2013,107.70031
aus,2014,110.37981
aus,2015,112.04475
aus,2016,113.47555
aus,2017,115.68678
aus,2018,117.89802
aus,2019,119.79709
aus,2020,120.81165
aus,2021,124.27159
aut,1960,17.82417
aut,1961,18.45554
aut,1962,19.26423
aut,1963,19.78605
aut,1964,20.55149
aut,1965,21.56486
aut,1966,22.00798
aut,1967,22.88273
