geo,time,dc_dac_norl_cd
afg,1966,9999.99978
afg,1972,9999.99978
afg,1973,19999.99955
afg,1974,29999.99933
afg,1975,29999.99933
afg,1977,59999.99866
afg,1983,5070000.17166
afg,1985,649999.97616
afg,1986,1120000.00477
afg,1987,189999.99762
afg,1989,1169999.95708
afg,1990,3349999.90463
afg,1991,7989999.77112
afg,1992,8470000.26703
afg,1993,8859999.65668
afg,1994,8890000.34332
afg,1995,9199999.80927
afg,1996,7550000.19073
afg,1997,8840000.15259
afg,1998,8130000.11444
afg,1999,7130000.11444
afg,2000,12569999.69482
afg,2001,39709999.08447
afg,2002,60860000.61035
afg,2003,68779998.7793
afg,2004,67730003.35693
afg,2005,59950000.76294
afg,2006,69680000.30518
afg,2007,94419998.16895
afg,2008,129050003.05176
afg,2009,115930000.30518
afg,2010,120180000.30518
afg,2011,138679992.67578
afg,2012,126029998.7793
afg,2013,126639999.38965
afg,2014,118050003.05176
afg,2015,84699996.94824
afg,2016,82610000.61035
afg,2017,75110000.61035
afg,2018,97709999.08447
afg,2019,79489997.86377
ago,1977,330000.01311
ago,1980,100000.00149
ago,1981,990000.00954
ago,1982,159999.99642
ago,1983,509999.99046
ago,1984,209999.99344
ago,1985,300000.01192
ago,1986,300000.01192
ago,1987,879999.99523
ago,1988,4500000
ago,1989,4150000.09537
ago,1990,7269999.98093
ago,1991,7800000.19073
ago,1992,5750000
ago,1993,8880000.11444
ago,1994,14890000.34332
ago,1995,28750000
ago,1996,25229999.54224
ago,1997,24489999.77112
ago,1998,23139999.38965
ago,1999,19750000
ago,2000,16590000.15259
ago,2001,17469999.31335
ago,2002,22200000.76294
ago,2003,24229999.54224
ago,2004,24760000.22888
ago,2005,20909999.84741
ago,2006,23389999.38965
ago,2007,21409999.84741
ago,2008,17790000.91553
ago,2009,17840000.15259
ago,2010,13220000.26703
ago,2011,13050000.19073
ago,2012,12130000.11444
ago,2013,9989999.77112
ago,2014,12189999.58038
ago,2015,6599999.90463
ago,2016,7780000.20981
ago,2017,7690000.05722
ago,2018,6449999.80927
ago,2019,5360000.13351
alb,1991,2000000
alb,1992,379999.99523
alb,1993,540000.02146
alb,1994,409999.99642
alb,1995,889999.98569
alb,1996,589999.97377
alb,1997,1259999.99046
alb,1998,2170000.07629
alb,1999,6340000.15259
alb,2000,3549999.95232
alb,2001,3009999.99046
alb,2002,5840000.15259
alb,2003,5989999.77112
alb,2004,8000000
alb,2005,6510000.22888
alb,2006,5679999.82834
alb,2007,5889999.86649
alb,2008,4079999.92371
alb,2009,1039999.96185
alb,2010,2509999.99046
alb,2011,2759999.99046
alb,2012,1549999.95232
alb,2013,1720000.02861
alb,2014,1350000.02384
alb,2015,1799999.95232
alb,2016,569999.99285
alb,2017,230000.00417
alb,2018,810000.00238
alb,2019,1360000.01431
are,1985,59999.99866
are,1986,39999.99911
arg,1972,9999.99978
arg,1973,19999.99955
arg,1974,19999.99955
arg,1975,19999.99955
arg,1980,19999.99955
arg,1984,19999.99955
arg,1985,50000.00075
arg,1986,170000.00179
arg,1987,140000.0006
arg,1988,100000.00149
arg,1991,19999.99955
arg,1992,19999.99955
arg,1994,29999.99933
arg,1995,9999.99978
arg,1996,9999.99978
arg,1999,9999.99978
arg,2000,9999.99978
arg,2001,39999.99911
arg,2002,90000.00358
arg,2003,370000.00477
arg,2004,29999.99933
arg,2006,19999.99955
arg,2007,39999.99911
arg,2008,109999.9994
arg,2009,50000.00075
arg,2010,100000.00149
arg,2011,50000.00075
arg,2012,50000.00075
arg,2013,0
arg,2014,109999.9994
arm,1994,300000.01192
arm,1995,1580000.04292
arm,1996,1840000.03338
arm,1997,2230000.01907
arm,1998,2309999.94278
arm,1999,2349999.90463
arm,2000,2109999.8951
arm,2001,2430000.06676
arm,2002,3279999.97139
arm,2003,3349999.90463
arm,2004,3339999.91417
arm,2005,5179999.82834
arm,2006,5219999.79019
arm,2007,4659999.84741
arm,2008,3309999.94278
arm,2009,3119999.88556
arm,2010,3569999.93324
arm,2011,3069999.93324
arm,2012,3250000
arm,2013,2950000.04768
arm,2014,1559999.94278
arm,2015,560000.00238
arm,2016,270000.01073
arm,2017,129999.99523
arm,2018,29999.99933
atg,1998,50000.00075
aze,1994,1970000.02861
