geo,time,dt_nfl_ifad_cd
afg,2009,1250000
afg,2010,3380000.11444
afg,2011,3980000.01907
afg,2012,6590000.15259
afg,2013,8680000.30518
afg,2015,8853510.85663
afg,2016,11617589.95056
afg,2017,14751479.14886
afg,2018,18322189.33105
afg,2019,15350343.70422
ago,1997,860000.01431
ago,1998,629999.99523
ago,1999,1220000.02861
ago,2000,1070000.05245
ago,2001,1330000.04292
ago,2002,949999.98808
ago,2003,2660000.08583
ago,2004,3950000.04768
ago,2005,3099999.90463
ago,2006,1710000.03815
ago,2007,159999.99642
ago,2008,-289999.99166
ago,2009,-750000
ago,2010,-180000.00715
ago,2011,-769999.98093
ago,2012,-200000.00298
ago,2013,1000000
ago,2014,639999.98569
ago,2015,416465.01422
ago,2016,2399736.64284
ago,2017,555070.10221
ago,2018,1191409.94549
ago,2019,6169920.92133
alb,1994,779999.97139
alb,1995,1820000.05245
alb,1996,2390000.1049
alb,1997,629999.99523
alb,1998,2250000
alb,1999,5309999.94278
alb,2000,1570000.05245
alb,2001,2369999.88556
alb,2002,3960000.03815
alb,2003,5840000.15259
alb,2004,2630000.11444
alb,2005,2359999.8951
alb,2006,-370000.00477
alb,2007,389999.98569
alb,2008,1570000.05245
alb,2009,1360000.01431
alb,2010,1970000.02861
alb,2011,509999.99046
alb,2012,1149999.97616
alb,2013,1980000.01907
alb,2014,79999.99821
alb,2015,-1052664.04152
alb,2016,-1294427.99091
alb,2017,-1843433.73775
alb,2018,-1735450.02937
alb,2019,-1542000.05531
arg,1991,810000.00238
arg,1992,379999.99523
arg,1993,2450000.04768
arg,1994,1960000.03815
arg,1995,769999.98093
arg,1996,2509999.99046
arg,1997,-839999.97377
arg,1998,-409999.99642
arg,1999,-129999.99523
arg,2000,-769999.98093
arg,2001,-479999.98927
arg,2002,-899999.97616
arg,2003,-2269999.98093
arg,2004,469999.99881
arg,2005,1610000.01431
arg,2006,2230000.01907
arg,2007,610000.01431
arg,2008,-730000.01907
arg,2009,-1620000.00477
arg,2010,7260000.22888
arg,2011,2579999.92371
arg,2012,5380000.11444
arg,2013,6920000.07629
arg,2014,4929999.82834
arg,2015,-782329.97656
arg,2016,-4377989.76898
arg,2017,-5301710.12878
arg,2018,-344967.33546
arg,2019,-3171989.91776
arm,1996,1049999.95232
arm,1997,620000.00477
arm,1998,5750000
arm,1999,10090000.15259
arm,2000,1820000.05245
arm,2001,2509999.99046
arm,2002,3930000.06676
arm,2003,6889999.86649
arm,2004,4619999.88556
arm,2005,2099999.90463
arm,2006,6409999.84741
arm,2007,4400000.09537
arm,2008,3460000.03815
arm,2009,1490000.00954
arm,2010,2710000.03815
arm,2011,4710000.03815
arm,2012,1149999.97616
arm,2013,439999.99762
arm,2014,-579999.98331
arm,2015,1128975.98743
arm,2016,5014177.79922
arm,2017,-891295.67146
arm,2018,-524171.29278
arm,2019,532067.53731
aze,1998,1000000
aze,1999,1179999.94755
aze,2000,2190000.05722
aze,2001,1950000.04768
aze,2002,1659999.96662
aze,2003,1789999.96185
aze,2004,1909999.96662
aze,2005,3289999.96185
aze,2006,2750000
aze,2007,3240000.00954
aze,2008,3920000.07629
aze,2009,3549999.95232
aze,2010,3099999.90463
aze,2011,4130000.11444
aze,2012,4869999.88556
aze,2013,7800000.19073
aze,2014,7829999.92371
aze,2015,284215.98673
aze,2016,-726924.00217
aze,2017,-227771.58022
aze,2018,-1158689.97574
aze,2019,1049364.80522
bdi,1981,449999.98808
bdi,1982,479999.98927
bdi,1983,509999.99046
bdi,1984,1509999.99046
bdi,1985,5639999.86649
bdi,1986,2420000.07629
bdi,1987,3400000.09537
bdi,1988,349999.99404
bdi,1989,529999.97139
bdi,1990,1620000.00477
bdi,1991,-29999.99933
bdi,1992,209999.99344
bdi,1993,389999.98569
bdi,1994,529999.97139
bdi,1995,250000
bdi,1996,490000.00954
bdi,1997,-389999.98569
bdi,1998,9999.99978
bdi,1999,-449999.98808
bdi,2000,1759999.99046
bdi,2001,1610000.01431
bdi,2002,1649999.97616
bdi,2003,2640000.1049
bdi,2004,1580000.04292
bdi,2005,2869999.88556
bdi,2006,2559999.94278
