global,time,ny_gnp_mktp_cd
world,1960,1371147204316.21997
world,1961,1435668564136.25
world,1962,1539930971393.70996
world,1963,1654580423178.29004
world,1964,1823674122936.37988
world,1965,1990169236104.6897
world,1966,2152904296367.42969
world,1967,2294157470376.52002
world,1968,2496043973410.77002
world,1969,2755433573036.7998
world,1970,3004232267035.95996
world,1971,3316130226200.62012
world,1972,3832567789157.52979
world,1973,4673115594022.91992
world,1974,5376925859146.2002
world,1975,5987980376060.41992
world,1976,6500041039335.26953
world,1977,7344291431305.60938
world,1978,8648133558165.48926
world,1979,10016387262674
world,1980,11261154606287
world,1981,11652818987732.69922
world,1982,11552622012317
world,1983,11767472748802.90039
world,1984,12234466388345
world,1985,12845569982414.30078
world,1986,15155272920354.30078
world,1987,17286674510267.19922
world,1988,19425972352599.10156
world,1989,20170373974027.30078
world,1990,22618918072101.39844
world,1991,23598583485968.80078
world,1992,25276370234757.80078
world,1993,25707512299198
world,1994,27787893893644.69531
world,1995,30892565297088.39844
world,1996,31581900660425.10156
world,1997,31513749224093.39844
world,1998,31492998229872.30078
world,1999,32693128321191.69531
world,2000,33871229182380.60156
world,2001,33672820180544.69531
world,2002,34899861501201.30078
world,2003,39074835004379.60156
world,2004,44071417039061.60156
world,2005,47732167317131.69531
world,2006,51901642325762.20312
world,2007,58206279625917.60156
world,2008,63692796308494.49219
world,2009,60507696021519.20312
world,2010,66362270072507.69531
world,2011,73593608646779.90625
world,2012,75457294053043.01562
world,2013,77447489840752.28125
world,2014,79793992465023.29688
world,2015,75237313035115.90625
world,2016,76290457203130
world,2017,81326596674463.70312
world,2018,86250555749879.39062
world,2019,87532713747250.28125
world,2020,84747279323839.70312
