geo,time,sh_anm_allw_zs
afg,2000,35.7
afg,2001,35.6
afg,2002,35.4
afg,2003,35.4
afg,2004,35.5
afg,2005,35.6
afg,2006,35.8
afg,2007,36
afg,2008,36.2
afg,2009,36.5
afg,2010,36.8
afg,2011,37.1
afg,2012,37.5
afg,2013,38
afg,2014,38.7
afg,2015,39.4
afg,2016,40.2
afg,2017,40.9
afg,2018,41.8
afg,2019,42.6
ago,2000,51.8
ago,2001,51.5
ago,2002,51.3
ago,2003,50.9
ago,2004,50.5
ago,2005,50.1
ago,2006,49.6
ago,2007,49.2
ago,2008,48.5
ago,2009,47.7
ago,2010,46.9
ago,2011,46.3
ago,2012,45.9
ago,2013,45.6
ago,2014,45.3
ago,2015,45
ago,2016,44.8
ago,2017,44.7
ago,2018,44.6
ago,2019,44.5
alb,2000,26.2
alb,2001,25.6
alb,2002,25
alb,2003,24.6
alb,2004,24.1
alb,2005,23.5
alb,2006,23
alb,2007,22.5
alb,2008,22
alb,2009,21.5
alb,2010,21.1
alb,2011,21.3
alb,2012,21.6
alb,2013,21.9
alb,2014,22.4
alb,2015,22.9
alb,2016,23.5
alb,2017,24.2
alb,2018,24.5
alb,2019,24.8
and,2000,10.8
and,2001,10.7
and,2002,10.6
and,2003,10.6
and,2004,10.5
and,2005,10.5
and,2006,10.5
and,2007,10.5
and,2008,10.5
and,2009,10.4
and,2010,10.5
and,2011,10.5
and,2012,10.6
and,2013,10.7
and,2014,10.9
and,2015,11
and,2016,11.3
and,2017,11.5
and,2018,11.8
and,2019,12.1
are,2000,24.3
are,2001,24
are,2002,23.9
are,2003,23.9
are,2004,23.7
are,2005,23.4
are,2006,23.5
are,2007,23.9
are,2008,23.9
are,2009,23.8
are,2010,23.8
are,2011,23.8
are,2012,24
are,2013,23.9
are,2014,23.8
are,2015,23.7
are,2016,23.6
are,2017,23.7
are,2018,24
are,2019,24.3
arg,2000,16.2
arg,2001,16
arg,2002,15.9
arg,2003,15.9
arg,2004,15.7
arg,2005,15.5
arg,2006,15
arg,2007,14.6
arg,2008,14.2
arg,2009,13.8
arg,2010,13.4
arg,2011,13.1
arg,2012,12.7
arg,2013,12.5
arg,2014,12.3
arg,2015,12.1
arg,2016,11.9
arg,2017,11.9
arg,2018,11.8
arg,2019,11.9
arm,2000,20.4
arm,2001,20.4
arm,2002,20.5
arm,2003,20.5
arm,2004,20.4
arm,2005,20
arm,2006,19.8
arm,2007,19.4
arm,2008,19
arm,2009,18.5
arm,2010,18
arm,2011,17.7
arm,2012,17.6
arm,2013,17.5
arm,2014,17.3
arm,2015,17.1
arm,2016,17
arm,2017,17.1
arm,2018,17.1
arm,2019,17.3
atg,2000,22
atg,2001,21.6
atg,2002,21.1
atg,2003,20.7
atg,2004,20.2
atg,2005,19.6
atg,2006,19
atg,2007,18.5
atg,2008,17.9
atg,2009,17.5
atg,2010,17.1
atg,2011,16.8
atg,2012,16.7
atg,2013,16.6
atg,2014,16.6
atg,2015,16.6
atg,2016,16.7
atg,2017,16.9
atg,2018,17
atg,2019,17.2
aus,2000,8
aus,2001,7.8
aus,2002,7.7
aus,2003,7.6
aus,2004,7.5
aus,2005,7.5
aus,2006,7.4
aus,2007,7.4
aus,2008,7.4
aus,2009,7.4
aus,2010,7.3
aus,2011,7.4
aus,2012,7.4
aus,2013,7.4
aus,2014,7.4
aus,2015,7.6
aus,2016,7.7
aus,2017,7.9
aus,2018,8.2
aus,2019,8.5
aut,2000,11.7
aut,2001,11.5
aut,2002,11.4
aut,2003,11.4
aut,2004,11.4
aut,2005,11.3
aut,2006,11.3
aut,2007,11.3
aut,2008,11.3
aut,2009,11.3
aut,2010,11.3
aut,2011,11.4
aut,2012,11.5
aut,2013,11.6
aut,2014,11.8
aut,2015,12
aut,2016,12.2
aut,2017,12.5
aut,2018,12.7
aut,2019,13
aze,2000,41
aze,2001,40.6
aze,2002,40.2
aze,2003,40
aze,2004,39.7
aze,2005,39.2
aze,2006,38.4
aze,2007,37.5
aze,2008,36.7
aze,2009,36
aze,2010,35.4
aze,2011,35
aze,2012,34.7
aze,2013,34.6
aze,2014,34.6
aze,2015,34.6
aze,2016,34.6
aze,2017,34.7
aze,2018,34.8
aze,2019,35.1
bdi,2000,36.9
bdi,2001,36.1
bdi,2002,35.4
bdi,2003,34.6
bdi,2004,33.9
bdi,2005,33.1
bdi,2006,32.4
bdi,2007,31.8
bdi,2008,31.2
bdi,2009,30.8
bdi,2010,30.6
bdi,2011,30.7
bdi,2012,31.1
bdi,2013,31.8
bdi,2014,32.6
bdi,2015,33.7
bdi,2016,34.8
bdi,2017,36
bdi,2018,37.2
bdi,2019,38.5
bel,2000,11.2
bel,2001,11
bel,2002,10.9
bel,2003,10.8
bel,2004,10.7
bel,2005,10.8
bel,2006,10.8
bel,2007,10.8
bel,2008,10.9
bel,2009,10.9
bel,2010,10.9
bel,2011,11.1
bel,2012,11.3
bel,2013,11.4
bel,2014,11.6
bel,2015,12
bel,2016,12.3
bel,2017,12.8
bel,2018,13.2
bel,2019,13.6
ben,2000,62.1
ben,2001,61.7
ben,2002,61.4
