geo,time,ic_exp_tmbc
afg,2014,48
afg,2015,48
afg,2016,48
afg,2017,48
afg,2018,48
afg,2019,48
ago,2014,312
ago,2015,312
ago,2016,312
ago,2017,192
ago,2018,164
ago,2019,164
alb,2014,14
alb,2015,8
alb,2016,9
alb,2017,9
alb,2018,9
alb,2019,9
are,2014,27
are,2015,27
are,2016,27
are,2017,27
are,2018,27
are,2019,27
arg,2014,21
arg,2015,21
arg,2016,21
arg,2017,21
arg,2018,21
arg,2019,21
arm,2014,50.53846
arm,2015,38.53846
arm,2016,38.53846
arm,2017,38.53846
arm,2018,38.53846
arm,2019,26.53846
atg,2014,61.33333
atg,2015,61.33333
atg,2016,61.33333
atg,2017,61.33333
atg,2018,61.33333
atg,2019,61.33333
aus,2014,35.5
aus,2015,35.5
aus,2016,35.5
aus,2017,35.5
aus,2018,35.5
aus,2019,35.5
aut,2014,0
aut,2015,0
aut,2016,0
aut,2017,0
aut,2018,0
aut,2019,0
aze,2014,33.66667
aze,2015,33.66667
aze,2016,29.44444
aze,2017,29.44444
aze,2018,17.44444
aze,2019,11.94444
bdi,2014,58.66667
bdi,2015,58.66667
bdi,2016,58.66667
bdi,2017,58.66667
bdi,2018,58.66667
bdi,2019,58.66667
bel,2014,0
bel,2015,0
bel,2016,0
bel,2017,0
bel,2018,0
bel,2019,0
ben,2014,138
ben,2015,78
ben,2016,78
ben,2017,78
ben,2018,78
ben,2019,78
bfa,2014,74.5
bfa,2015,74.5
bfa,2016,74.5
bfa,2017,74.5
bfa,2018,74.5
bfa,2019,74.5
bgd,2014,168
bgd,2015,168
bgd,2016,168
bgd,2017,168
bgd,2018,168
bgd,2019,168
bgr,2014,4.4
bgr,2015,4.4
bgr,2016,4.4
bgr,2017,4.4
bgr,2018,4.4
bgr,2019,4.4
bhr,2014,78.6
bhr,2015,78.6
bhr,2016,70.6
bhr,2017,70.6
bhr,2018,70.6
bhr,2019,59
bhs,2014,84
bhs,2015,36
bhs,2016,36
bhs,2017,36
bhs,2018,36
