geo,time,se_sec_cuat_up_fe_zs
abw,2010,32.07459
afg,1975,1.1
afg,2021,5.19612
ago,2014,12.2926
alb,2001,32.11785
alb,2008,35.29288
alb,2011,38.72538
alb,2012,44.4915
and,2003,42.77512
and,2004,51.45032
and,2005,43.9692
and,2006,50.27361
and,2014,47.59348
and,2015,47.28155
and,2016,47.03563
are,2005,59.85365
are,2017,64.56984
are,2018,65.53579
are,2019,71.31309
arg,2001,35.93769
arm,2001,81.07005
arm,2011,90.36633
arm,2015,92.04399
arm,2017,90.22909
arm,2020,89.96639
asm,1974,31.02666
asm,1980,37.4
aus,2004,58.62768
aus,2005,60.28782
aus,2006,62.58402
aus,2007,64.17817
aus,2008,67.17754
aus,2009,68.23333
aus,2010,70.60216
aus,2011,72.63812
aus,2012,75.00211
aus,2013,70.11968
aus,2014,70.97588
aus,2015,73.34535
aus,2016,74.57207
aus,2017,75.53756
aus,2018,76.88626
aus,2019,77.80004
aus,2020,79.13704
aut,1971,25.74725
aut,1981,38.12727
aut,2014,71.60852
aut,2015,72.46685
aut,2016,73.11913
aut,2017,73.7654
aut,2019,75.39278
aze,1999,78.75169
aze,2007,85.11644
aze,2008,85.2701
aze,2009,85.35788
aze,2010,85.52373
aze,2011,85.55646
aze,2012,85.51674
aze,2013,85.486
aze,2014,85.45317
aze,2015,85.36664
aze,2016,85.36393
aze,2017,85.08451
aze,2019,84.87789
bdi,2008,6.314
bdi,2014,2.27556
bdi,2017,3.83777
bel,1970,10.91714
bel,2006,55.46737
bel,2008,57.63256
bel,2009,59.27741
bel,2010,59.75291
bel,2011,60.8857
bel,2012,61.55744
bel,2013,62.83455
bel,2014,62.29653
bel,2015,64.69687
bel,2016,65.41165
bel,2017,67.63782
bel,2019,70.56026
ben,1979,0.49953
bfa,2006,2.29676
bfa,2007,0.15956
bfa,2014,1.57192
bfa,2018,3.57918
bgd,1981,1.10973
bgd,2001,13.3621
bgd,2011,18.42023
bgd,2012,19.06878
bgd,2013,16.98807
bgd,2014,18.90775
bgd,2015,23.72273
bgd,2016,23.88592
bgd,2017,24.9762
bgd,2018,25.99206
bgd,2019,26.83901
bgd,2020,31.95653
