global,time,se_prm_uner
world,1970,124973904
world,1971,128474832
world,1972,127439600
world,1973,119880720
world,1974,119205880
world,1975,115882984
world,1976,114983880
world,1977,117273048
world,1978,124840944
world,1979,124774688
world,1980,119971408
world,1981,116489968
world,1982,115103024
world,1983,114488576
world,1984,113575120
world,1985,110186840
world,1986,105939856
world,1987,104804848
world,1988,101903072
world,1989,99220072
world,1990,100630320
world,1991,101054232
world,1992,104366256
world,1993,105458496
world,1994,106967712
world,1995,110880952
world,1996,114308200
world,1997,115151040
world,1998,110757032
world,1999,104193152
world,2000,98649512
world,2001,94902440
world,2002,91326744
world,2003,81943144
world,2004,76167848
world,2005,70860984
world,2006,68962904
world,2007,60453448
world,2008,59403244
world,2009,60533600
world,2010,60239992
world,2011,60561624
world,2012,58980720
world,2013,57690856
world,2014,61164004
world,2015,63193864
world,2016,62320560
world,2017,62812336
world,2018,61639532
world,2019,62810832
