geo,time,er_h2o_fwtl_zs
afg,1977,28.14107
afg,1982,41.75993
afg,1987,55.37879
afg,1992,49.75677
afg,1997,44.13475
afg,2002,43.01591
afg,2007,43.01591
afg,2012,43.01591
afg,2017,43.01591
ago,1987,0.32432
ago,1992,0.36601
ago,1997,0.40769
ago,2002,0.45035
ago,2007,0.47682
ago,2012,0.47682
ago,2017,0.47682
alb,1992,4.39985
alb,1997,5.3177
alb,2002,6.1826
alb,2007,4.7139
alb,2012,4.44383
alb,2017,4.41636
are,1982,707.37778
are,1987,975.82222
are,1992,1076.4
are,1997,1360.96
are,2002,1499.99111
are,2007,1847.15152
are,2012,1798.36364
are,2017,1708
arg,1977,9.46972
arg,1982,9.55804
arg,1987,9.64636
arg,1992,9.73444
arg,1997,10.03228
arg,2002,10.85545
arg,2007,11.99517
arg,2012,12.90753
arg,2017,12.90753
arm,1997,26.97186
arm,2002,25.25149
arm,2007,43.91311
arm,2012,42.87797
arm,2017,41.76994
atg,1992,4.14103
atg,1997,6.32051
atg,2002,8.5
atg,2007,9.42308
atg,2012,8.46154
atg,2017,8.46154
aus,1997,4.45695
aus,2002,4.21977
aus,2007,3.28498
aus,2012,3.13388
aus,2017,3.24085
aut,1982,6.24509
aut,1987,6.66945
aut,1992,6.65782
aut,1997,6.62182
aut,2002,6.50364
aut,2007,6.40477
aut,2012,6.34545
aut,2017,6.34545
aze,1992,199.65496
aze,1997,154.25755
aze,2002,124.1528
aze,2007,151.20148
aze,2012,147.50462
aze,2017,157.50585
bdi,1987,0.99404
bdi,1992,1.7128
bdi,1997,2.43156
bdi,2002,2.83141
bdi,2007,2.78429
bdi,2012,2.78429
bdi,2017,2.78429
bel,1982,74.38817
bel,1987,72.22317
bel,1992,70.05817
bel,1997,64.08333
bel,2002,56.13083
bel,2007,51.78333
bel,2012,44.16667
bel,2017,33.28333
ben,1987,1.1615
ben,1992,1.39575
ben,1997,1.39216
ben,2002,1.26214
ben,2007,1.26214
ben,2012,1.26214
ben,2017,1.26214
bfa,1987,2.51648
bfa,1992,3.008
bfa,1997,3.77778
bfa,2002,6.05296
bfa,2007,6.544
bfa,2012,6.5336
bfa,2017,6.5336
bgd,2012,34.1619
bgd,2017,34.1619
bgr,1982,67.35238
bgr,1987,62.04298
bgr,1992,34.88349
bgr,1997,31.33429
bgr,2002,31.37476
bgr,2007,29.53238
bgr,2012,27.21238
bgr,2017,26.94286
bhr,1992,5194.18269
bhr,1997,6459.32692
bhr,2002,6397.80449
bhr,2007,5425.68182
bhr,2012,4748.40909
bhr,2017,3877.5
bih,2002,1.05775
bih,2007,1.09746
bih,2012,1.23296
bih,2017,1.1293
blr,1997,5.65529
blr,2002,5.24882
blr,2007,4.83176
blr,2012,4.48627
blr,2017,4.10882
blz,1987,0.13106
blz,1992,0.23228
blz,1997,0.4923
blz,2002,0.66186
blz,2007,0.66186
blz,2012,0.66186
blz,2017,0.66186
bol,1987,0.40857
bol,1992,0.50648
bol,1997,0.60439
bol,2002,0.65845
bol,2007,0.68328
bol,2012,0.68797
bol,2017,0.68797
bra,1987,0.61897
bra,1992,0.81358
bra,1997,0.97421
bra,2002,1.00247
bra,2007,1.0991
bra,2012,1.23407
bra,2017,1.16022
brb,1962,37.5
brb,1967,46.875
brb,1972,56.25
brb,1977,65.625
brb,1982,75
brb,1987,84.375
brb,1992,93.75
brb,1997,101.25
brb,2002,101.25
brb,2007,87.5
brb,2012,87.5
brb,2017,87.5
brn,1992,0.95686
brn,1997,1.08235
brn,2002,1.08235
brn,2007,1.08235
brn,2012,1.08235
brn,2017,1.08235
btn,2012,0.43321
btn,2017,0.43321
bwa,1987,4.02333
bwa,1992,4.70833
bwa,1997,6.81833
bwa,2002,8.10758
bwa,2007,8.16818
bwa,2012,8.1
bwa,2017,8.04167
caf,1987,0.01376
caf,1992,0.02652
caf,1997,0.03929
caf,2002,0.04874
caf,2007,0.05142
caf,2012,0.05142
caf,2017,0.05142
can,1987,1.501
can,1992,1.56193
can,1997,1.47824
can,2002,1.46398
can,2007,1.44973
can,2012,1.2786
can,2017,1.25368
che,1977,6.42178
che,1982,6.46485
