global,time,er_fsh_capt_mt
world,1960,34790181
world,1961,38630192
world,1962,42035679
world,1963,42996371.1
world,1964,47586827.1
world,1965,48653613.4
world,1966,52568635.8
world,1967,56020668
world,1968,59336231
world,1969,57903206
world,1970,63886816
world,1971,63917908
world,1972,59670600
world,1973,60227295
world,1974,63470416
world,1975,62941133
world,1976,66328026
world,1977,65083617
world,1978,67115747
world,1979,67583580.5
world,1980,68257270
world,1981,70308777.033
world,1982,72121092.738
world,1983,71946274.376
world,1984,77654923.412
world,1985,79380107.449
world,1986,84935065.919
world,1987,85595380.513
world,1988,89066596.227
world,1989,89603182.964
world,1990,86024297.41
world,1991,84921535.262
world,1992,86415586.71
world,1993,87749049.809
world,1994,93361399.181
world,1995,93696571.977
world,1996,95159583.233
world,1997,94464034.81
world,1998,86874551.956
world,1999,92812113.525
world,2000,94763862.697
world,2001,91957971.436
world,2002,92313232.588
world,2003,89559026.501
world,2004,94176615.32
world,2005,93697962.791
world,2006,91237774.257
world,2007,91558656.417
world,2008,90694759.549
world,2009,90266893.424
world,2010,88855994.004
world,2011,93180835.75
world,2012,90512336.661
world,2013,91753926.83
world,2014,92360622.69
world,2015,93736944.844
