geo,time,sh_dyn_mort_ma
afg,1961,359.8
afg,1962,354
afg,1963,348.3
afg,1964,342.6
afg,1965,337
afg,1966,331.3
afg,1967,325.9
afg,1968,320.3
afg,1969,314.6
afg,1970,309
afg,1971,303.2
afg,1972,297.5
afg,1973,291.7
afg,1974,285.8
afg,1975,279.8
afg,1976,273.8
afg,1977,267.8
afg,1978,261.6
afg,1979,255.1
afg,1980,248.8
afg,1981,242.2
afg,1982,235.4
afg,1983,228.9
afg,1984,222.3
afg,1985,215.5
afg,1986,208.9
afg,1987,202.2
afg,1988,195.5
afg,1989,188.9
afg,1990,182.5
afg,1991,176.3
afg,1992,170.5
afg,1993,165
afg,1994,159.8
afg,1995,154.9
afg,1996,150.4
afg,1997,146
afg,1998,141.7
afg,1999,137.6
afg,2000,133.5
afg,2001,129.4
afg,2002,125
afg,2003,120.8
afg,2004,116.6
afg,2005,112.3
afg,2006,108
afg,2007,103.6
afg,2008,99.4
afg,2009,95.3
afg,2010,91.3
afg,2011,87.4
afg,2012,83.8
afg,2013,80.4
afg,2014,77.1
afg,2015,73.9
afg,2016,71
afg,2017,68.2
afg,2018,65.8
afg,2019,63.5
afg,2020,61.4
ago,1980,249.1
ago,1981,246.2
ago,1982,243.5
ago,1983,241
ago,1984,239
ago,1985,237.2
ago,1986,235.7
ago,1987,234.8
ago,1988,234.3
ago,1989,234.2
ago,1990,234
ago,1991,233.8
ago,1992,233.9
ago,1993,234
ago,1994,234
ago,1995,233.4
ago,1996,231.8
ago,1997,229.1
ago,1998,225.6
ago,1999,221.1
ago,2000,215.6
ago,2001,209.4
ago,2002,202.2
ago,2003,194.1
ago,2004,185.2
ago,2005,175.8
ago,2006,166
ago,2007,156.1
ago,2008,146.5
ago,2009,137.1
ago,2010,128.3
ago,2011,120.1
ago,2012,112.2
ago,2013,105.4
ago,2014,99.6
ago,2015,94.4
ago,2016,90.2
ago,2017,86.5
ago,2018,83.1
ago,2019,80.1
ago,2020,77.2
alb,1978,101.6
alb,1979,93.7
alb,1980,86.7
alb,1981,80.1
alb,1982,74.1
alb,1983,68.6
alb,1984,63.7
alb,1985,59.5
alb,1986,55.7
alb,1987,52.4
alb,1988,49.5
alb,1989,47.1
alb,1990,44.9
alb,1991,43.1
alb,1992,41.5
alb,1993,40.1
alb,1994,38.7
alb,1995,37.3
alb,1996,36
alb,1997,34.6
alb,1998,33.2
alb,1999,31.7
alb,2000,30.3
alb,2001,28.8
alb,2002,27.2
alb,2003,25.7
alb,2004,24
alb,2005,22.4
alb,2006,20.8
alb,2007,19.1
alb,2008,17.5
alb,2009,16
alb,2010,14.6
alb,2011,13.3
alb,2012,12.2
alb,2013,11.3
alb,2014,10.7
alb,2015,10.3
alb,2016,10.2
alb,2017,10.2
alb,2018,10.3
alb,2019,10.5
alb,2020,10.6
and,1985,24.1
and,1986,22.6
and,1987,21.1
and,1988,19.8
and,1989,18.5
and,1990,17.4
and,1991,16.3
and,1992,15.2
and,1993,14.2
and,1994,13.3
and,1995,12.6
and,1996,11.8
and,1997,11
and,1998,10.4
and,1999,9.8
and,2000,9.2
and,2001,8.7
and,2002,8.2
and,2003,7.7
and,2004,7.3
and,2005,6.9
and,2006,6.5
and,2007,6.1
and,2008,5.7
and,2009,5.3
and,2010,5
and,2011,4.7
and,2012,4.4
and,2013,4.2
and,2014,3.9
and,2015,3.7
and,2016,3.5
and,2017,3.3
and,2018,3.1
and,2019,3
and,2020,2.8
are,1960,206.9
are,1961,196.9
are,1962,186.8
are,1963,176.6
are,1964,166.2
are,1965,155.6
are,1966,145
are,1967,134.4
are,1968,123.8
are,1969,113.6
are,1970,103.8
are,1971,94.6
are,1972,86.1
are,1973,78.2
are,1974,71
are,1975,64.5
are,1976,58.4
are,1977,52.9
are,1978,47.7
are,1979,43.2
are,1980,39.2
are,1981,35.5
are,1982,32.4
are,1983,29.7
are,1984,27.4
are,1985,25.4
are,1986,23.7
are,1987,22.1
are,1988,20.8
are,1989,19.5
are,1990,18.4
are,1991,17.5
are,1992,16.6
are,1993,15.8
are,1994,15.2
are,1995,14.6
are,1996,14.1
are,1997,13.6
are,1998,13.1
are,1999,12.7
are,2000,12.4
are,2001,12.1
are,2002,11.8
are,2003,11.5
are,2004,11.2
are,2005,10.9
are,2006,10.7
are,2007,10.4
are,2008,10.2
are,2009,9.9
are,2010,9.6
are,2011,9.3
are,2012,9
are,2013,8.8
are,2014,8.6
are,2015,8.4
are,2016,8.2
are,2017,7.9
are,2018,7.7
are,2019,7.5
are,2020,7.2
arg,1969,76.2
arg,1970,75.3
arg,1971,74.6
arg,1972,73.6
arg,1973,72.2
arg,1974,70.2
arg,1975,67.4
arg,1976,63.9
arg,1977,59.7
arg,1978,55.2
arg,1979,50.9
arg,1980,46.8
arg,1981,43.2
arg,1982,40.3
arg,1983,37.8
arg,1984,35.3
arg,1985,33.7
arg,1986,32.6
arg,1987,32.1
arg,1988,32
arg,1989,31.9
arg,1990,31.6
arg,1991,31
arg,1992,30
arg,1993,28.9
arg,1994,27.8
arg,1995,26.6
arg,1996,25.5
arg,1997,24.4
arg,1998,23.5
arg,1999,22.5
arg,2000,21.6
arg,2001,20.8
arg,2002,20.1
arg,2003,19.4
arg,2004,18.8
arg,2005,18.2
arg,2006,17.7
arg,2007,17.3
arg,2008,16.9
arg,2009,16.4
arg,2010,15.9
arg,2011,15.2
arg,2012,14.5
arg,2013,13.9
arg,2014,13.2
arg,2015,12.6
arg,2016,12
arg,2017,11.4
arg,2018,10.9
arg,2019,10.2
arg,2020,9.6
arm,1976,93.8
arm,1977,90.1
arm,1978,86.6
arm,1979,83.2
arm,1980,79.9
arm,1981,76.8
arm,1982,73.8
arm,1983,70.9
arm,1984,68.3
arm,1985,65.7
arm,1986,63.1
arm,1987,60.7
arm,1988,97.7
arm,1989,56
arm,1990,53.7
arm,1991,51.5
arm,1992,49.3
arm,1993,47.2
arm,1994,45
arm,1995,42.9
arm,1996,40.9
arm,1997,39
arm,1998,37.2
arm,1999,35.4
arm,2000,33.7
arm,2001,32.1
arm,2002,30.5
arm,2003,29
arm,2004,27.6
arm,2005,26.2
arm,2006,24.9
arm,2007,23.6
arm,2008,22.4
arm,2009,21.3
arm,2010,20.2
arm,2011,19.2
arm,2012,18.2
arm,2013,17.3
arm,2014,16.4
arm,2015,15.6
arm,2016,14.8
arm,2017,14
arm,2018,13.3
arm,2019,12.6
arm,2020,12
atg,1960,90.1
atg,1961,84
atg,1962,77.5
atg,1963,70.8
atg,1964,64.1
atg,1965,57.6
atg,1966,51.6
atg,1967,46.2
atg,1968,41.4
atg,1969,37.4
atg,1970,34
atg,1971,31.2
atg,1972,28.9
atg,1973,27
atg,1974,25.3
atg,1975,23.9
atg,1976,22.5
atg,1977,21.1
atg,1978,19.9
atg,1979,18.7
atg,1980,17.7
atg,1981,16.8
atg,1982,16.1
atg,1983,15.5
atg,1984,15.1
atg,1985,14.9
atg,1986,14.7
atg,1987,14.7
atg,1988,14.8
atg,1989,14.9
atg,1990,15.2
atg,1991,15.5
atg,1992,15.9
atg,1993,16.3
atg,1994,16.7
atg,1995,17.1
atg,1996,17.3
atg,1997,17.4
atg,1998,17.4
atg,1999,17.2
atg,2000,16.9
atg,2001,16.5
atg,2002,15.9
atg,2003,15.3
atg,2004,14.7
atg,2005,14.1
atg,2006,13.4
atg,2007,12.8
atg,2008,12.1
atg,2009,11.5
atg,2010,10.9
atg,2011,10.3
atg,2012,9.8
atg,2013,9.3
atg,2014,8.8
atg,2015,8.4
atg,2016,8
atg,2017,7.7
atg,2018,7.4
atg,2019,7.1
atg,2020,6.9
aus,1960,27.6
aus,1961,27
aus,1962,26.4
aus,1963,25.8
aus,1964,25.3
aus,1965,24.9
aus,1966,24.7
aus,1967,24.5
aus,1968,24.5
aus,1969,24.4
aus,1970,24.1
aus,1971,23.5
aus,1972,22.8
aus,1973,21.8
aus,1974,20.7
aus,1975,19.4
aus,1976,18.2
aus,1977,17.1
aus,1978,16.1
aus,1979,15.2
aus,1980,14.6
aus,1981,14
aus,1982,13.6
aus,1983,13.3
aus,1984,13
aus,1985,12.6
aus,1986,12.3
aus,1987,11.9
aus,1988,11.4
aus,1989,10.9
aus,1990,10.3
aus,1991,9.7
aus,1992,9.1
aus,1993,8.6
aus,1994,8.1
aus,1995,7.8
aus,1996,7.5
aus,1997,7.3
aus,1998,7.1
aus,1999,7
aus,2000,6.8
aus,2001,6.7
aus,2002,6.6
aus,2003,6.5
aus,2004,6.4
aus,2005,6.3
aus,2006,6.1
aus,2007,6
aus,2008,5.7
aus,2009,5.5
aus,2010,5.2
aus,2011,5
aus,2012,4.7
aus,2013,4.5
aus,2014,4.3
aus,2015,4.2
aus,2016,4.1
aus,2017,4.1
aus,2018,4.1
aus,2019,4.1
aus,2020,4
aut,1960,47.7
aut,1961,44.9
aut,1962,42.3
aut,1963,40.1
aut,1964,38.3
aut,1965,36.7
aut,1966,35.5
aut,1967,34.4
aut,1968,33.6
aut,1969,33.1
aut,1970,32.8
aut,1971,32.5
aut,1972,31.8
aut,1973,30.5
aut,1974,28.5
aut,1975,26.1
aut,1976,23.7
aut,1977,21.9
aut,1978,20.4
aut,1979,19.3
aut,1980,18.4
aut,1981,17.5
aut,1982,16.7
aut,1983,15.9
aut,1984,15
aut,1985,14.2
aut,1986,13.3
aut,1987,12.5
aut,1988,11.7
aut,1989,11.1
aut,1990,10.6
aut,1991,10.1
aut,1992,9.5
aut,1993,8.8
aut,1994,8.1
aut,1995,7.5
aut,1996,6.9
aut,1997,6.6
aut,1998,6.3
aut,1999,6.1
aut,2000,6
aut,2001,6
aut,2002,5.9
aut,2003,5.7
aut,2004,5.6
aut,2005,5.4
aut,2006,5.2
aut,2007,5.1
aut,2008,5
aut,2009,4.9
aut,2010,4.8
aut,2011,4.6
aut,2012,4.4
aut,2013,4.3
aut,2014,4.1
aut,2015,4
aut,2016,3.9
aut,2017,3.9
aut,2018,3.9
aut,2019,3.9
aut,2020,4
aze,1982,115.4
aze,1983,112.7
aze,1984,110.1
aze,1985,107.7
aze,1986,105.5
aze,1987,103.7
aze,1988,102.3
aze,1989,101.2
aze,1990,100.8
aze,1991,100.8
aze,1992,101.1
aze,1993,101.2
aze,1994,100.8
aze,1995,99.5
aze,1996,97.1
aze,1997,93.9
aze,1998,89.7
aze,1999,84.7
aze,2000,79.4
aze,2001,74.1
aze,2002,68.9
aze,2003,64.1
aze,2004,59.8
aze,2005,55.9
aze,2006,52.5
aze,2007,49.2
aze,2008,46.3
aze,2009,43.4
aze,2010,40.7
aze,2011,38
aze,2012,35.5
aze,2013,33.1
aze,2014,30.8
aze,2015,28.7
aze,2016,26.8
aze,2017,25
aze,2018,23.6
aze,2019,22.4
aze,2020,21.2
bdi,1964,248.6
bdi,1965,250.8
bdi,1966,252.8
bdi,1967,254.8
bdi,1968,256.5
bdi,1969,258.1
bdi,1970,259.2
bdi,1971,259.8
bdi,1972,325.3
bdi,1973,260.2
bdi,1974,260.3
bdi,1975,259.9
bdi,1976,258.7
bdi,1977,255.4
bdi,1978,249.8
bdi,1979,242.5
bdi,1980,233.1
bdi,1981,222.4
bdi,1982,211.3
bdi,1983,200.4
bdi,1984,190.9
bdi,1985,183.8
bdi,1986,178.8
bdi,1987,176.2
bdi,1988,175.6
bdi,1989,176.5
bdi,1990,177.9
bdi,1991,179.3
bdi,1992,180.4
bdi,1993,201.8
bdi,1994,180.8
bdi,1995,179.9
bdi,1996,178.2
bdi,1997,175.5
bdi,1998,171.6
bdi,1999,167.2
bdi,2000,162.3
bdi,2001,157.1
bdi,2002,151.7
bdi,2003,145.9
bdi,2004,139.5
bdi,2005,132.4
bdi,2006,124.9
bdi,2007,117.4
bdi,2008,110.3
bdi,2009,103.4
