global,time,sh_tbs_dtec_zs
world,2000,35
world,2001,36
world,2002,38
world,2003,41
world,2004,43
world,2005,46
world,2006,49
world,2007,50
world,2008,52
world,2009,53
world,2010,53
world,2011,54
world,2012,54
world,2013,54
world,2014,57
world,2015,59
world,2016,62
world,2017,62
world,2018,68
world,2019,72
world,2020,59
