geo,time,dt_nfl_unec_cd
alb,2012,16090.00005
alb,2013,852.00003
alb,2014,-48
alb,2015,-48
blr,2010,90000.00358
blr,2011,100000.00149
blr,2012,43159.99895
blr,2013,64593.0022
blr,2014,31750.99939
blr,2015,9251.00036
blr,2016,15499.99975
kaz,2014,10710.00006
kaz,2015,-2000.00009
kaz,2016,46100.00178
kaz,2017,611899.97196
kgz,2017,76849.99704
mda,2017,1330
srb,2014,32060.99942
srb,2015,-961.99999
tjk,2014,49720.00048
tjk,2015,49699.99939
tjk,2016,64400.00236
