global,time,en_atm_co2e_kd_gd
world,1990,0.57637
world,1991,0.57334
world,1992,0.5602
world,1993,0.55381
world,1994,0.53901
world,1995,0.53776
world,1996,0.52999
world,1997,0.51846
world,1998,0.50687
world,1999,0.49191
world,2000,0.48526
world,2001,0.48368
world,2002,0.47954
world,2003,0.48585
world,2004,0.48682
world,2005,0.48567
world,2006,0.48003
world,2007,0.47732
world,2008,0.47216
world,2009,0.47319
world,2010,0.48039
world,2011,0.47945
world,2012,0.47328
world,2013,0.46872
world,2014,0.45493
world,2015,0.43909
world,2016,0.42707
world,2017,0.41824
world,2018,0.41348
