global,time,se_adt_litr_zs
world,1976,66.91512
world,1977,67.10687
world,1978,67.58018
world,1979,68.03116
world,1980,68.31707
world,1981,68.87569
world,1982,69.38105
world,1983,69.92422
world,1984,70.45529
world,1985,70.9342
world,1986,71.37556
world,1987,71.96198
world,1988,73.66123
world,1989,74.09586
world,1990,74.31615
world,1991,74.87672
world,1992,75.32282
world,1993,75.75018
world,1994,76.17237
world,1995,76.58119
world,1996,76.99569
world,1997,79.02835
world,1998,80.20595
world,1999,80.54926
world,2000,80.67543
world,2001,80.99337
world,2002,81.39531
world,2003,81.92432
world,2004,82.34433
world,2005,82.2603
world,2006,82.52599
world,2007,82.81676
world,2008,83.33974
world,2009,83.62333
world,2010,84.02163
world,2011,84.28377
world,2012,84.72968
world,2013,84.93172
world,2014,85.3606
world,2015,85.54232
world,2016,85.98551
world,2017,86.22016
world,2018,86.24694
world,2019,86.4783
world,2020,86.68221
