geo,time,sh_dth_0509
afg,1990,4851
afg,1991,4853
afg,1992,4920
afg,1993,4997
afg,1994,5018
afg,1995,4960
afg,1996,4846
afg,1997,4684
afg,1998,5523
afg,1999,4409
afg,2000,4365
afg,2001,4357
afg,2002,4420
afg,2003,4532
afg,2004,4676
afg,2005,4821
afg,2006,5047
afg,2007,5253
afg,2008,5389
afg,2009,5424
afg,2010,5358
afg,2011,5200
afg,2012,4984
afg,2013,4706
afg,2014,4381
afg,2015,4082
afg,2016,3856
afg,2017,3672
afg,2018,3501
afg,2019,3348
afg,2020,3584
ago,1990,13989
ago,1991,12491
ago,1992,15204
ago,1993,13449
ago,1994,13882
ago,1995,14233
ago,1996,14614
ago,1997,14903
ago,1998,15076
ago,1999,15155
ago,2000,15119
ago,2001,15120
ago,2002,15035
ago,2003,14850
ago,2004,14540
ago,2005,14164
ago,2006,13790
ago,2007,13431
ago,2008,13043
ago,2009,12640
ago,2010,12233
ago,2011,11868
ago,2012,11514
ago,2013,11214
ago,2014,10961
ago,2015,10743
ago,2016,10606
ago,2017,10487
ago,2018,10339
ago,2019,10177
ago,2020,10032
alb,1990,266
alb,1991,250
alb,1992,234
alb,1993,219
alb,1994,205
alb,1995,192
alb,1996,180
alb,1997,218
alb,1998,160
alb,1999,151
alb,2000,142
alb,2001,133
alb,2002,125
alb,2003,116
alb,2004,107
alb,2005,99
alb,2006,91
alb,2007,83
alb,2008,76
alb,2009,68
alb,2010,62
alb,2011,55
alb,2012,50
alb,2013,45
alb,2014,41
alb,2015,38
alb,2016,35
alb,2017,33
alb,2018,32
alb,2019,31
alb,2020,30
and,1990,1
and,1991,1
and,1992,1
and,1993,1
and,1994,1
and,1995,1
and,1996,1
and,1997,1
and,1998,1
and,1999,1
and,2000,1
and,2001,1
and,2002,1
and,2003,1
and,2004,1
and,2005,1
and,2006,1
and,2007,1
and,2008,1
and,2009,0
and,2010,0
and,2011,0
and,2012,0
and,2013,0
and,2014,0
and,2015,0
and,2016,0
and,2017,0
and,2018,0
and,2019,0
and,2020,0
are,1990,67
are,1991,67
are,1992,68
are,1993,67
are,1994,67
are,1995,66
are,1996,67
are,1997,68
are,1998,70
are,1999,71
are,2000,73
are,2001,69
are,2002,65
are,2003,62
are,2004,61
are,2005,63
are,2006,64
are,2007,68
are,2008,71
are,2009,73
are,2010,74
are,2011,77
are,2012,79
are,2013,82
are,2014,83
are,2015,85
are,2016,87
are,2017,88
are,2018,88
are,2019,88
are,2020,87
arg,1990,1085
arg,1991,1063
arg,1992,1045
arg,1993,1030
arg,1994,1013
arg,1995,995
arg,1996,980
arg,1997,969
arg,1998,958
arg,1999,943
arg,2000,926
arg,2001,908
arg,2002,890
arg,2003,877
arg,2004,873
arg,2005,873
arg,2006,874
arg,2007,871
arg,2008,861
arg,2009,841
arg,2010,813
arg,2011,780
arg,2012,748
arg,2013,721
arg,2014,700
arg,2015,682
arg,2016,665
arg,2017,647
arg,2018,627
arg,2019,605
