global,time,ic_wrh_durs
world,2005,205.34259
world,2006,201.59337
world,2007,200.5
world,2008,200.13235
world,2009,192.0117
world,2010,186.62281
world,2011,181.95058
world,2012,175.77143
world,2013,170.22195
world,2014,166.23419
world,2015,165.07627
world,2016,161.72692
world,2017,160.03681
world,2018,157.43032
world,2019,153.98586
