geo,time,iq_spi_pil2
afg,2016,6.73333
afg,2017,24.03333
afg,2018,59.9
afg,2019,59.9
ago,2016,7.66667
ago,2017,24.4
ago,2018,57.3
ago,2019,57.3
alb,2016,18.13333
alb,2017,35.9
alb,2018,69.76667
alb,2019,69.76667
are,2016,10.63333
are,2017,38.26667
are,2018,36.86667
are,2019,36.86667
arg,2016,75.6
arg,2017,78.9
arg,2018,79.46667
arg,2019,79.46667
arm,2016,84.46667
arm,2017,85.23333
arm,2018,84.96667
arm,2019,84.96667
aus,2016,89.26667
aus,2017,94.5
aus,2018,92.66667
aus,2019,92.66667
aut,2016,90.5
aut,2017,86.9
aut,2018,91.3
aut,2019,91.3
aze,2016,13.73333
aze,2017,31.13333
aze,2018,64.63333
aze,2019,64.63333
bdi,2016,44.36667
bdi,2017,59.73333
bdi,2018,61.7
bdi,2019,61.7
bel,2016,53.13333
bel,2017,51.1
bel,2018,83.93333
bel,2019,83.93333
ben,2016,40.56667
ben,2017,55.56667
ben,2018,58.3
ben,2019,58.3
bfa,2016,42.03333
bfa,2017,59.43333
bfa,2018,59.56667
bfa,2019,59.56667
bgd,2016,43.03333
bgd,2017,61.9
bgd,2018,61.6
bgd,2019,61.6
bgr,2016,52.53333
bgr,2017,60.93333
bgr,2018,90.1
bgr,2019,90.1
bhr,2016,14.26667
bhr,2017,30.93333
bhr,2018,64.26667
bhr,2019,64.26667
bhs,2016,8.23333
bhs,2017,26.33333
bhs,2018,60.63333
bhs,2019,27.3
bih,2016,10.73333
bih,2017,27.73333
bih,2018,60.66667
bih,2019,60.66667
blr,2016,45.6
blr,2017,46.53333
blr,2018,79.23333
blr,2019,79.23333
blz,2016,9.7
blz,2017,28.43333
blz,2018,62.26667
blz,2019,62.26667
bol,2016,46.26667
bol,2017,66.83333
bol,2018,68.53333
bol,2019,68.53333
bra,2016,80.6
bra,2017,79.46667
bra,2018,83.3
bra,2019,83.3
btn,2016,48.13333
btn,2017,61.1
btn,2018,59.23333
btn,2019,59.23333
bwa,2016,43.53333
bwa,2017,66.23333
bwa,2018,66.56667
bwa,2019,66.56667
can,2016,95.1
can,2017,95.23333
can,2018,93.2
can,2019,93.2
che,2016,86.83333
che,2017,85.96667
