global,time,se_sec_durs
world,1970,6
world,1971,6
world,1972,6
world,1973,6
world,1974,6
world,1975,6
world,1976,6
world,1977,6
world,1978,6
world,1979,6
world,1980,6
world,1981,6
world,1982,6
world,1983,6
world,1984,6
world,1985,6
world,1986,6
world,1987,6
world,1988,6
world,1989,6
world,1990,6
world,1991,6
world,1992,6
world,1993,6
world,1994,6
world,1995,6
world,1996,6
world,1997,6
world,1998,6
world,1999,6
world,2000,6
world,2001,6
world,2002,6
world,2003,6
world,2004,6
world,2005,6
world,2006,6
world,2007,6
world,2008,6
world,2009,6
world,2010,6
world,2011,6
world,2012,6
world,2013,6
world,2014,6
world,2015,6
world,2016,6
world,2017,6
world,2018,6
world,2019,6
world,2020,6
world,2021,6
