geo,time,vc_btl_deth
afg,1989,5174
afg,1990,1478
afg,1991,3302
afg,1992,4276
afg,1993,4071
afg,1994,8937
afg,1995,5499
afg,1996,3177
afg,1997,6396
afg,1998,6256
afg,1999,4629
afg,2000,5235
afg,2001,5055
afg,2002,890
afg,2003,687
afg,2004,715
afg,2005,1595
afg,2006,4750
afg,2007,6906
afg,2008,5552
afg,2009,6341
afg,2010,6864
afg,2011,7403
afg,2012,7721
afg,2013,8056
afg,2014,12284
afg,2015,17273
afg,2016,17978
afg,2017,19014
afg,2018,25676
afg,2019,29940
afg,2020,20473
ago,1989,2810
ago,1990,2558
ago,1991,516
ago,1992,2346
ago,1993,12054
ago,1994,3974
ago,1995,187
ago,1996,29
ago,1997,51
ago,1998,1066
ago,1999,2272
ago,2000,943
ago,2001,1123
ago,2002,521
ago,2003,25
ago,2004,25
ago,2007,25
ago,2009,25
ago,2016,25
ago,2017,25
ago,2019,25
ago,2020,21
alb,1999,6
arg,1992,0
arm,1992,85
arm,1993,37
arm,1994,30
arm,2005,1
arm,2012,9
arm,2015,9
arm,2016,4
arm,2020,10
aus,2018,1
aze,1991,35
aze,1992,2082
aze,1993,1194
aze,1994,1477
aze,1995,44
aze,1997,29
aze,1998,34
aze,2005,24
aze,2008,30
aze,2012,16
aze,2014,46
aze,2015,63
aze,2016,137
aze,2017,36
aze,2020,7623
bdi,1991,272
bdi,1992,61
bdi,1994,56
bdi,1995,254
bdi,1996,531
bdi,1997,639
bdi,1998,621
bdi,1999,524
bdi,2000,1348
bdi,2001,1182
bdi,2002,1170
bdi,2003,972
bdi,2004,387
bdi,2005,286
bdi,2006,141
bdi,2008,201
bdi,2014,60
bdi,2015,181
bdi,2019,16
bdi,2020,63
bel,2016,2
bel,2018,3
bfa,2018,79
bfa,2019,349
bfa,2020,509
bgd,1989,26
bgd,1990,45
bgd,1991,25
bgd,2005,62
bgd,2006,57
bgd,2016,41
bgd,2017,47
bgd,2020,2
bih,1992,16482
bih,1993,5456
bih,1994,2828
bih,1995,1345
btn,1997,4
caf,2001,195
caf,2002,131
caf,2006,46
caf,2009,88
caf,2010,47
caf,2011,48
caf,2012,45
caf,2013,415
caf,2014,17
caf,2018,55
caf,2019,51
caf,2020,57
chn,2008,36
chn,2009,2
chn,2015,5
civ,1990,8
civ,2002,624
civ,2003,139
civ,2004,47
civ,2011,98
cmr,1996,56
cmr,2014,969
cmr,2015,924
cmr,2016,181
cmr,2017,98
cmr,2018,749
cmr,2019,693
cmr,2020,429
cod,1994,0
cod,1996,1389
cod,1997,4591
cod,1998,3356
cod,1999,3282
cod,2000,1473
cod,2001,486
cod,2002,76
cod,2005,34
cod,2006,177
cod,2007,632
cod,2008,767
cod,2009,1978
cod,2010,300
cod,2011,283
cod,2012,806
cod,2013,1531
cod,2014,993
cod,2015,197
cod,2016,765
cod,2017,3632
cod,2018,821
cod,2019,764
cod,2020,1149
cog,1993,53
cog,1997,10000
cog,1998,3272
cog,1999,626
cog,2002,167
cog,2016,51
cog,2019,0
cog,2020,0
col,1989,238
col,1990,501
col,1991,725
col,1992,1479
col,1993,182
col,1994,1123
col,1995,823
col,1996,1192
col,1997,560
col,1998,939
col,1999,1374
col,2000,1078
col,2001,1864
col,2002,2263
col,2003,730
col,2004,1234
col,2005,1389
col,2006,502
col,2007,314
col,2008,219
col,2009,377
col,2010,419
col,2011,202
col,2012,211
col,2013,140
col,2014,119
col,2015,134
col,2016,30
col,2018,147
col,2019,132
col,2020,28
com,1989,29
com,1997,56
deu,1989,3
deu,1990,1
dji,1989,6
dji,1990,60
dji,1991,59
dji,1992,129
dji,1993,33
dji,1994,39
dji,1999,25
dji,2008,35
dza,1991,34
dza,1992,257
dza,1993,800
dza,1994,1916
dza,1995,3008
dza,1996,1084
dza,1997,1403
dza,1998,3029
dza,1999,1016
dza,2000,932
dza,2001,642
dza,2002,539
dza,2003,670
dza,2004,397
dza,2005,217
dza,2006,255
dza,2007,472
dza,2008,339
dza,2009,505
dza,2010,236
dza,2011,267
dza,2012,256
dza,2013,147
dza,2014,107
dza,2015,110
dza,2016,86
dza,2017,60
dza,2018,33
dza,2020,25
ecu,1995,11
ecu,2008,25
ecu,2019,2
egy,1993,103
egy,1994,145
egy,1995,187
egy,1996,85
egy,1997,66
egy,1998,27
egy,2014,184
egy,2015,767
egy,2016,355
egy,2017,497
egy,2018,680
egy,2019,445
egy,2020,327
eri,1997,31
eri,1998,10
eri,1999,17203
eri,2000,1793
eri,2003,57
eri,2016,25
esp,1991,44
eth,1989,24358
eth,1990,49698
eth,1991,12225
eth,1992,165
eth,1993,36
eth,1994,75
eth,1995,29
eth,1996,52
eth,1998,1040
eth,1999,30704
eth,2000,48257
eth,2001,40
eth,2002,50
eth,2003,50
eth,2004,50
eth,2005,83
eth,2006,50
eth,2007,177
eth,2008,50
eth,2009,515
eth,2010,151
eth,2011,51
eth,2012,50
eth,2013,77
eth,2014,25
eth,2015,49
eth,2016,50
eth,2019,27
eth,2020,1343
fra,1992,0
fra,1996,0
fra,2015,3
fra,2017,2
fra,2018,4
gbr,1989,35
gbr,1990,41
gbr,1991,26
gbr,1998,29
gbr,2019,1
geo,1991,52
geo,1992,771
geo,1993,1763
geo,2002,0
geo,2004,27
geo,2008,621
gin,2000,217
gin,2001,430
gnb,1992,2
gnb,1998,505
gnb,1999,199
gnb,2000,0
gtm,1989,82
gtm,1990,83
gtm,1991,72
gtm,1992,67
gtm,1993,58
gtm,1994,37
gtm,1995,27
hrv,1992,142
hrv,1993,345
hrv,1995,826
hti,1989,48
hti,1991,160
hti,2004,207
idn,1990,72
idn,1991,58
idn,1992,39
idn,1997,51
idn,1998,30
idn,1999,213
idn,2000,286
idn,2001,278
idn,2002,466
idn,2003,868
idn,2004,935
idn,2005,213
idn,2018,25
ind,1989,1002
ind,1990,2326
ind,1991,3153
ind,1992,3078
ind,1993,1503
ind,1994,1178
ind,1995,836
ind,1996,833
ind,1997,950
ind,1998,881
ind,1999,2041
ind,2000,2929
ind,2001,1159
ind,2002,1868
ind,2003,1515
ind,2004,1374
ind,2005,1382
ind,2006,1373
ind,2007,1086
ind,2008,1076
ind,2009,1115
ind,2010,1028
ind,2011,439
ind,2012,416
ind,2013,405
ind,2014,473
ind,2015,504
ind,2016,636
ind,2017,665
ind,2018,824
ind,2019,594
ind,2020,584
irn,1990,31
irn,1991,44
irn,1993,143
irn,1996,34
irn,1997,37
irn,1999,19
irn,2000,40
irn,2001,112
irn,2005,28
irn,2006,52
irn,2007,86
irn,2008,117
irn,2009,133
irn,2010,74
irn,2011,219
irn,2016,22
irn,2017,27
irn,2018,60
irn,2019,31
irn,2020,204
irq,1989,50
irq,1990,94
irq,1991,23038
irq,1992,327
irq,1993,118
irq,1994,149
irq,1995,657
irq,1996,572
irq,1997,2020
irq,1998,32
irq,1999,270
irq,2000,53
irq,2001,36
irq,2002,26
irq,2003,7927
irq,2004,4094
irq,2005,2608
irq,2006,3928
irq,2007,2217
irq,2008,2200
irq,2009,1043
irq,2010,1118
irq,2011,1072
irq,2012,638
irq,2013,1882
irq,2014,12221
irq,2015,10200
irq,2016,9624
irq,2017,10204
irq,2018,1257
irq,2019,742
irq,2020,858
isr,1989,5
isr,1990,18
