geo,time,sh_sta_hygn_ru_zs
afg,2005,29.12944
afg,2006,29.12944
afg,2007,29.12944
afg,2008,29.12944
afg,2009,29.12944
afg,2010,29.12944
afg,2011,29.12944
afg,2012,29.12944
afg,2013,29.12944
afg,2014,29.12944
afg,2015,29.12944
afg,2016,29.12944
afg,2017,29.12944
afg,2018,29.12944
afg,2019,29.12944
afg,2020,29.12944
ago,2012,13.23489
ago,2013,13.23489
ago,2014,13.23489
ago,2015,13.23489
ago,2016,13.23489
ago,2017,13.23489
ago,2018,13.23489
ago,2019,13.23489
ago,2020,13.23489
arm,2000,65.57796
arm,2001,66.99612
arm,2002,68.41428
arm,2003,69.83243
arm,2004,71.25059
arm,2005,72.66875
arm,2006,74.08691
arm,2007,75.50507
arm,2008,76.92322
arm,2009,78.34138
arm,2010,79.75954
arm,2011,81.1777
arm,2012,82.59586
arm,2013,84.01401
arm,2014,85.43217
arm,2015,86.85033
arm,2016,88.26849
arm,2017,89.68665
arm,2018,91.1048
arm,2019,91.1048
arm,2020,91.1048
aze,2009,87.37166
aze,2010,87.37166
aze,2011,87.37166
aze,2012,87.37166
aze,2013,87.37166
aze,2014,87.37166
aze,2015,87.37166
aze,2016,87.37166
aze,2017,87.37166
bdi,2004,4.00734
bdi,2005,4.00734
bdi,2006,4.00734
bdi,2007,4.00734
bdi,2008,4.00734
bdi,2009,4.01568
bdi,2010,4.02402
bdi,2011,4.03236
bdi,2012,4.0407
bdi,2013,4.04904
bdi,2014,4.05737
bdi,2015,4.06571
bdi,2016,4.07405
bdi,2017,4.08239
bdi,2018,4.09073
bdi,2019,4.09907
bdi,2020,4.09907
ben,2000,0
ben,2001,0
ben,2002,0.06551
ben,2003,0.4965
ben,2004,0.92748
ben,2005,1.35847
ben,2006,1.78946
ben,2007,2.22044
ben,2008,2.65143
ben,2009,3.08242
ben,2010,3.5134
ben,2011,3.94439
ben,2012,4.37538
ben,2013,4.80636
ben,2014,5.23735
ben,2015,5.66834
ben,2016,6.09932
ben,2017,6.53031
ben,2018,6.9613
ben,2019,7.39228
ben,2020,7.82327
bfa,2000,3.17179
bfa,2001,3.17179
bfa,2002,3.29204
bfa,2003,3.41229
bfa,2004,3.53255
bfa,2005,3.6528
bfa,2006,3.77305
bfa,2007,3.89331
bfa,2008,4.01356
bfa,2009,4.13381
bfa,2010,4.25407
bfa,2011,4.37432
bfa,2012,4.49457
bfa,2013,4.61483
bfa,2014,4.73508
bfa,2015,4.85533
bfa,2016,4.97559
bfa,2017,5.09584
bfa,2018,5.21609
bfa,2019,5.33635
bfa,2020,5.4566
bgd,2005,11.49613
bgd,2006,11.49613
bgd,2007,11.49613
bgd,2008,11.49613
bgd,2009,11.49613
bgd,2010,15.34558
bgd,2011,19.19504
bgd,2012,23.0445
bgd,2013,26.89396
bgd,2014,30.74342
bgd,2015,34.59288
bgd,2016,38.44234
bgd,2017,42.2918
bgd,2018,46.14126
bgd,2019,49.99072
bgd,2020,53.84017
bih,2008,96.04974
bih,2009,96.04974
bih,2010,96.04974
bih,2011,96.04974
bih,2012,96.04974
bih,2013,96.04974
bih,2014,96.04974
bih,2015,96.04974
bih,2016,96.04974
blz,2005,85.8457
blz,2006,85.8457
blz,2007,85.8457
blz,2008,85.8457
blz,2009,85.8457
blz,2010,86.16137
blz,2011,86.47703
blz,2012,86.79269
blz,2013,87.10836
blz,2014,87.42402
blz,2015,87.73968
blz,2016,88.05535
blz,2017,88.37101
blz,2018,88.68668
blz,2019,88.68668
blz,2020,88.68668
bol,2010,21.89414
bol,2011,21.89414
bol,2012,21.89414
bol,2013,21.89414
bol,2014,21.89414
bol,2015,21.89414
bol,2016,21.89414
bol,2017,21.89414
bol,2018,21.89414
bol,2019,21.89414
bol,2020,21.89414
btn,2004,71.49132
btn,2005,71.49132
btn,2006,71.49132
btn,2007,71.49132
btn,2008,71.49132
btn,2009,73.31697
btn,2010,75.14262
btn,2011,76.96826
btn,2012,78.79391
btn,2013,80.61956
btn,2014,82.4452
btn,2015,84.27085
btn,2016,86.0965
btn,2017,87.92215
btn,2018,89.74779
btn,2019,91.57344
btn,2020,93.39909
caf,2004,13.21427
caf,2005,13.21427
caf,2006,13.21427
caf,2007,13.21427
caf,2008,13.21427
caf,2009,13.13071
caf,2010,13.04714
caf,2011,12.96358
caf,2012,12.88001
caf,2013,12.79645
caf,2014,12.71288
caf,2015,12.62932
caf,2016,12.54576
caf,2017,12.46219
caf,2018,12.37863
caf,2019,12.29506
caf,2020,12.2115
civ,2006,6.90865
civ,2007,6.90865
civ,2008,6.90865
civ,2009,6.90865
civ,2010,6.90865
civ,2011,7.33182
civ,2012,7.75499
civ,2013,8.17816
civ,2014,8.60132
civ,2015,9.02449
civ,2016,9.44766
civ,2017,9.87082
civ,2018,10.29399
civ,2019,10.71716
civ,2020,11.14032
cmr,2015,22.03013
cmr,2016,22.03013
cmr,2017,22.03013
cmr,2018,22.03013
cmr,2019,22.03013
cmr,2020,22.03013
cod,2014,12.33363
cod,2015,12.33363
cod,2016,12.33363
cod,2017,12.33363
cod,2018,12.33363
cod,2019,12.33363
cod,2020,12.33363
cog,2011,31.8136
cog,2012,31.8136
cog,2013,31.8136
cog,2014,31.8136
cog,2015,31.8136
cog,2016,31.8136
cog,2017,31.8136
cog,2018,31.8136
cog,2019,31.8136
col,2011,31.50031
col,2012,31.50031
col,2013,31.50031
col,2014,31.50031
col,2015,31.50031
col,2016,31.50031
col,2017,31.50031
col,2018,31.50031
col,2019,31.50031
col,2020,31.50031
com,2008,14.65306
com,2009,14.65306
com,2010,14.65306
com,2011,14.65306
com,2012,14.65306
com,2013,14.65306
com,2014,14.65306
com,2015,14.65306
com,2016,14.65306
cri,2005,82.83613
cri,2006,82.83613
cri,2007,82.83613
cri,2008,82.83613
cri,2009,82.83613
cri,2010,82.87888
cri,2011,82.92163
cri,2012,82.96438
cri,2013,83.00713
cri,2014,83.04988
cri,2015,83.09263
cri,2016,83.13539
cri,2017,83.17814
cri,2018,83.22089
cri,2019,83.26364
cri,2020,83.30639
cub,2008,72.67018
cub,2009,72.67018
cub,2010,72.67018
cub,2011,72.67018
cub,2012,72.67018
cub,2013,74.38399
cub,2014,76.09779
cub,2015,77.81159
cub,2016,79.52539
cub,2017,81.2392
cub,2018,82.953
cub,2019,84.6668
cub,2020,86.3806
dom,2008,32.95143
dom,2009,32.95143
dom,2010,32.95143
dom,2011,32.95143
dom,2012,32.95143
dom,2013,32.95143
dom,2014,32.95143
dom,2015,32.95143
dom,2016,32.95143
dom,2017,32.95143
dom,2018,32.95143
dom,2019,32.95143
dom,2020,32.95143
dza,2007,72.83243
dza,2008,72.83243
dza,2009,72.83243
dza,2010,72.83243
dza,2011,72.83243
dza,2012,73.08251
dza,2013,73.3326
dza,2014,73.58268
dza,2015,73.83276
dza,2016,74.08285
dza,2017,74.33293
dza,2018,74.58301
dza,2019,74.83309
dza,2020,75.08318
ecu,2010,78.50464
ecu,2011,78.50464
ecu,2012,78.50464
ecu,2013,78.50464
ecu,2014,78.50464
ecu,2015,78.50464
ecu,2016,78.50464
ecu,2017,78.50464
ecu,2018,78.50464
ecu,2019,78.50464
ecu,2020,78.50464
egy,2000,50.95361
egy,2001,53.24757
egy,2002,55.54152
egy,2003,57.83548
egy,2004,60.12943
egy,2005,62.42339
egy,2006,64.71734
egy,2007,67.0113
egy,2008,69.30525
egy,2009,71.59921
egy,2010,73.89316
egy,2011,76.18712
egy,2012,78.48107
egy,2013,80.77502
egy,2014,83.06898
egy,2015,85.36293
egy,2016,87.65689
egy,2017,87.65689
egy,2018,87.65689
egy,2019,87.65689
egy,2020,87.65689
eth,2010,4.82514
eth,2011,4.82514
eth,2012,4.82514
eth,2013,4.82514
eth,2014,4.82514
eth,2015,4.82514
eth,2016,4.82514
eth,2017,4.82514
eth,2018,4.82514
eth,2019,4.82514
eth,2020,4.82514
geo,2014,87.44337
geo,2015,87.44337
geo,2016,87.44337
geo,2017,87.44337
geo,2018,87.44337
geo,2019,87.44337
geo,2020,87.44337
gha,2011,34.8757
gha,2012,34.8757
gha,2013,34.8757
gha,2014,34.8757
gha,2015,34.8757
gha,2016,34.8757
gha,2017,34.8757
gha,2018,34.8757
gha,2019,34.8757
gha,2020,34.8757
gin,2014,13.07701
gin,2015,13.07701
gin,2016,13.07701
gin,2017,13.07701
gin,2018,13.07701
gin,2019,13.07701
gin,2020,13.07701
gmb,2014,18.19928
gmb,2015,18.19928
gmb,2016,18.19928
gmb,2017,18.19928
gmb,2018,18.19928
gmb,2019,18.19928
gmb,2020,18.19928
gnb,2000,0
gnb,2001,0
gnb,2002,0
gnb,2003,0
gnb,2004,0
gnb,2005,0
gnb,2006,0
gnb,2007,0
gnb,2008,0
gnb,2009,0.11014
gnb,2010,1.41204
gnb,2011,2.71393
gnb,2012,4.01582
gnb,2013,5.31772
gnb,2014,6.61961
gnb,2015,7.92151
