geo,time,per_sa_allsa_cov_q3_tot
afg,2007,16.09149
afg,2011,8.31429
ago,2018,17.9864
alb,2008,29.73238
alb,2012,19.77986
arg,2006,8.09674
arg,2010,7.48903
arg,2011,15.54335
arg,2012,16.2731
arg,2013,14.67209
arg,2014,11.65353
arg,2016,11.05046
arg,2017,15.07659
arg,2018,14.5236
arg,2019,15.59864
arm,2008,19.44015
arm,2009,18.90067
arm,2010,24.07757
arm,2011,18.70733
arm,2012,22.42229
arm,2013,23.83565
arm,2014,27.00799
arm,2015,26.34134
arm,2016,32.77207
arm,2017,36.65477
arm,2018,29.87739
aze,2015,26.71793
bfa,2003,33.29078
bfa,2014,2.66038
bfa,2018,61.74847
bgd,2005,12.60632
bgd,2010,14.59811
bgd,2016,41.88429
bgr,2007,38.88661
bih,2007,20.1736
bih,2015,16.47611
blr,2008,60.63446
blr,2009,58.61244
blr,2010,59.30021
blr,2012,60.14256
blr,2013,56.48406
blr,2014,54.4249
blr,2015,50.43392
blr,2016,52.24058
blr,2017,55.69475
blr,2018,54.89594
blr,2019,45.87321
blz,2009,13.63173
bol,2006,10.36083
bol,2007,52.74
bol,2008,76.15786
bol,2009,80.80923
bol,2011,77.45131
bol,2012,77.68658
bol,2014,80.29932
bol,2015,78.79034
bol,2016,81.26767
bol,2017,82.02101
bol,2018,80.24087
bol,2019,81.63363
bra,2006,19.77753
bra,2009,17.68521
bra,2011,18.73514
bra,2012,20.09173
bra,2015,17.29156
bra,2016,14.11589
bra,2017,13.37487
bra,2018,12.53407
bra,2019,13.00587
btn,2007,0.89625
btn,2012,1.67377
bwa,2009,80.19915
bwa,2015,59.21784
chl,2006,83.02395
chl,2009,85.02559
chl,2011,85.89477
chl,2013,83.66058
chl,2015,78.9009
chl,2017,89.34966
chn,2013,40.22912
civ,2002,5.57269
civ,2008,31.75438
civ,2015,31.47882
cmr,2007,1.60839
cmr,2014,0.57805
cod,2012,9.25754
cog,2005,0.88327
col,2010,47.45035
col,2011,49.93418
col,2012,46.23039
col,2014,64.54198
col,2015,24.41423
col,2016,22.89507
col,2017,21.3228
col,2018,20.23262
col,2019,19.88362
cpv,2007,20.8543
cri,2008,58.90864
cri,2009,57.18669
cri,2010,52.42508
cri,2011,51.56623
cri,2012,51.14713
cri,2014,48.21887
cri,2015,56.58528
cri,2016,61.03698
cri,2017,59.20545
cri,2018,60.13145
cri,2019,59.72004
