global,time,sh_h2o_smdw_ur_zs
world,2000,84.52417
world,2001,84.45507
world,2002,84.61449
world,2003,84.53302
world,2004,84.45555
world,2005,84.36834
world,2006,84.29333
world,2007,84.22003
world,2008,84.14159
world,2009,84.0595
world,2010,83.9718
world,2011,84.13842
world,2012,84.333
world,2013,84.56162
world,2014,84.79309
world,2015,85.0292
world,2016,85.26482
world,2017,85.49618
world,2018,85.72631
world,2019,85.86674
world,2020,85.67258
