global,time,sp_dyn_imrt_in
world,1990,64.8
world,1991,64
world,1992,63.1
world,1993,62.2
world,1994,61.4
world,1995,60.1
world,1996,58.9
world,1997,57.5
world,1998,56
world,1999,54.5
world,2000,52.8
world,2001,51.1
world,2002,49.3
world,2003,47.6
world,2004,45.9
world,2005,44.2
world,2006,42.6
world,2007,41
world,2008,39.6
world,2009,38.1
world,2010,36.9
world,2011,35.5
world,2012,34.4
world,2013,33.3
world,2014,32.3
world,2015,31.4
world,2016,30.6
world,2017,29.7
world,2018,28.9
world,2019,28.1
world,2020,27.4
