geo,time,sl_tlf_cact_fe_zs
aze,2015,62.524
aze,2016,62.979
aze,2017,63.296
aze,2018,63.658
aze,2019,63.369
aze,2020,59.161
aze,2021,60.366
bdi,1990,90.555
bdi,1991,90.075
bdi,1992,89.573
bdi,1993,89.049
bdi,1994,88.502
bdi,1995,87.931
bdi,1996,87.339
bdi,1997,86.722
bdi,1998,86.08
bdi,1999,85.747
bdi,2000,85.407
bdi,2001,85.059
bdi,2002,84.705
bdi,2003,84.343
bdi,2004,83.974
bdi,2005,83.598
bdi,2006,83.215
bdi,2007,82.825
bdi,2008,82.428
bdi,2009,82.023
bdi,2010,81.611
bdi,2011,81.192
bdi,2012,80.765
bdi,2013,80.33
bdi,2014,79.888
bdi,2015,79.869
bdi,2016,79.859
bdi,2017,79.861
bdi,2018,79.875
bdi,2019,79.902
bdi,2020,79.143
bdi,2021,78.991
bel,1990,36.504
bel,1991,37.963
bel,1992,38.867
bel,1993,39.55
bel,1994,40.156
bel,1995,40.536
bel,1996,40.556
bel,1997,41
bel,1998,41.652
bel,1999,43.156
bel,2000,43.631
bel,2001,41.849
bel,2002,42.555
bel,2003,42.933
bel,2004,44.231
bel,2005,45.672
bel,2006,45.796
bel,2007,46.507
bel,2008,46.895
bel,2009,46.933
bel,2010,47.701
bel,2011,47.025
bel,2012,47.095
bel,2013,47.766
bel,2014,48.079
bel,2015,48.006
bel,2016,47.766
bel,2017,48.733
bel,2018,49.525
bel,2019,49.83
bel,2020,49.333
bel,2021,49.842
ben,1990,57.185
ben,1991,57.159
ben,1992,57.145
ben,1993,57.864
ben,1994,58.601
ben,1995,59.357
ben,1996,60.138
ben,1997,60.942
ben,1998,61.767
ben,1999,62.617
ben,2000,63.493
ben,2001,64.395
ben,2002,65.327
ben,2003,65.784
ben,2004,66.246
ben,2005,66.712
ben,2006,67.185
ben,2007,67.661
ben,2008,68.141
ben,2009,68.623
ben,2010,69.107
ben,2011,69.594
ben,2012,69.626
ben,2013,69.665
ben,2014,69.709
ben,2015,69.757
ben,2016,69.798
ben,2017,69.846
