geo,time,ip_ids_rsct
alb,2010,21
alb,2011,16
alb,2013,35
alb,2014,16
alb,2020,38
are,2010,27
are,2011,55
are,2012,45
are,2013,76
are,2014,107
are,2015,65
are,2016,79
are,2017,110
are,2018,54
are,2019,66
are,2020,52
arg,1980,1534
arg,1981,1224
arg,1982,1383
arg,1983,1471
arg,1984,1752
arg,1986,1949
arg,1988,1362
arg,1993,941
arg,1994,893
arg,1995,748
arg,1996,850
arg,1997,666
arg,1998,733
arg,1999,620
arg,2000,758
arg,2001,592
arg,2002,495
arg,2005,1043
arg,2006,952
arg,2007,679
arg,2008,799
arg,2009,902
arg,2010,1017
arg,2011,701
arg,2012,737
arg,2013,703
arg,2014,798
arg,2015,1016
arg,2016,1115
arg,2017,972
arg,2018,932
arg,2019,1052
arg,2020,1238
arm,2004,30
arm,2005,10
arm,2006,17
arm,2008,9
arm,2009,22
arm,2010,25
arm,2011,27
arm,2012,45
arm,2013,33
arm,2014,31
arm,2015,31
arm,2016,23
arm,2017,54
arm,2018,61
arm,2019,39
arm,2020,30
atg,2012,1
aus,2004,3318
aus,2005,3303
aus,2006,3531
aus,2007,2750
aus,2008,2727
aus,2009,2549
aus,2010,2828
aus,2011,2664
aus,2012,2714
aus,2013,2994
aus,2014,2630
aus,2015,2821
aus,2016,2739
aus,2017,2854
aus,2018,3095
aus,2019,3147
aus,2020,2664
aut,1980,4260
aut,1981,3072
aut,1982,3301
aut,1983,3162
aut,1984,3354
aut,1985,4185
aut,1986,3289
aut,1987,3305
aut,1988,3673
aut,1989,4346
aut,1990,4366
aut,1991,1711
aut,1992,1923
aut,1993,1625
aut,1994,1799
aut,1995,1674
aut,1996,2112
aut,1997,2105
aut,1998,2695
aut,1999,2176
aut,2000,2126
aut,2001,2310
aut,2002,2025
aut,2003,1590
aut,2004,1369
aut,2005,1048
aut,2006,1172
aut,2007,736
aut,2008,840
aut,2009,647
aut,2010,681
aut,2011,495
aut,2012,526
aut,2013,451
aut,2014,491
aut,2015,288
aut,2016,299
aut,2017,405
aut,2018,304
aut,2019,396
aut,2020,318
aze,2001,13
aze,2002,4
aze,2003,9
aze,2004,12
aze,2005,17
aze,2006,22
aze,2007,12
aze,2008,31
aze,2009,22
aze,2010,27
aze,2011,27
aze,2012,23
aze,2013,54
aze,2015,11
aze,2016,22
aze,2017,114
aze,2018,54
aze,2019,139
aze,2020,32
bdi,2017,2
bfa,2000,5
bfa,2001,15
bfa,2002,18
bfa,2003,13
bfa,2004,9
bfa,2005,9
bfa,2010,4
bgd,1980,91
bgd,1981,81
bgd,1982,66
bgd,1983,59
bgd,1984,154
bgd,1985,147
bgd,1986,175
bgd,1987,166
bgd,1988,176
bgd,1989,232
bgd,1990,189
bgd,1991,211
bgd,1992,273
bgd,1993,328
bgd,1994,337
bgd,1995,287
bgd,1996,396
bgd,1997,609
bgd,1998,649
bgd,1999,815
bgd,2000,693
bgd,2001,1046
bgd,2002,1020
bgd,2003,680
bgd,2004,739
bgd,2005,900
bgd,2006,1040
bgd,2007,748
bgd,2008,473
bgd,2009,954
bgd,2010,853
bgd,2011,1155
bgd,2012,1114
bgd,2013,1100
bgd,2014,1245
bgd,2015,1284
bgd,2016,1359
bgd,2017,1577
bgd,2018,1897
bgd,2019,1494
bgd,2020,1162
bgr,2010,520
bgr,2011,615
bgr,2012,743
bgr,2013,831
bgr,2014,885
bgr,2015,620
bgr,2016,648
bgr,2017,631
bgr,2018,433
bgr,2019,718
bgr,2020,534
bhr,1981,16
bhr,1983,6
bhr,1984,5
bhr,1985,5
bhr,1986,4
bhr,1992,5
bhr,2012,9
bhr,2013,10
