global,time,st_int_trnx_cd
world,1995,88708173998.9967
world,1996,90752945857.48099
world,1997,94102044233.67261
world,1998,95473526855.3513
world,1999,96641785972.87299
world,2000,105881066925.116
world,2001,103225577279.314
world,2002,103932592210.211
world,2003,108753297230.60001
world,2004,126353100350.93201
world,2005,143215862517.74301
world,2006,157127041546.64499
world,2007,180203790270.81696
world,2008,202197801353.763
world,2009,174458373537.97198
world,2010,203706139863.371
world,2011,230690967257.79901
world,2012,240299198222.289
world,2013,231406519394.26697
world,2014,230500555291.08301
world,2015,209780304448.36096
world,2016,207772719659.75296
world,2017,222824158705.61401
world,2018,247818655027.51096
world,2019,249918316504.39896
