global,time,gc_nfn_totl_gd_zs
world,1980,1.09923
world,1986,1.01485
world,1989,0.76915
world,1990,0.566
world,1994,0.74243
world,1995,1.05967
world,1996,1.06509
world,1997,0.96572
world,1998,0.99383
world,1999,1.02747
world,2000,0.71018
world,2001,1.31731
world,2002,1.4271
world,2003,1.51575
world,2004,1.43341
world,2005,1.46758
world,2006,1.435
world,2007,1.50871
world,2008,1.7459
world,2009,1.68302
world,2010,1.71179
world,2011,1.67971
world,2012,1.52348
world,2013,1.28157
world,2014,1.35248
world,2015,1.26695
world,2016,1.38846
