geo,time,ip_tmk_rsct
ago,2016,1585
ago,2017,1724
ago,2018,2354
ago,2019,2604
ago,2020,2546
alb,2011,427
alb,2013,1521
alb,2014,581
alb,2015,866
alb,2016,918
alb,2017,1232
alb,2018,1542
alb,2019,1439
alb,2020,1287
and,2004,620
and,2005,948
and,2007,818
and,2008,1095
and,2009,736
and,2010,1025
and,2011,677
and,2014,526
and,2015,514
and,2016,618
and,2017,691
and,2018,822
and,2019,1058
and,2020,720
are,2011,3208
are,2012,4130
are,2013,5293
are,2014,6992
are,2015,6425
are,2016,5199
are,2017,6075
are,2018,4711
are,2019,5507
are,2020,6415
arg,2004,59683
arg,2005,59264
arg,2006,58283
arg,2007,53669
arg,2008,66326
arg,2009,65273
arg,2010,68974
arg,2011,57346
arg,2012,44398
arg,2013,40291
arg,2014,44134
arg,2015,52208
arg,2016,55739
arg,2017,59669
arg,2018,55492
arg,2019,49081
arg,2020,64413
arm,2004,2127
arm,2005,1495
arm,2006,1712
arm,2008,1829
arm,2009,1766
arm,2010,1949
arm,2011,2084
arm,2012,1985
arm,2013,1995
arm,2014,2421
arm,2015,2728
arm,2016,2356
arm,2017,2685
arm,2018,2897
arm,2019,3912
arm,2020,3469
aus,2004,55756
aus,2005,58586
aus,2006,63011
aus,2007,67208
aus,2008,65598
aus,2009,63947
aus,2010,68333
aus,2011,69064
aus,2012,70602
aus,2013,69285
aus,2014,71933
aus,2015,80792
aus,2016,81395
aus,2017,80230
aus,2018,83643
aus,2019,78307
aus,2020,89991
aut,2004,22722
aut,2005,23370
aut,2006,23736
aut,2007,26244
aut,2012,17304
aut,2013,18191
aut,2014,16683
aut,2015,15209
aut,2016,14689
aut,2017,14039
aut,2018,15663
aut,2019,16533
aut,2020,16674
aze,2005,2187
aze,2012,3615
aze,2013,3556
aze,2014,3683
aze,2015,2801
aze,2016,2817
aze,2017,3077
aze,2018,3791
aze,2019,3908
aze,2020,3967
bdi,2017,57
bdi,2018,36
bdi,2019,29
bdi,2020,42
bgd,2004,4365
bgd,2005,6093
bgd,2006,5566
bgd,2007,5572
bgd,2008,6474
bgd,2009,7447
bgd,2010,7857
bgd,2011,8632
bgd,2012,8294
bgd,2013,8001
bgd,2014,7930
bgd,2015,9322
bgd,2016,8580
bgd,2017,9247
bgd,2018,7960
bgd,2019,8043
bgd,2020,9782
bgr,2004,21899
bgr,2005,24102
bgr,2006,29399
bgr,2007,23218
bgr,2008,22066
bgr,2009,14648
bgr,2010,14424
bgr,2011,13476
bgr,2012,13416
bgr,2013,12540
bgr,2014,13500
bgr,2015,13632
bgr,2016,14243
bgr,2017,13438
bgr,2018,13107
bgr,2019,12303
bgr,2020,10791
bhr,2004,300
bhr,2005,323
bhr,2006,411
bhr,2007,340
bhr,2008,503
bhr,2009,343
bhr,2011,269
bhr,2012,310
bhr,2013,429
bhr,2014,415
bhr,2015,380
bhr,2016,371
bhr,2017,253
bhr,2018,305
bhr,2019,347
bhr,2020,363
bhs,2012,45
bhs,2013,55
bhs,2014,170
bhs,2015,191
bhs,2016,425
bhs,2017,199
bih,2004,573
bih,2005,604
bih,2006,924
bih,2007,850
bih,2008,1130
bih,2010,688
bih,2011,479
bih,2012,535
bih,2013,666
bih,2014,570
bih,2015,689
bih,2016,797
bih,2017,742
bih,2018,989
bih,2019,985
bih,2020,864
blr,2004,9987
blr,2012,17681
blr,2013,16185
blr,2014,5210
blr,2015,4489
blr,2016,4652
blr,2017,4453
blr,2018,4529
blr,2019,4936
blr,2020,4978
bol,2004,1135
bol,2005,1275
bol,2006,1688
bol,2007,1873
bol,2010,1678
bol,2011,2287
bol,2012,2642
bol,2013,2649
bol,2014,2467
bol,2016,3000
bol,2017,3491
bra,2004,80169
bra,2005,83099
bra,2006,77645
bra,2007,83944
bra,2008,99570
bra,2009,94361
bra,2010,104168
bra,2011,122671
bra,2012,120530
bra,2013,132330
bra,2014,127925
bra,2015,130720
bra,2016,137878
bra,2017,159192
bra,2018,176063
bra,2019,218764
bra,2020,260774
brb,2004,291
brb,2005,179
brb,2006,339
brb,2007,167
brb,2008,297
brb,2009,168
brb,2010,135
brb,2011,142
brb,2012,196
brb,2013,223
brb,2014,246
brb,2015,159
brb,2016,202
brb,2017,21
brb,2019,232
brb,2020,147
brn,2012,85
brn,2016,223
brn,2017,174
brn,2018,232
brn,2019,269
brn,2020,234
btn,2011,21
btn,2012,35
btn,2013,16
btn,2015,2
btn,2016,26
btn,2017,16
btn,2018,51
btn,2019,130
btn,2020,255
bwa,2011,329
bwa,2012,411
bwa,2013,358
bwa,2014,359
bwa,2015,418
bwa,2016,519
bwa,2017,464
bwa,2018,606
bwa,2019,603
bwa,2020,663
can,2010,70141
can,2011,73192
can,2012,77015
can,2013,78679
can,2014,79807
can,2015,83504
can,2016,81540
can,2017,103776
can,2018,106328
can,2019,91856
can,2020,62557
che,2004,25456
che,2005,26169
che,2006,27912
che,2007,37838
che,2008,37745
che,2009,39226
che,2010,35242
che,2011,34582
che,2012,36866
che,2013,35137
che,2014,34868
che,2015,38565
che,2016,36761
che,2017,42010
che,2018,41468
che,2019,40712
che,2020,45031
chl,2007,28833
chl,2008,28130
chl,2009,48771
chl,2010,50733
chl,2011,30011
chl,2012,28169
chl,2013,29167
chl,2014,28939
chl,2015,28903
chl,2016,31820
chl,2017,31720
chl,2018,32909
chl,2019,32915
chl,2020,46719
chn,2004,527620
chn,2005,593407
chn,2006,669284
chn,2007,605013
chn,2008,590590
chn,2009,741811
chn,2010,973588
chn,2011,1273901
chn,2012,1502680
chn,2013,1733457
chn,2014,2140067
chn,2015,2699251
chn,2016,3526953
chn,2017,5539085
chn,2018,7127191
chn,2019,7582457
chn,2020,9116509
cod,2018,392
cod,2019,122
cod,2020,405
col,2004,10679
col,2005,11877
col,2006,13270
col,2007,14118
col,2008,13885
col,2009,12681
col,2010,15772
col,2011,16976
col,2012,18591
col,2013,19284
col,2014,19948
col,2015,24119
col,2016,24299
col,2017,23762
col,2018,25930
col,2019,28427
col,2020,31370
cpv,2016,94
cpv,2017,89
cpv,2018,133
cpv,2019,91
cpv,2020,78
cri,2004,4444
cri,2005,4511
cri,2006,5398
cri,2007,5872
cri,2010,6406
cri,2011,6759
cri,2012,6503
cri,2014,5120
cri,2015,5985
cri,2016,6797
cri,2017,7902
cri,2018,7034
cri,2019,8866
cri,2020,8528
cub,2006,370
cub,2007,454
cub,2008,579
cub,2011,600
cub,2012,778
cub,2013,1305
cub,2014,1845
cub,2015,1942
cub,2016,2242
cub,2017,2099
cub,2018,2459
cub,2019,3641
cub,2020,2859
cyp,2004,535
cyp,2005,470
cyp,2006,577
cyp,2007,582
cyp,2008,647
cyp,2010,797
cyp,2011,669
cyp,2012,846
cyp,2013,739
cyp,2014,771
cyp,2015,737
cyp,2016,1090
cyp,2018,1114
cyp,2019,1157
cyp,2020,1317
cze,2004,33458
cze,2005,33609
cze,2006,35219
cze,2007,34200
cze,2008,30278
cze,2009,25541
cze,2010,30445
cze,2011,29466
cze,2012,29563
cze,2013,30632
cze,2014,17644
cze,2015,19211
cze,2016,19301
cze,2017,20031
cze,2018,19065
cze,2019,20256
cze,2020,21458
deu,2004,174788
deu,2005,195546
deu,2006,214480
deu,2007,225349
deu,2008,222018
deu,2009,199552
deu,2010,197433
deu,2011,181142
deu,2012,171297
deu,2013,172567
deu,2014,182820
deu,2015,190540
deu,2016,190216
deu,2017,203252
deu,2018,195623
deu,2019,210549
deu,2020,238337
dji,2013,19
dma,2004,134
dma,2005,171
dma,2006,161
dma,2007,128
dma,2016,10
dma,2018,8
dma,2019,2
dnk,2004,12139
dnk,2005,13117
dnk,2006,13355
dnk,2007,11961
dnk,2008,11359
dnk,2009,8726
dnk,2010,9048
dnk,2011,8142
dnk,2012,7816
dnk,2013,7618
dnk,2014,7552
dnk,2015,4572
dnk,2016,7596
dnk,2017,7036
dnk,2018,6366
dnk,2019,5893
dnk,2020,5275
dom,2004,4452
dom,2005,4164
dom,2006,4366
dom,2007,4197
dom,2008,4400
dom,2009,4553
dom,2010,4598
dom,2011,5232
dom,2012,5708
dom,2013,5248
dom,2014,6150
dom,2015,6842
dom,2016,7446
dom,2017,8094
dom,2018,8393
dom,2019,7891
dom,2020,8070
dza,2011,3456
dza,2012,3477
dza,2015,14483
dza,2017,8104
dza,2018,7082
dza,2019,9589
dza,2020,12350
ecu,2004,7339
ecu,2005,11593
ecu,2006,11034
ecu,2007,6078
ecu,2008,7652
ecu,2009,7925
ecu,2010,8750
ecu,2013,11739
ecu,2014,15006
ecu,2015,10247
ecu,2016,9254
ecu,2017,8262
ecu,2018,11435
ecu,2019,12270
ecu,2020,12369
