geo,time,ip_jrn_artc_sc
afg,2000,4
afg,2001,1
afg,2002,4.5
afg,2003,8.34
afg,2004,5.75
afg,2005,9.15
afg,2006,13.69
afg,2007,14.23
afg,2008,12.5
afg,2009,26.3
afg,2010,27.93
afg,2011,39.62
afg,2012,34.15
afg,2013,27.81
afg,2014,34.69
afg,2015,22.2
afg,2016,81.64
afg,2017,91.89
afg,2018,111.72
ago,2000,7.17
ago,2001,10.58
ago,2002,15.13
ago,2003,5.89
ago,2004,9.23
ago,2005,10.04
ago,2006,12.4
ago,2007,10.16
ago,2008,10.85
ago,2009,13.78
ago,2010,14.68
ago,2011,17.78
ago,2012,22.38
ago,2013,23.85
ago,2014,33.48
ago,2015,31.59
ago,2016,39.97
ago,2017,55.5
ago,2018,30.12
alb,2000,22.34
alb,2001,18.71
alb,2002,24.53
alb,2003,23.82
alb,2004,17.91
alb,2005,24.48
alb,2006,27.22
alb,2007,40.88
alb,2008,51.85
alb,2009,70.35
alb,2010,137.23
alb,2011,146.82
alb,2012,165.75
alb,2013,162.65
alb,2014,180.39
alb,2015,177.8
alb,2016,185.87
alb,2017,149.54
alb,2018,180.36
and,2000,0
and,2001,2.64
and,2002,0.5
and,2003,4.7
and,2004,1.31
and,2005,4.93
and,2006,5.02
and,2007,6.16
and,2008,1.68
and,2009,2.55
and,2010,1.2
and,2011,0.91
and,2012,3.58
and,2013,5.26
and,2014,4.18
and,2015,8.08
and,2016,7.99
and,2017,2.01
and,2018,3.6
are,2000,330.44
are,2001,380.58
are,2002,399.54
are,2003,539.87
are,2004,555.02
are,2005,704.31
are,2006,824.69
are,2007,757.57
are,2008,908.14
are,2009,1034.18
are,2010,1265.13
are,2011,1421.83
are,2012,1625.96
are,2013,1765.77
are,2014,1816.5
are,2015,2294.58
are,2016,2484.16
are,2017,2899.67
are,2018,3144.89
arg,2000,4385.98
arg,2001,4501.47
arg,2002,4811.32
arg,2003,4598.69
arg,2004,4702.95
arg,2005,4964.45
arg,2006,5587.62
arg,2007,5684.67
arg,2008,6270.29
arg,2009,6897.38
arg,2010,7236.62
arg,2011,7733.75
arg,2012,7842.75
arg,2013,7994.13
arg,2014,8464.74
