global,time,se_prm_prsl_zs
world,1970,67.53652
world,1971,66.99864
world,1972,66.72492
world,1973,66.27775
world,1974,66.57455
world,1975,67.17111
world,1976,68.09685
world,1977,69.31801
world,1978,69.10155
world,1979,69.2521
world,1980,68.84343
world,1981,69.25336
world,1982,69.46514
world,1983,69.82974
world,1984,69.71222
world,1985,70.50917
world,1986,71.53683
world,1987,73.05608
world,1988,73.22203
world,1989,73.2643
world,1990,74.47034
world,1991,74.63939
world,1992,74.97191
world,1993,75.5199
world,1994,75.70866
world,1995,76.54774
world,1996,76.5077
world,1997,76.68949
world,1998,76.9504
world,1999,76.93773
world,2000,76.44838
world,2001,77.64885
world,2002,76.54282
world,2003,75.55253
world,2004,75.18599
world,2005,74.25815
world,2006,74.96437
world,2007,75.81625
world,2008,77.85295
world,2009,77.55335
world,2010,77.36355
world,2011,77.50082
world,2012,76.10397
world,2013,75.94901
world,2014,80.30651
world,2015,80.9717
world,2016,79.93222
world,2017,81.92903
world,2018,80.92128
world,2019,83.01119
