geo,time,en_clc_ghgr_mt_ce
esp,1992,-17.70127
esp,1993,-16.92437
esp,1994,-19.02276
esp,1995,-19.23139
esp,1996,-19.87057
esp,1997,-21.47096
esp,1998,-22.33213
esp,1999,-22.7202
esp,2000,-23.28088
esp,2001,-23.20337
esp,2002,-23.3822
esp,2003,-22.55331
esp,2004,-24.25876
esp,2005,-24.59556
esp,2006,-27.65482
esp,2007,-29.66001
esp,2008,-29.11837
esp,2009,-28.62796
est,1990,-10.41631
est,1991,-8.48159
est,1992,-9.1788
est,1993,-9.29955
est,1994,-9.38283
est,1995,-9.46145
est,1996,-9.14921
est,1997,-9.47141
est,1998,-8.81301
est,1999,-4.52239
est,2000,4.00647
est,2001,4.24232
est,2002,2.64332
est,2003,1.05692
est,2004,-5.71394
est,2005,-8.66524
est,2006,-1.57859
est,2007,-13.71159
est,2008,-0.32632
est,2009,-7.03459
eth,1995,-9.876
fin,1990,-15.03818
fin,1991,-29.06503
fin,1992,-23.10313
fin,1993,-20.86177
fin,1994,-13.44215
fin,1995,-13.29172
fin,1996,-22.68399
fin,1997,-18.81414
fin,1998,-16.90986
fin,1999,-19.7471
fin,2000,-20.93689
fin,2001,-24.34623
fin,2002,-24.63606
fin,2003,-24.99193
fin,2004,-24.94013
fin,2005,-27.66346
fin,2006,-31.22431
fin,2007,-23.33954
fin,2008,-27.01049
fin,2009,-40.55842
fji,1994,-7.7016
fra,1990,-39.69863
fra,1991,-35.61734
fra,1992,-40.22276
fra,1993,-47.46605
fra,1994,-48.85405
fra,1995,-47.82234
fra,1996,-49.46371
fra,1997,-54.14695
fra,1998,-55.0777
fra,1999,-58.13015
fra,2000,-49.05117
fra,2001,-54.67079
fra,2002,-60.2645
fra,2003,-62.44294
fra,2004,-63.87717
fra,2005,-64.88133
fra,2006,-69.38927
fra,2007,-68.51889
fra,2008,-68.90309
fra,2009,-63.92045
gab,1994,-500.8757
gbr,1990,3.9217
gbr,1991,3.8918
gbr,1992,3.31006
gbr,1993,2.25975
gbr,1994,2.0777
gbr,1995,2.45312
gbr,1996,2.21738
gbr,1997,1.92599
gbr,1998,1.35341
gbr,1999,1.10227
gbr,2000,0.42246
gbr,2001,-0.09016
gbr,2002,-0.98228
gbr,2003,-1.34488
gbr,2004,-2.42809
gbr,2005,-2.95823
gbr,2006,-3.15813
gbr,2007,-3.52442
gbr,2008,-3.96217
gbr,2009,-4.07914
geo,1994,1.0382
gha,1996,-19.0227
gin,1994,-17.5966
gmb,1993,-49.9831
grc,1990,-2.49611
grc,1991,-2.58862
grc,1992,-2.85589
grc,1993,-3.21566
grc,1994,-2.83898
grc,1995,-3.19871
grc,1996,-2.78528
grc,1997,-2.83271
grc,1998,-3.10944
grc,1999,-3.32685
grc,2000,-2.83648
grc,2001,-3.10304
grc,2002,-3.2192
grc,2003,-2.90401
grc,2004,-3.07117
grc,2005,-3.0514
grc,2006,-3.13871
grc,2007,-2.93366
grc,2008,-3.07927
grc,2009,-3.01856
grd,1994,-0.092
gtm,1990,-39.5458
guy,1998,-30.866
hnd,1995,4.6293
hrv,1990,-6.93358
hrv,1991,-6.83374
hrv,1992,-6.83151
hrv,1993,-6.83458
hrv,1994,-6.8719
hrv,1995,-6.86277
hrv,1996,-6.47181
hrv,1997,-6.68434
hrv,1998,-6.86018
hrv,1999,-7.02878
hrv,2000,-7.21789
hrv,2001,-7.38812
hrv,2002,-7.55679
hrv,2003,-7.74992
hrv,2004,-7.93453
hrv,2005,-8.10001
hrv,2006,-8.21544
hrv,2007,-8.50575
hrv,2008,-8.64311
hrv,2009,-8.71206
hti,1994,0.9551
hun,1990,-1.94968
hun,1991,-2.252
hun,1992,-3.32016
hun,1993,-5.2807
hun,1994,-5.74895
hun,1995,-5.78138
hun,1996,-1.86458
hun,1997,-2.03357
hun,1998,-3.06386
hun,1999,-1.43256
hun,2000,-0.36377
hun,2001,-1.70748
hun,2002,-0.90601
hun,2003,-3.06825
hun,2004,-2.1289
hun,2005,-4.2211
hun,2006,-2.28916
hun,2007,-2.68833
hun,2008,-3.93339
hun,2009,-3.0186
idn,1994,164.1183
ind,1994,14.2921
irl,1990,-0.56501
irl,1991,-0.56952
irl,1992,-0.58438
irl,1993,-0.75748
irl,1994,-0.98225
irl,1995,-0.7846
irl,1996,-0.72501
irl,1997,-0.79124
irl,1998,-1.13153
irl,1999,-1.08415
irl,2000,-0.78815
irl,2001,-0.89055
irl,2002,-1.08506
irl,2003,-1.16186
irl,2004,-1.13408
irl,2005,-1.36423
irl,2006,-1.40607
irl,2007,-1.87012
irl,2008,-2.35743
irl,2009,-2.17306
irn,1994,31.5782
isl,1990,1.10473
isl,1991,1.10782
isl,1992,1.0951
isl,1993,1.08449
isl,1994,1.07415
isl,1995,1.05615
isl,1996,1.04693
isl,1997,1.03121
isl,1998,1.01218
isl,1999,0.99367
isl,2000,0.93144
isl,2001,0.91487
isl,2002,0.89366
isl,2003,0.86953
isl,2004,0.84024
isl,2005,0.80869
isl,2006,0.77903
isl,2007,0.74675
isl,2008,0.71826
isl,2009,0.68111
isr,2007,-0.401
ita,1990,-61.79508
ita,1991,-76.25632
ita,1992,-75.48484
ita,1993,-58.6489
ita,1994,-75.4246
ita,1995,-79.92379
ita,1996,-88.16469
ita,1997,-75.0753
ita,1998,-73.07172
ita,1999,-79.42279
ita,2000,-78.89121
ita,2001,-86.90982
ita,2002,-92.83191
ita,2003,-83.61876
ita,2004,-87.97125
ita,2005,-90.5424
