geo,time,sp_dyn_le00_ma_in
abw,1960,64.084
abw,1961,64.429
abw,1962,64.747
abw,1963,65.053
abw,1964,65.356
abw,1965,65.66
abw,1966,65.959
abw,1967,66.242
abw,1968,66.503
abw,1969,66.745
abw,1970,66.972
abw,1971,67.19
abw,1972,67.405
abw,1973,67.626
abw,1974,67.857
abw,1975,68.11
abw,1976,68.394
abw,1977,68.706
abw,1978,69.041
abw,1979,69.387
abw,1980,69.726
abw,1981,70.036
abw,1982,70.301
abw,1983,70.51
abw,1984,70.66
abw,1985,70.757
abw,1986,70.814
abw,1987,70.851
abw,1988,70.886
abw,1989,70.924
abw,1990,70.969
abw,1991,71.018
abw,1992,71.062
abw,1993,71.098
abw,1994,71.126
abw,1995,71.148
abw,1996,71.168
abw,1997,71.19
abw,1998,71.219
abw,1999,71.259
abw,2000,71.312
abw,2001,71.382
abw,2002,71.469
abw,2003,71.572
abw,2004,71.688
abw,2005,71.816
abw,2006,71.952
abw,2007,72.093
abw,2008,72.235
abw,2009,72.377
abw,2010,72.517
abw,2011,72.654
abw,2012,72.792
abw,2013,72.93
abw,2014,73.069
abw,2015,73.208
abw,2016,73.348
abw,2017,73.488
abw,2018,73.628
abw,2019,73.768
abw,2020,73.908
afg,1960,31.718
afg,1961,32.224
afg,1962,32.724
afg,1963,33.216
afg,1964,33.7
afg,1965,34.18
afg,1966,34.656
afg,1967,35.133
afg,1968,35.615
afg,1969,36.106
afg,1970,36.607
afg,1971,37.12
afg,1972,37.644
afg,1973,38.18
afg,1974,38.729
afg,1975,39.293
afg,1976,39.874
afg,1977,40.473
afg,1978,41.09
afg,1979,41.723
afg,1980,42.372
afg,1981,43.037
afg,1982,43.715
afg,1983,44.403
afg,1984,45.097
afg,1985,45.796
afg,1986,46.499
afg,1987,47.204
afg,1988,47.906
afg,1989,48.601
afg,1990,49.281
afg,1991,49.938
afg,1992,50.57
afg,1993,51.172
afg,1994,51.746
afg,1995,52.287
afg,1996,52.798
afg,1997,53.285
afg,1998,53.753
afg,1999,54.21
afg,2000,54.663
afg,2001,55.119
afg,2002,55.583
afg,2003,56.056
afg,2004,56.542
afg,2005,57.044
afg,2006,57.562
afg,2007,58.092
afg,2008,58.626
afg,2009,59.159
afg,2010,59.683
afg,2011,60.19
afg,2012,60.675
afg,2013,61.133
afg,2014,61.563
afg,2015,61.965
afg,2016,62.343
afg,2017,62.701
afg,2018,63.047
afg,2019,63.382
afg,2020,63.708
ago,1960,36.305
ago,1961,36.582
ago,1962,36.874
ago,1963,37.181
ago,1964,37.501
ago,1965,37.833
ago,1966,38.177
ago,1967,38.532
ago,1968,38.894
