global,time,sh_xpd_ghed_ch_zs
world,2000,57.42314
world,2001,57.36481
world,2002,57.33278
world,2003,57.90196
world,2004,58.42835
world,2005,58.36643
world,2006,58.4721
world,2007,58.76525
world,2008,59.69028
world,2009,60.27794
world,2010,60.1934
world,2011,60.85064
world,2012,60.46979
world,2013,60.30612
world,2014,60.68433
world,2015,60.26611
world,2016,60.01495
world,2017,59.8165
world,2018,59.92007
world,2019,59.80562
