geo,time,sl_tlf_basc_zs
afg,2014,48.29
afg,2017,51.2
afg,2020,47.48
ago,2004,72
ago,2009,61.84
ago,2011,68.33
ago,2014,38.86
alb,2007,42.33
alb,2008,48.64
alb,2009,50.46
alb,2010,51.62
alb,2011,55.36
alb,2012,52.63
alb,2013,46.48
alb,2014,47.07
alb,2015,49.37
alb,2016,51.27
alb,2017,52.05
alb,2018,24.28
alb,2019,23.95
are,2017,80.55
are,2018,81.82
arg,2004,55.9
arg,2005,54.8
arg,2006,54.22
arg,2008,52.21
arg,2009,51.91
arg,2010,51.24
arg,2011,51.48
arg,2012,50.86
arg,2013,49.78
arg,2014,49.83
arg,2017,48.49
arg,2018,48.46
arg,2019,48.75
arg,2020,44.91
arm,2007,30.41
arm,2008,38.43
arm,2009,32.36
arm,2010,41.32
arm,2011,33.36
arm,2012,30.34
arm,2013,31.06
arm,2014,33.76
arm,2015,42.33
arm,2016,38.77
arm,2017,34.54
arm,2018,33.93
arm,2019,31.98
arm,2020,22.7
aus,2009,66.36
aus,2010,64.76
aus,2011,64.78
aus,2012,65.44
aus,2013,52.14
aus,2014,51.49
aus,2015,49.54
aus,2016,49.27
aus,2017,49.4
aut,1995,47.81
aut,1996,45.42
aut,1997,44.33
aut,1998,38.09
aut,1999,37.98
aut,2000,37.26
aut,2001,36.16
aut,2002,37.61
aut,2003,36.96
aut,2004,34.52
aut,2005,36.16
aut,2006,37.35
aut,2007,39.12
aut,2008,38.4
aut,2009,38.11
aut,2010,37.48
aut,2011,37.85
aut,2012,37.24
aut,2013,36.84
aut,2014,36.8
aut,2015,36.36
aut,2016,37.5
aut,2017,36.97
aut,2018,36.91
aut,2019,36.8
aut,2020,37.2
bdi,2014,33.78
bel,1992,39.34
bel,1993,38.29
bel,1994,38.2
bel,1995,37.51
bel,1996,36.65
bel,1997,36.26
bel,1998,32.73
bel,1999,33.63
bel,2000,33.63
bel,2001,31.51
bel,2002,31.59
bel,2003,31.16
bel,2004,31.28
bel,2005,33.62
bel,2006,32.87
bel,2007,32.73
bel,2008,31.93
bel,2009,31.15
bel,2010,32.84
