global,time,st_int_tvlr_cd
world,1995,427569633700.07001
world,1996,462736740565.20801
world,1997,464896618109.98895
world,1998,466970573658.914
world,1999,488384902437.08801
world,2000,498881216562.66803
world,2001,489572220889.87402
world,2002,508711745097.44098
world,2003,562566105249.479
world,2004,665727022290.03296
world,2005,711943796327.43396
world,2006,771324763902.3009
world,2007,887563033324.70703
world,2008,973268104596.09424
world,2009,891586482476.66492
world,2010,966554388086.08606
world,2011,1082394148108.97998
world,2012,1118388463244.16992
world,2013,1206351190571.40991
world,2014,1266655846783.11011
world,2015,1216223334256.79004
world,2016,1237510367215.81006
world,2017,1339009399863.02002
world,2018,1449271120093.31006
world,2019,1465469366266.37012
