geo,time,sl_uem_1524_ma_zs
afg,1991,17.251
afg,1992,17.426
afg,1993,17.272
afg,1994,17.253
afg,1995,17.789
afg,1996,17.503
afg,1997,17.251
afg,1998,17.233
afg,1999,17.189
afg,2000,17.122
afg,2001,17.016
afg,2002,17.451
afg,2003,17.22
afg,2004,16.961
afg,2005,17.17
afg,2006,17.058
afg,2007,17.317
afg,2008,17.081
afg,2009,17.317
afg,2010,17.312
afg,2011,16.841
afg,2012,17.037
afg,2013,16.717
afg,2014,16.518
afg,2015,16.371
afg,2016,16.293
afg,2017,16.206
afg,2018,16.23
afg,2019,16.363
afg,2020,14.564
ago,1991,10.613
ago,1992,10.631
ago,1993,10.71
ago,1994,10.587
ago,1995,10.522
ago,1996,10.528
ago,1997,10.578
ago,1998,10.624
ago,1999,10.673
ago,2000,10.703
ago,2001,10.712
ago,2002,10.677
ago,2003,10.744
ago,2004,10.721
ago,2005,10.717
ago,2006,10.728
ago,2007,10.714
ago,2008,10.73
ago,2009,10.792
ago,2010,17.575
ago,2011,16.96
ago,2012,16.848
ago,2013,16.817
ago,2014,16.764
ago,2015,16.745
ago,2016,16.717
ago,2017,16.647
ago,2018,16.613
ago,2019,16.554
ago,2020,18.071
alb,1991,17.648
alb,1992,54.773
alb,1993,45.655
alb,1994,37.8
alb,1995,25.304
alb,1996,24.964
alb,1997,30.521
alb,1998,34.769
alb,1999,36.449
alb,2000,33.574
alb,2001,31.724
alb,2002,30.543
alb,2003,29.008
alb,2004,27.913
alb,2005,27.318
alb,2006,26.844
alb,2007,27.618
alb,2008,26.127
alb,2009,26.33
alb,2010,29.924
alb,2011,24.663
alb,2012,32.037
alb,2013,33.174
alb,2014,43.102
alb,2015,39.457
alb,2016,37.304
alb,2017,33.675
alb,2018,29.633
alb,2019,27.679
alb,2020,31.059
are,1991,5.238
are,1992,5.141
are,1993,5.155
are,1994,5.154
are,1995,5.211
are,1996,5.348
are,1997,5.493
are,1998,5.769
are,1999,5.996
are,2000,6.192
are,2001,6.215
are,2002,6.23
are,2003,6.275
are,2004,6.436
are,2005,6.681
are,2006,6.406
are,2007,6.304
are,2008,6.202
are,2009,6.172
are,2010,6.025
are,2011,5.741
are,2012,5.504
are,2013,5.268
are,2014,5.06
are,2015,4.858
are,2016,4.527
are,2017,6.227
are,2018,5.702
are,2019,5.111
are,2020,6.675
arg,1991,11.131
arg,1992,13.003
arg,1993,17.835
arg,1994,21.673
arg,1995,34.232
arg,1996,33.04
arg,1997,27.211
arg,1998,24.717
arg,1999,27.86
arg,2000,29.65
arg,2001,36.69
arg,2002,41.943
arg,2003,29.818
arg,2004,25.901
arg,2005,23.147
arg,2006,19.834
arg,2007,17.293
arg,2008,16.637
arg,2009,18.868
arg,2010,16.585
arg,2011,16.471
arg,2012,15.318
arg,2013,17.117
arg,2014,17.039
arg,2015,17.844
arg,2016,19.286
arg,2017,20.073
arg,2018,20.961
arg,2019,23.83
arg,2020,27.055
arm,1991,1.712
arm,1992,1.926
arm,1993,5.113
arm,1994,7.091
arm,1995,5.321
arm,1996,6.496
arm,1997,7.599
arm,1998,7.992
arm,1999,10.655
arm,2000,10.924
arm,2001,11.215
arm,2002,11.502
arm,2003,11.748
arm,2004,11.933
arm,2005,12.203
arm,2006,12.418
arm,2007,12.645
arm,2008,24.325
arm,2009,35.238
arm,2010,31.902
arm,2011,34.338
arm,2012,31.014
arm,2013,31.075
arm,2014,30.68
arm,2015,27.968
arm,2016,29.436
arm,2017,32.665
arm,2018,29.105
arm,2019,31.054
arm,2020,35.06
aus,1991,18.538
aus,1992,20.742
aus,1993,19.687
aus,1994,17.403
aus,1995,15.509
aus,1996,16.387
aus,1997,16.889
aus,1998,15.302
aus,1999,13.741
aus,2000,12.92
aus,2001,14.596
aus,2002,13.793
aus,2003,12.596
aus,2004,11.807
aus,2005,10.845
aus,2006,10.488
aus,2007,9.396
aus,2008,8.941
aus,2009,12.375
aus,2010,11.825
aus,2011,11.812
aus,2012,12.346
aus,2013,12.961
aus,2014,14.063
aus,2015,14.225
aus,2016,13.834
aus,2017,13.713
aus,2018,12.949
aus,2019,12.98
aus,2020,15.346
aut,1991,3.99
aut,1992,4.252
aut,1993,4.738
aut,1994,4.714
aut,1995,5.674
aut,1996,7.12
aut,1997,7.768
aut,1998,7.383
aut,1999,5.544
aut,2000,6.881
aut,2001,6.191
aut,2002,7.628
aut,2003,7.982
aut,2004,12.227
aut,2005,11.544
aut,2006,9.76
aut,2007,9.2
aut,2008,8.382
aut,2009,11.12
aut,2010,9.502
aut,2011,8.754
aut,2012,9.504
aut,2013,9.331
aut,2014,10.555
aut,2015,11.052
aut,2016,12.122
aut,2017,10.711
aut,2018,9.359
aut,2019,9.109
aut,2020,11.207
aze,1991,1.558
aze,1992,3.106
aze,1993,7.721
aze,1994,10.762
aze,1995,12.257
aze,1996,13.683
aze,1997,15.254
aze,1998,16.624
aze,1999,18.072
aze,2000,19.326
aze,2001,19.041
aze,2002,18.808
aze,2003,17.25
aze,2004,15.594
aze,2005,14.551
aze,2006,15.163
aze,2007,15.358
aze,2008,15.636
aze,2009,12.769
aze,2010,17.177
aze,2011,14.093
aze,2012,12.117
aze,2013,11.375
aze,2014,11.387
aze,2015,11.291
aze,2016,11.393
aze,2017,11.222
aze,2018,11.024
aze,2019,10.935
aze,2020,13.672
bdi,1991,3.811
bdi,1992,3.868
bdi,1993,3.93
bdi,1994,3.916
bdi,1995,3.928
bdi,1996,3.943
bdi,1997,3.908
bdi,1998,3.868
bdi,1999,3.894
bdi,2000,3.883
bdi,2001,3.866
bdi,2002,3.86
bdi,2003,3.913
bdi,2004,3.903
bdi,2005,3.965
bdi,2006,3.989
bdi,2007,4.061
bdi,2008,4.12
bdi,2009,4.101
bdi,2010,4.073
bdi,2011,4.061
bdi,2012,4.041
bdi,2013,4.018
bdi,2014,3.995
bdi,2015,4.072
bdi,2016,4.096
bdi,2017,4.13
bdi,2018,4.162
bdi,2019,4.194
bdi,2020,4.421
bel,1991,11.032
bel,1992,11.288
bel,1993,17.359
bel,1994,20.608
bel,1995,19.731
bel,1996,17.315
bel,1997,17.693
bel,1998,18.313
bel,1999,22.756
bel,2000,12.917
bel,2001,14.357
bel,2002,16.019
bel,2003,20.033
bel,2004,15.751
bel,2005,20.968
bel,2006,18.786
bel,2007,17.075
bel,2008,17.336
bel,2009,21.462
bel,2010,22.425
bel,2011,18.728
bel,2012,20.42
bel,2013,24.709
bel,2014,23.956
bel,2015,23.786
bel,2016,21.711
bel,2017,20.232
bel,2018,16.182
bel,2019,15.963
bel,2020,15.516
ben,1991,2.387
ben,1992,2.362
ben,1993,2.232
ben,1994,2.121
ben,1995,1.986
ben,1996,1.865
ben,1997,1.733
ben,1998,1.606
ben,1999,1.47
ben,2000,1.333
ben,2001,1.194
ben,2002,1.052
ben,2003,1.112
ben,2004,1.166
ben,2005,1.224
ben,2006,1.272
ben,2007,1.32
ben,2008,1.373
ben,2009,1.429
ben,2010,1.482
ben,2011,5.058
ben,2012,4.754
ben,2013,4.446
ben,2014,4.163
ben,2015,3.905
ben,2016,3.601
ben,2017,3.293
ben,2018,2.991
ben,2019,3.023
ben,2020,3.212
bfa,1991,4.033
bfa,1992,4.078
bfa,1993,4.033
bfa,1994,4.026
bfa,1995,3.945
bfa,1996,3.865
bfa,1997,3.856
bfa,1998,3.809
bfa,1999,3.844
bfa,2000,3.923
bfa,2001,3.939
bfa,2002,4.008
bfa,2003,4.039
bfa,2004,4.903
bfa,2005,5.694
bfa,2006,5.156
bfa,2007,4.607
bfa,2008,4.878
bfa,2009,5.186
bfa,2010,5.423
bfa,2011,5.726
bfa,2012,6.015
bfa,2013,6.308
bfa,2014,6.61
bfa,2015,6.883
bfa,2016,7.13
bfa,2017,7.393
bfa,2018,7.65
bfa,2019,7.674
bfa,2020,7.959
bgd,1991,5.557
bgd,1992,5.94
bgd,1993,6.092
bgd,1994,6.234
bgd,1995,6.56
bgd,1996,6.727
bgd,1997,7.389
bgd,1998,8.134
bgd,1999,8.752
bgd,2000,9.535
bgd,2001,8.77
bgd,2002,7.765
bgd,2003,6.795
