geo,time,ny_adj_dco2_gn_zs
abw,1986,0.43752
abw,1987,0.96038
abw,1988,1.13654
abw,1989,1.08419
abw,1990,0.78074
abw,1991,0.78813
abw,1992,0.76124
abw,1993,0.85466
abw,1994,0.78876
abw,1995,0.82905
abw,1996,0.84862
abw,1997,0.83312
abw,1998,0.83238
abw,1999,0.85669
abw,2000,2.38913
abw,2001,2.50905
abw,2002,2.72139
abw,2003,2.73368
abw,2004,2.67836
abw,2005,3.41341
abw,2006,2.86829
abw,2007,3.2535
abw,2008,2.70943
abw,2009,3.01101
abw,2010,3.18233
abw,2011,3.23658
abw,2012,1.73287
abw,2013,1.09754
abw,2014,1.10306
abw,2015,1.11761
abw,2016,1.12133
abw,2017,0.98995
afg,1970,0.24779
afg,1971,0.28818
afg,1972,0.28477
afg,1973,0.30248
afg,1974,0.31722
afg,1975,0.35798
afg,1976,0.33416
afg,1977,0.37773
afg,1978,0.33431
afg,1979,0.34287
afg,1980,0.30508
afg,1981,0.40273
afg,2009,1.50627
afg,2010,1.52117
afg,2011,2.05112
afg,2012,1.66738
afg,2013,1.41734
afg,2014,1.39108
afg,2015,1.56387
afg,2016,1.71174
afg,2017,1.81686
afg,2018,2.07022
afg,2019,2.21268
ago,1985,0.65365
ago,1986,0.67596
ago,1987,0.8838
ago,1988,0.82525
ago,1989,0.57081
ago,1990,0.61835
ago,1991,0.61498
ago,1992,1.99033
ago,1993,2.50194
ago,1994,2.93246
ago,1995,3.51705
ago,1996,2.85611
ago,1997,1.81613
ago,1998,2.25984
ago,1999,3.40159
ago,2000,2.37826
ago,2001,2.56009
ago,2002,1.86965
ago,2003,1.18263
ago,2004,1.96616
ago,2005,1.35285
ago,2006,1.17962
ago,2007,1.12025
ago,2008,0.92074
ago,2009,1.20797
ago,2010,1.09588
ago,2011,0.89366
ago,2012,0.89951
ago,2013,0.85725
ago,2014,1.10168
ago,2015,1.09305
ago,2016,1.29937
ago,2017,1.13393
ago,2018,1.44015
ago,2019,1.72595
alb,1984,3.7059
alb,1985,3.85798
alb,1986,3.72382
alb,1987,3.63329
alb,1988,3.84037
alb,1989,4.55623
alb,1990,3.2983
alb,1991,5.09544
alb,1992,5.46217
alb,1993,2.68702
alb,1994,1.48819
alb,1995,1.30947
alb,1996,0.98151
alb,1997,1.10724
alb,1998,1.1442
alb,1999,1.61277
alb,2000,1.56326
alb,2001,1.53456
alb,2002,1.6884
alb,2003,1.55674
alb,2004,1.24849
alb,2005,1.20039
alb,2006,1.04221
alb,2007,0.92028
alb,2008,0.90494
alb,2009,1.01999
alb,2010,1.11228
alb,2011,1.21114
alb,2012,1.24952
alb,2013,1.22076
alb,2014,1.38382
alb,2015,1.39417
alb,2016,1.35274
alb,2017,1.33973
alb,2018,1.24483
alb,2019,1.32825
are,2000,1.90978
are,2001,1.81522
are,2002,1.54048
are,2003,1.80303
are,2004,1.67909
are,2005,1.46964
are,2006,1.33495
are,2007,1.30821
are,2008,1.31868
are,2009,1.81307
are,2010,1.56322
are,2011,1.45804
are,2012,1.82083
are,2013,1.82602
are,2014,1.88462
are,2015,1.88158
are,2016,2.06341
are,2017,2.06481
are,2018,2.03578
are,2019,2.19156
arg,1970,0.71974
arg,1971,0.7512
arg,1972,0.79885
arg,1973,0.58312
arg,1974,0.47897
arg,1975,0.72688
arg,1976,0.85585
arg,1977,0.85295
arg,1978,0.92792
arg,1979,0.93206
arg,1980,0.91818
arg,1981,0.95742
arg,1982,1.0216
arg,1983,0.89227
arg,1984,1.25149
arg,1985,1.11741
arg,1986,0.95382
arg,1987,1.10208
arg,1988,1.08203
arg,1989,1.90526
arg,1990,1.00574
arg,1991,0.816
arg,1992,0.72417
arg,1993,0.70758
arg,1994,0.70657
arg,1995,0.77225
arg,1996,0.80604
arg,1997,0.79726
arg,1998,0.82115
arg,1999,0.94565
arg,2000,0.95387
arg,2001,0.99407
arg,2002,2.70912
arg,2003,2.31481
arg,2004,2.3727
arg,2005,2.13822
arg,2006,1.90985
arg,2007,1.60818
arg,2008,1.43703
arg,2009,1.53938
arg,2010,1.31139
arg,2011,1.10869
arg,2012,1.12637
arg,2013,1.16154
arg,2014,1.27999
arg,2015,1.20039
arg,2016,1.32612
arg,2017,1.23031
arg,2018,1.57233
arg,2019,1.86389
arm,1992,7.34252
arm,1993,2.98716
arm,1994,3.02315
arm,1995,3.45823
arm,1996,2.48573
arm,1997,3.08392
arm,1998,2.94884
arm,1999,2.81702
arm,2000,3.26499
arm,2001,3.14941
arm,2002,2.49443
arm,2003,2.4813
arm,2004,2.15635
arm,2005,1.97881
arm,2006,1.60273
arm,2007,1.33923
arm,2008,1.20392
arm,2009,1.33609
arm,2010,1.23667
arm,2011,1.39542
arm,2012,1.6017
arm,2013,1.50474
arm,2014,1.53388
arm,2015,1.52082
arm,2016,1.71603
arm,2017,1.71448
arm,2018,1.75492
arm,2019,1.77103
asm,1980,2.15264
asm,1981,2.58584
asm,1982,3.60771
asm,1983,2.19977
asm,1984,2.47706
asm,1985,2.29944
atg,1977,2.87254
atg,1978,2.93094
atg,1979,2.19225
atg,1980,0.70739
atg,1981,0.52572
atg,1982,1.42919
atg,1983,0.38725
atg,1984,0.62143
atg,1985,0.97285
atg,1986,0.95022
atg,1987,0.93995
atg,1988,0.83801
atg,1989,0.83091
atg,1990,0.82634
atg,1991,0.76298
atg,1992,0.7533
atg,1993,0.74297
atg,1994,0.69657
atg,1995,0.764
atg,1996,0.76879
atg,1997,0.77465
atg,1998,0.77284
atg,1999,0.78917
atg,2000,0.81854
atg,2001,0.87127
atg,2002,0.96556
atg,2003,1.03527
atg,2004,1.06248
atg,2005,1.01623
atg,2006,0.97759
atg,2007,0.95728
atg,2008,0.98309
atg,2009,1.19473
atg,2010,1.33553
atg,2011,1.38764
atg,2012,1.40355
atg,2013,1.48272
atg,2014,1.49452
atg,2015,1.51668
atg,2016,1.49458
atg,2017,1.5896
atg,2018,1.66944
atg,2019,1.80482
aus,1970,0.957
aus,1971,0.97229
aus,1972,0.92259
aus,1973,0.87653
aus,1974,0.70936
aus,1975,0.73513
aus,1976,0.72919
aus,1977,0.81835
aus,1978,0.90181
aus,1979,0.89065
aus,1980,0.95969
aus,1981,0.94358
aus,1982,0.96428
aus,1983,1.0654
aus,1984,1.09208
aus,1985,1.26174
aus,1986,1.29966
aus,1987,1.39867
aus,1988,1.21561
aus,1989,1.09064
aus,1990,1.06539
aus,1991,1.07371
aus,1992,1.15086
aus,1993,1.28399
aus,1994,1.29319
aus,1995,1.214
aus,1996,1.24628
aus,1997,1.20567
aus,1998,1.40567
aus,1999,1.53679
aus,2000,1.51774
aus,2001,1.71253
aus,2002,1.79128
aus,2003,1.55789
aus,2004,1.26923
aus,2005,1.21797
aus,2006,1.24718
aus,2007,1.1733
aus,2008,1.02354
aus,2009,1.21746
aus,2010,1.01446
aus,2011,0.87142
aus,2012,0.8036
aus,2013,0.78121
aus,2014,0.85026
aus,2015,0.96223
aus,2016,1.1442
aus,2017,1.08065
aus,2018,1.04773
aus,2019,1.11294
aut,1970,0.86796
aut,1971,0.82528
aut,1972,0.76869
aut,1973,0.66382
aut,1974,0.5919
aut,1975,0.55017
aut,1976,0.59524
aut,1977,0.51894
aut,1978,0.48268
aut,1979,0.48047
aut,1980,0.41016
aut,1981,0.57036
aut,1982,0.59139
aut,1983,0.59798
aut,1984,0.7059
aut,1985,0.73141
aut,1986,0.53004
aut,1987,0.47289
aut,1988,0.42897
aut,1989,0.4628
aut,1990,0.41888
aut,1991,0.45533
