geo,time,sh_dth_imrt
afg,1962,106982
afg,1963,107493
afg,1964,108068
afg,1965,108718
afg,1966,109409
afg,1967,110025
afg,1968,110690
afg,1969,111382
afg,1970,111888
afg,1971,112446
afg,1972,112878
afg,1973,113168
afg,1974,113179
afg,1975,112831
afg,1976,112038
afg,1977,110712
afg,1978,108738
afg,1979,106171
afg,1980,103195
afg,1981,99657
afg,1982,95687
afg,1983,91545
afg,1984,87530
afg,1985,83848
afg,1986,80724
afg,1987,78275
afg,1988,76660
afg,1989,75829
afg,1990,75864
afg,1991,76732
afg,1992,78228
afg,1993,80103
afg,1994,82159
afg,1995,84252
afg,1996,86140
afg,1997,87705
afg,1998,88910
afg,1999,89709
afg,2000,90004
afg,2001,89863
afg,2002,89256
afg,2003,88342
afg,2004,87097
afg,2005,85624
afg,2006,83869
afg,2007,81831
afg,2008,79557
afg,2009,77159
afg,2010,74623
afg,2011,72040
afg,2012,69517
afg,2013,67099
afg,2014,64844
afg,2015,62703
afg,2016,60700
afg,2017,58923
afg,2018,57231
afg,2019,55690
afg,2020,54151
ago,1981,57985
ago,1982,59555
ago,1983,61269
ago,1984,63087
ago,1985,64952
ago,1986,66924
ago,1987,69077
ago,1988,71311
ago,1989,73519
ago,1990,75811
ago,1991,78044
ago,1992,80326
ago,1993,82557
ago,1994,84767
ago,1995,86802
ago,1996,88590
ago,1997,90100
ago,1998,91287
ago,1999,92280
ago,2000,92911
ago,2001,93283
ago,2002,93300
ago,2003,92878
ago,2004,91874
ago,2005,90613
ago,2006,88733
ago,2007,86660
ago,2008,84273
ago,2009,81692
ago,2010,79094
ago,2011,76429
ago,2012,73672
ago,2013,71175
ago,2014,69010
ago,2015,67198
ago,2016,65848
ago,2017,64778
ago,2018,63772
ago,2019,62880
ago,2020,62212
alb,1979,5051
alb,1980,4740
alb,1981,4457
alb,1982,4208
alb,1983,3994
alb,1984,3799
alb,1985,3618
alb,1986,3453
alb,1987,3292
alb,1988,3135
alb,1989,2976
alb,1990,2819
alb,1991,2661
alb,1992,2500
alb,1993,2337
alb,1994,2175
alb,1995,2013
alb,1996,1852
alb,1997,1694
alb,1998,1542
alb,1999,1397
alb,2000,1262
alb,2001,1137
alb,2002,1020
alb,2003,910
alb,2004,808
alb,2005,717
alb,2006,637
alb,2007,568
alb,2008,510
alb,2009,462
alb,2010,420
alb,2011,384
alb,2012,354
alb,2013,331
alb,2014,313
alb,2015,301
alb,2016,294
alb,2017,290
alb,2018,289
alb,2019,290
alb,2020,290
and,1986,10
and,1987,10
and,1988,9
and,1989,9
and,1990,8
and,1991,8
and,1992,8
and,1993,7
and,1994,7
and,1995,7
and,1996,6
and,1997,6
and,1998,6
and,1999,5
and,2000,5
and,2001,5
and,2002,5
and,2003,5
and,2004,5
and,2005,4
and,2006,4
and,2007,4
and,2008,4
and,2009,4
and,2010,3
and,2011,3
and,2012,3
and,2013,3
and,2014,2
and,2015,2
and,2016,2
and,2017,2
and,2018,2
and,2019,1
and,2020,1
are,1961,599
are,1962,604
are,1963,611
are,1964,617
are,1965,623
are,1966,628
are,1967,634
are,1968,639
are,1969,646
are,1970,655
are,1971,668
are,1972,685
are,1973,706
are,1974,729
are,1975,751
are,1976,772
are,1977,792
are,1978,807
