global,time,sh_sta_mmrt
world,2000,342
world,2001,335
world,2002,328
world,2003,319
world,2004,309
world,2005,296
world,2006,284
world,2007,274
world,2008,265
world,2009,257
world,2010,248
world,2011,241
world,2012,234
world,2013,229
world,2014,224
world,2015,219
world,2016,214
world,2017,211
