geo,time,er_h2o_intr_pc
afg,1962,5042.00331
afg,1967,4533.68189
afg,1972,3998.7375
afg,1977,3579.75469
afg,1982,3659.99889
afg,1987,4063.0658
afg,1992,3254.96956
afg,1997,2435.79556
afg,2002,2086.21181
afg,2007,1739.81766
afg,2012,1513.09103
afg,2017,1299.03729
afg,2018,1268.43055
ago,1962,26388.52213
ago,1967,25630.19098
ago,1972,23683.92206
ago,1977,19644.76426
ago,1982,16530.82535
ago,1987,13845.68997
ago,1992,11692.80073
ago,1997,9951.87328
ago,2002,8447.76921
ago,2007,7079.5241
ago,2012,5894.55321
ago,2017,4963.64982
ago,2018,4803.66839
alb,1962,15718.86926
alb,1967,13685.40242
alb,1972,11992.19287
alb,1977,10702.01207
alb,1982,9661.39143
alb,1987,8723.55558
alb,1992,8284.47075
alb,1997,8544.34519
alb,2002,8816.75236
alb,2007,9057.18709
alb,2012,9274.57949
alb,2017,9361.54591
alb,2018,9384.67236
and,1962,20521.49085
and,1967,15202.31251
and,1972,11738.88814
and,1977,9631.05398
and,1982,8068.51611
and,1987,6512.72226
and,1992,5359.87242
and,1997,4906.86912
and,2002,4505.48207
and,2007,3817.03403
and,2012,3828.84259
and,2017,4098.8611
and,2018,4098.2756
are,1962,1337.94782
are,1967,883.55877
are,1972,453.21604
are,1977,203.98534
are,1982,128.77571
are,1987,97.8138
are,1992,73.06766
are,1997,56.15116
are,2002,43.1187
are,2007,24.31573
are,2012,16.40851
are,2017,15.81077
are,2018,15.57476
arg,1962,13804.16112
arg,1967,12790.82033
arg,1972,11844.31764
arg,1977,10952.16428
arg,1982,10140.8079
arg,1987,9363.65288
arg,1992,8708.79576
arg,1997,8189.03478
arg,2002,7749.11076
arg,2007,7358.07304
arg,2012,6996.81556
arg,2017,6629.61183
arg,2018,6562.60857
arm,1992,1992.26222
arm,1997,2189.21892
arm,2002,2260.72988
arm,2007,2338.86828
arm,2012,2378.09703
arm,2017,2329.19921
arm,2018,2323.71343
atg,1962,931.08204
atg,1967,849.11824
atg,1972,810.8024
atg,1977,836.52394
atg,1982,841.69636
atg,1987,842.61016
atg,1992,806.71436
atg,1997,725.17329
atg,2002,664.12937
atg,2007,618.83399
atg,2012,575.17671
atg,2017,544.93058
atg,2018,540.08019
aus,1962,45801.52672
aus,1967,41698.44902
aus,1972,37337.78554
aus,1977,34667.41826
aus,1982,32415.33799
aus,1987,30251.0468
aus,1992,28122.32066
aus,1997,26570.17875
aus,2002,25036.38418
aus,2007,23622.50091
aus,2012,21642.10339
aus,2017,19998.48792
aus,2018,19693.63745
aut,1962,7714.03213
aut,1967,7455.60728
aut,1972,7290.36779
aut,1977,7267.02896
aut,1982,7261.55049
aut,1987,7261.12292
aut,1992,7014.67176
aut,1997,6902.57492
aut,2002,6805.28243
aut,2007,6630.11105
aut,2012,6524.32488
aut,2017,6251.72917
aut,2018,6221.35279
aze,1992,1099.28811
aze,1997,1035.3076
aze,2002,993.03101
aze,2007,945.66089
aze,2012,872.97637
aze,2017,823.52066
aze,2018,816.41718
bdi,1962,3460.23156
bdi,1967,3092.32572
bdi,1972,2818.19964
bdi,1977,2609.97311
bdi,1982,2296.94691
bdi,1987,2001.13671
bdi,1992,1769.39202
bdi,1997,1643.21901
bdi,2002,1500.57031
bdi,2007,1279.5359
bdi,2012,1088.03906
bdi,2017,929.15777
bdi,2018,900.19322
bel,1962,1301.43685
bel,1967,1252.48004
bel,1972,1235.69745
bel,1977,1220.70834
bel,1982,1217.49504
bel,1987,1215.77665
bel,1992,1194.6054
bel,1997,1178.63778
bel,2002,1161.35195
bel,2007,1129.33736
bel,2012,1080.40636
bel,2017,1054.9304
bel,2018,1050.13943
ben,1962,4115.23135
ben,1967,3765.57236
ben,1972,3384.19155
ben,1977,2999.90249
ben,1982,2622.38858
ben,1987,2271.09265
ben,1992,1931.80362
ben,1997,1639.69817
ben,2002,1411.84859
ben,2007,1218.24436
ben,2012,1058.66289
ben,2017,921.68441
ben,2018,896.81923
bfa,1962,2519.99465
bfa,1967,2339.49869
bfa,1972,2145.85865
bfa,1977,1953.45068
bfa,1982,1746.23466
bfa,1987,1535.61144
bfa,1992,1344.50383
bfa,1997,1171.99747
bfa,2002,1016.83083
bfa,2007,877.0681
bfa,2012,754.31838
bfa,2017,651.2711
bfa,2018,632.86442
bgd,1962,2068.87787
bgd,1967,1778.62851
bgd,1972,1575.96829
bgd,1977,1429.2794
bgd,1982,1251.01076
bgd,1987,1097.50944
bgd,1992,972.36891
bgd,1997,873.83073
bgd,2002,792.58397
bgd,2007,736.01374
bgd,2012,695.33784
bgd,2017,657.54281
bgd,2018,650.6515
bgr,1962,2620.75896
bgr,1967,2527.00709
bgr,1972,2448.63693
bgr,1977,2385.22984
bgr,1982,2354.93146
bgr,1987,2340.78248
bgr,1992,2458.96917
bgr,1997,2526.44709
bgr,2002,2679.54174
bgr,2007,2783.17552
bgr,2012,2874.39391
bgr,2017,2967.80064
bgr,2018,2989.3081
bhr,1962,23.10269
bhr,1967,20.40192
bhr,1972,17.45574
bhr,1977,13.19396
bhr,1982,10.36396
bhr,1987,8.90906
bhr,1992,7.64698
bhr,1997,6.72351
bhr,2002,5.44114
bhr,2007,3.86129
bhr,2012,3.07706
bhr,2017,2.67724
bhr,2018,2.54868
bhs,1962,5780.7286
bhs,1967,4586.52471
bhs,1972,3935.6133
bhs,1977,3551.49664
bhs,1982,3179.18807
bhs,1987,2877.52035
bhs,1992,2631.30192
bhs,1997,2435.94335
bhs,2002,2275.26105
bhs,2007,2074.7687
bhs,2012,1925.29309
bhs,2017,1833.66554
bhs,2018,1815.18791
bih,1992,8385.15398
bih,1997,9501.96329
bih,2002,9443.02385
bih,2007,9434.48626
bih,2012,9847.5106
bih,2017,10592.16466
bih,2018,10680.13186
blr,1992,3327.95966
blr,1997,3360.53622
blr,2002,3446.33669
blr,2007,3556.13086
blr,2012,3599.08863
blr,2017,3594.46448
blr,2018,3602.15854
blz,1962,156686.38316
blz,1967,135395.31909
blz,1972,120013.8435
blz,1977,111394.99401
blz,1982,100735.383
blz,1987,87533.62948
blz,1992,78528.64406
blz,1997,68870.58661
blz,2002,58158.37
blz,2007,51031.49917
blz,2012,45147.7961
blz,2017,40609.40783
blz,2018,39835.9579
bol,1962,79805.50072
bol,1967,72112.82009
bol,1972,64817.29851
bol,1977,58049.98343
bol,1982,52198.49393
bol,1987,47106.67248
bol,1992,42382.84007
bol,1997,38236.44688
bol,2002,34714.19183
bol,2007,31752.04986
bol,2012,29245.46601
bol,2017,27115.51738
bol,2018,26732.69245
bra,1962,73986.14186
bra,1967,64303.37471
bra,1972,56689.71254
bra,1977,50353.39348
bra,1982,44751.58176
bra,1987,40179.82448
bra,1992,36697.92998
bra,1997,33855.82381
bra,2002,31531.01316
bra,2007,29774.29522
bra,2012,28406.22673
bra,2017,27238.10718
bra,2018,27025.43742
brb,1962,343.90408
brb,1967,338.03626
brb,1972,331.23139
brb,1977,321.37419
brb,1982,314.86393
brb,1987,310.06309
brb,1992,304.30978
brb,1997,298.30376
brb,2002,292.58694
brb,2007,287.04597
brb,2012,281.99
brb,2017,279.49648
brb,2018,279.09572
brn,1962,94989.04832
brn,1967,75591.83964
brn,1972,59852.83245
brn,1977,48650.10274
brn,1982,41249.3206
brn,1987,35779.68135
brn,1992,31034.58348
brn,1997,27246.90828
brn,2002,24511.42954
brn,2007,22668.66151
brn,2012,21303.41832
brn,2017,20024.45339
brn,2018,19815.3674
btn,1962,405027.4566
btn,1967,351924.84367
btn,1972,299852.91425
btn,1977,255772.37874
btn,1982,221477.22981
btn,1987,192185.92268
btn,1992,177727.88925
btn,1997,146815.46384
btn,2002,131488.17012
btn,2007,117315.63772
btn,2012,111177.31071
btn,2017,104618.92556
btn,2018,103393.97346
bwa,1962,4582.10287
bwa,1967,4108.8997
bwa,1972,3597.68324
bwa,1977,2998.00644
bwa,1982,2492.57689
bwa,1987,2078.09489
bwa,1992,1760.12316
bwa,1997,1558.01266
bwa,2002,1407.92444
bwa,2007,1279.68747
bwa,2012,1176.72963
bwa,2017,1088.3979
bwa,2018,1064.74213
caf,1962,90855.90125
caf,1967,82537.90597
caf,1972,75490.44698
caf,1977,69120.56096
caf,1982,60376.67337
caf,1987,53271.15091
caf,1992,47647.43332
caf,1997,41563.10281
caf,2002,37084.48609
caf,2007,33587.39058
caf,2012,31782.44757
caf,2017,30678.69765
caf,2018,30216.17423
can,1962,153110.56194
can,1967,139623.75073
can,1972,128271.69908
can,1977,120122.1807
can,1982,113469.22727
can,1987,107764.32102
can,1992,100453.7549
can,1997,95298.76799
can,2002,90879.8731
