global,time,ne_exp_gnfs_zs
world,1970,12.81729
world,1971,13.00937
world,1972,13.38854
world,1973,15.02998
world,1974,18.09503
world,1975,17.24011
world,1976,17.69329
world,1977,17.76152
world,1978,17.50974
world,1979,18.98011
world,1980,20.37095
world,1981,19.66512
world,1982,18.71179
world,1983,18.04221
world,1984,18.38788
world,1985,17.74625
world,1986,16.74752
world,1987,17.44532
world,1988,17.94872
world,1989,18.63415
world,1990,18.94391
world,1991,18.82521
world,1992,19.89574
world,1993,18.9841
world,1994,19.47616
world,1995,20.72384
world,1996,21.2045
world,1997,22.1071
world,1998,21.92385
world,1999,21.91863
world,2000,23.56114
world,2001,22.97848
world,2002,23.23107
world,2003,23.99299
world,2004,25.86167
world,2005,27.15711
world,2006,28.88246
world,2007,29.81507
world,2008,31.02107
world,2009,26.37709
world,2010,28.77908
world,2011,30.61995
world,2012,30.41793
world,2013,30.35075
world,2014,30.01602
world,2015,28.32811
world,2016,27.37751
world,2017,28.33571
world,2018,29.21342
world,2019,28.29382
world,2020,26.46699
