global,time,bm_gsr_trvl_zs
world,1981,22.77695
world,1982,24.46323
world,1983,24.3868
world,1984,26.5491
world,1985,27.14395
world,1986,28.99175
world,1987,30.46225
world,1988,31.02786
world,1989,30.59027
world,1990,30.89452
world,1991,30.52969
world,1992,31.61844
world,1993,30.76118
world,1994,31.1459
world,1995,30.46421
world,1996,30.49378
world,1997,29.7383
world,1998,29.83825
world,1999,29.62018
world,2000,28.58759
world,2001,27.67005
world,2002,27.61153
world,2003,27.29061
world,2004,26.32337
world,2005,25.11633
world,2006,23.76457
world,2007,23.32879
world,2008,22.33403
world,2009,22.82728
world,2010,22.51272
world,2011,22.32217
world,2012,22.80799
world,2013,23.26315
world,2014,24.53074
world,2015,24.44332
world,2016,24.52377
world,2017,24.5663
world,2018,24.30324
world,2019,23.58277
world,2020,11.33274
