global,time,ic_bus_ndns_zs
world,2010,1.8626
world,2011,1.91604
world,2012,1.97776
world,2013,2.14776
world,2014,2.7734
world,2015,2.90471
world,2016,3.21341
world,2017,3.15163
world,2018,3.17176
world,2019,3.44219
world,2020,3.52763
