global,time,ip_ids_nrct
world,2004,159900
world,2005,158200
world,2006,151100
world,2007,166000
world,2008,157900
world,2009,129300
world,2010,141600
world,2011,156800
world,2012,172400
world,2013,178800
world,2014,179900
world,2015,188900
world,2016,190400
world,2017,204700
world,2018,200900
world,2019,223700
world,2020,217000
