global,time,bm_gsr_gnfs_cd
world,1978,1588991104675.97998
world,1979,1995940763615.28003
world,1980,2412113631461.93018
world,1981,2420491971666.62012
world,1982,2274639688062.20947
world,1983,2229154226481.25
world,1984,2341886010980.52979
world,1985,2369924014044.7998
world,1986,2617869374332.50977
world,1987,3063133103881.06006
world,1988,3464597229374.64014
world,1989,3742476586517.3999
world,1990,4312747311782.85986
world,1991,4469080538492.16016
world,1992,4812202014404.12012
world,1993,4731788220737.67969
world,1994,5254904600917.11035
world,1995,6235038271852.95996
world,1996,6581649741171.46973
world,1997,6741204646891.34961
world,1998,6714322663370.91992
world,1999,7046611751475.86035
world,2000,7928496874043.67871
world,2001,7676258866340.55078
world,2002,7951767351307.58105
world,2003,9289749852047.82031
world,2004,11290227816122.80078
world,2005,12806750351479.09961
world,2006,14643104511889.80078
world,2007,16936747982192.09961
world,2008,19517484404644.5
world,2009,15494932432057.5
world,2010,18459573473023.60156
world,2011,21941089018235.19922
world,2012,22271676555424.5
world,2013,22868086709232.19922
world,2014,23347565514521.10156
world,2015,20798981083415.60156
world,2016,20327695334417.89453
world,2017,22434122600854.10156
world,2018,24745856824618.5
world,2019,24383133863438.39844
world,2020,21872139272742.30078
