global,time,it_cel_sets
world,1960,0
world,1965,0
world,1970,0
world,1975,0
world,1976,0
world,1977,0
world,1978,0
world,1979,0
world,1980,23482
world,1981,63585
world,1982,101509
world,1983,148855
world,1984,319252
world,1985,750629
world,1986,1450136
world,1987,2545270
world,1988,4327956
world,1989,7353071
world,1990,11210115
world,1991,16276503
world,1992,23245154
world,1993,34163482
world,1994,55511640
world,1995,90743607
world,1996,145042295
world,1997,214953349
world,1998,318097469
world,1999,490984248
world,2000,738157897
world,2001,960982997
world,2002,1164277513
world,2003,1415027798
world,2004,1760995437
world,2005,2205845578
world,2006,2745158819
world,2007,3368733569
world,2008,4028681041
world,2009,4636306520
world,2010,5295441563
world,2011,5889696457
world,2012,6260779509
world,2013,6661650082
world,2014,6999287655
world,2015,7181853504.01
world,2016,7509395261
world,2017,7755999640
world,2018,7854705539
world,2019,8210936395
world,2020,8265682478
