geo,time,se_adt_litr_ma_zs
mus,2012,94.65241
mus,2013,94.03689
mus,2014,94.76538
mus,2015,94.86117
mus,2016,95.43586
mus,2018,93.35735
mwi,1987,65.2795
mwi,1998,74.92641
mwi,2010,72.09765
mwi,2014,75.97926
mwi,2015,69.75397
mys,1980,78.14633
mys,1991,88.56299
mys,2000,91.96924
mys,2010,95.43375
mys,2016,96.297
mys,2017,96.49912
mys,2018,96.12305
mys,2019,96.218
nam,1991,77.80812
nam,2001,86.55523
nam,2007,74.32835
nam,2011,88.63123
nam,2018,91.62742
ncl,1976,92.19094
ncl,1989,94.04419
ncl,1996,96.78477
ncl,2014,98.14
ner,2001,19.64006
ner,2005,42.92737
ner,2012,39.05869
ner,2018,43.59406
nga,1991,67.65374
nga,2003,66.76743
nga,2006,76.13187
nga,2008,61.25405
nga,2018,71.25571
nic,2001,76.76049
nic,2005,78.09643
nic,2015,82.43855
npl,1981,31.67275
npl,1991,49.22002
npl,2001,62.70801
npl,2011,71.70838
npl,2018,78.59134
omn,2003,86.86234
omn,2008,89.99932
omn,2010,90.24303
omn,2014,94.99074
omn,2015,96.63287
omn,2016,96.63083
omn,2017,97.02387
omn,2018,96.98942
pak,1981,35.38065
pak,1998,55.29661
pak,2005,64.06048
pak,2006,67.65184
pak,2007,65.00494
pak,2008,68.8661
pak,2009,68.62762
pak,2010,68.90061
pak,2011,66.99114
pak,2012,69.85822
pak,2013,68.62934
pak,2014,69.06681
pak,2017,71.116
pak,2018,69.27658
pak,2019,69.28746
pan,1980,88.09652
pan,1990,89.33696
pan,2000,92.54793
pan,2010,94.70741
pan,2018,95.96893
pan,2019,96.1409
per,1981,90.14353
per,1993,92.85101
per,2004,93.4607
per,2005,93.71831
per,2006,94.22582
per,2007,94.85703
per,2012,96.95013
per,2014,96.94898
per,2015,97.10638
per,2016,97.18846
per,2017,97.03974
per,2018,97.12137
per,2020,96.98989
phl,1980,83.88929
phl,1990,93.97169
phl,1994,93.30286
phl,2000,92.545
phl,2003,91.63449
phl,2008,95.01213
phl,2013,96.00834
phl,2015,98.12325
phl,2019,95.70573
plw,1980,93.28738
plw,2013,99.46721
plw,2015,96.81275
png,2000,63.44522
png,2010,65.29
pol,1978,99.27517
pol,1988,99.27517
pol,1998,99.27517
pol,2008,99.27517
pri,1980,87.74803
pri,1990,89.50269
pri,2010,91.33078
pri,2017,92.38996
prk,2008,99.99888
prt,1981,84.83334
prt,1991,91.58706
prt,2011,96.28558
prt,2018,97.35362
pry,1982,81.08307
pry,1992,92.00015
pry,2007,95.71238
pry,2008,94.12632
pry,2009,94.36773
pry,2010,94.81315
pry,2012,94.81725
pry,2013,95.66619
pry,2014,95.87412
pry,2015,96.2543
pry,2016,95.47606
pry,2018,94.51148
pry,2019,93.78817
pry,2020,94.92147
pse,1997,92.24853
pse,2004,96.07893
pse,2006,97.08059
pse,2007,97.10471
pse,2008,97.2013
pse,2009,97.31667
pse,2010,97.52521
pse,2011,97.74405
pse,2012,98.06757
pse,2013,98.26706
pse,2014,98.27914
pse,2015,98.37688
pse,2016,98.50679
pse,2017,98.52601
pse,2018,98.65782
pse,2019,98.80442
pse,2020,98.7938
qat,1986,76.79583
qat,1997,84.24456
qat,2004,86.73982
qat,2007,89.95789
qat,2008,91.43579
qat,2009,91.36682
qat,2010,91.74862
qat,2011,91.65414
qat,2012,89.99826
qat,2013,90.34343
qat,2014,91.04652
qat,2016,92.88156
qat,2017,93.14446
rou,1992,98.53202
rou,2002,98.4044
rou,2011,99.03429
rou,2018,99.10801
rus,1989,99.45624
rus,2002,99.69408
rus,2010,99.72831
rus,2018,99.72516
rwa,1978,50.82326
rwa,2000,71.41938
rwa,2010,71.13054
rwa,2012,72.44518
rwa,2014,76.14973
rwa,2018,77.5588
sau,1992,79.96853
sau,2000,87.06077
sau,2004,87.53204
sau,2013,96.53143
sau,2017,97.10371
sau,2020,98.62293
sdn,2000,71.58102
sdn,2008,59.79825
sdn,2018,65.43515
sen,1988,36.90288
sen,2002,51.05153
sen,2006,52.25848
sen,2009,59.78427
sen,2011,66.03601
sen,2013,53.90041
sen,2017,64.81228
sgp,1980,91.56623
sgp,1990,95.09316
sgp,2000,96.5651
sgp,2010,98.03714
sgp,2011,98.39284
sgp,2012,98.46946
sgp,2013,98.54254
sgp,2014,98.60902
sgp,2015,98.55957
sgp,2016,98.73447
sgp,2017,98.79692
sgp,2018,98.8509
sgp,2019,98.90352
slb,1999,83.7
slb,2009,83.7
sle,2004,46.65429
sle,2013,41.33217
sle,2018,51.64688
slv,1992,77.37241
slv,2006,86.69534
slv,2007,84.86407
slv,2008,87.05468
slv,2009,86.82521
slv,2010,87.0997
slv,2011,88.39165
slv,2013,89.23501
slv,2015,90.00994
slv,2016,90.29927
slv,2017,90.63138
slv,2018,91.10234
slv,2019,91.3062
som,1972,7.19844
srb,2003,98.90718
srb,2011,99.26464
srb,2016,99.4997
srb,2019,99.87581
ssd,2008,34.83693
ssd,2018,40.26481
stp,1981,73.14115
stp,1991,85.24964
stp,2001,92.23467
stp,2008,80.33024
stp,2012,94.95617
stp,2018,96.16268
sur,2004,92.01633
sur,2008,95.49294
sur,2010,95.36479
sur,2012,94.86987
sur,2018,96.07404
svn,1991,99.60209
svn,2004,99.69
svn,2014,99.69
swz,1976,57.38439
swz,1986,69.68347
swz,2000,83.15462
swz,2010,83.90015
swz,2018,88.28758
syc,1987,82.93166
syc,1994,87.01516
syc,2002,91.40732
syc,2010,93.46392
syc,2018,95.41176
syr,1981,73.58422
syr,2002,91.02857
syr,2004,87.75814
tcd,1993,18.2606
tcd,2000,40.82706
tcd,2004,39.36825
tcd,2015,38.9182
tcd,2016,31.32879
tgo,2000,68.72574
tgo,2006,70.27027
tgo,2009,71.16635
tgo,2011,74.05682
tgo,2015,77.25943
tgo,2019,79.99169
tha,1980,92.21296
tha,2000,94.90157
tha,2005,95.60024
tha,2010,96.43502
tha,2013,95.25126
tha,2015,94.65912
tha,2018,95.20239
tjk,1989,98.79109
tjk,2000,99.68399
tjk,2014,99.82
tkm,1995,99.32498
tkm,2014,99.75
tls,2001,45.3
tls,2007,58.5
tls,2010,63.59179
tls,2018,71.86872
ton,1976,99.65866
ton,1996,98.83406
ton,2006,98.95388
ton,2011,99.3351
ton,2018,99.35098
tto,1980,96.52153
tto,1990,98.0098
tto,2000,98.75
tto,2010,99.14
tun,1984,60.40723
tun,2004,83.38509
tun,2007,86.05368
tun,2008,86.37581
tun,2010,87.37573
tun,2011,87.76076
tun,2012,88.47578
tun,2014,86.06012
tur,1975,77.50394
tur,1980,81.44944
tur,1985,87.61972
tur,1990,89.84703
tur,2004,95.27349
tur,2005,96.00062
tur,2006,95.99562
tur,2007,96.20186
tur,2009,96.37771
tur,2010,97.29981
tur,2011,97.93499
tur,2012,98.2629
tur,2013,98.40137
tur,2014,98.49679
tur,2015,98.57562
tur,2016,98.77583
tur,2017,98.81996
tur,2019,99.07531
tza,1988,71.36571
tza,2002,77.5064
tza,2010,75.4678
tza,2012,83.37769
tza,2015,83.20485
uga,1991,68.19809
uga,2002,78.30402
uga,2006,81.38859
uga,2010,82.63139
uga,2012,79.12304
uga,2018,82.65601
ukr,2001,99.74343
ukr,2012,99.99394
ury,1975,93.38826
ury,1985,94.83361
ury,1996,96.24453
ury,2006,97.44478
ury,2007,97.42169
ury,2008,97.83128
ury,2009,97.97242
ury,2010,97.61017
ury,2011,98.02311
ury,2012,98.10397
ury,2013,98.06342
ury,2014,98.02507
ury,2015,98.14592
ury,2016,98.24453
ury,2017,98.23419
ury,2018,98.37136
ury,2019,98.48095
uzb,2000,99.16444
uzb,2013,99.99383
uzb,2014,99.98519
uzb,2015,99.99204
uzb,2016,99.99487
uzb,2018,99.99998
uzb,2019,99.99995
vct,1970,95.8
ven,1981,86.48933
ven,1990,90.67252
ven,2001,93.25745
ven,2007,95.38173
ven,2009,95.67537
ven,2011,94.50232
ven,2015,96.65108
ven,2016,97.03911
vnm,1979,90.38148
vnm,1989,93.00299
vnm,1999,93.91826
vnm,2000,93.93268
vnm,2009,95.78533
vnm,2019,96.9907
vut,1979,57.3351
vut,1984,62.31
vut,1994,71.77
vut,2004,80.48
vut,2014,86.18
vut,2018,88.30635
wsm,1991,98.41569
wsm,2011,98.88192
wsm,2018,98.95609
yem,1994,56.72475
yem,2004,73.16
zaf,1980,77.5256
zaf,1996,84.07138
zaf,2007,90.71759
zaf,2009,94.12146
zaf,2010,94.14385
zaf,2011,94.24509
zaf,2012,94.96372
zaf,2014,95.28685
zaf,2015,95.39653
zaf,2017,87.67775
zaf,2019,95.54537
zmb,1990,73.03732
zmb,1999,76.25402
zmb,2002,80.91286
zmb,2007,71.31762
zmb,2010,88.68403
zmb,2018,90.60118
zwe,1982,84.17463
zwe,1992,88.89338
zwe,2011,87.76481
zwe,2014,89.18537
