geo,time,sp_m15_2024_fe_zs
afg,2015,8.8
afg,2017,4.20146
ago,2016,7.9
alb,2009,0.2
alb,2018,1.4
arm,2000,0.8
arm,2005,0.3
arm,2010,0
arm,2016,0
aze,2006,0.7
aze,2011,1.9
bdi,1987,2.1
bdi,2010,2.5
bdi,2017,2.8
ben,1996,7.8
ben,2001,7.5
ben,2006,7.9
ben,2012,10.5
ben,2014,7
ben,2018,9.4
bfa,1993,9.5
bfa,1999,8
bfa,2003,5.2
bfa,2010,10.2
bgd,1994,47.2
bgd,1997,46.8
bgd,2000,38.2
bgd,2004,37.2
bgd,2007,32.3
bgd,2011,29.1
bgd,2014,22.4
bgd,2018,19.3
bgd,2019,15.4834
bih,2012,0.15751
blr,2012,0
blr,2019,0.1
blz,2011,3.4
blz,2016,6.3
bol,1989,5.1
bol,1994,4.7
bol,1998,2.6
bol,2003,3.7
bol,2008,3.2
bol,2015,2.4
bol,2016,3.42979
bra,1986,3.7
bra,1996,4.4
bra,2006,5.87843
brb,2012,0.66125
btn,2010,6.2
bwa,1988,2.5
caf,1995,19.6
caf,2010,29.1
caf,2019,25.8
civ,1994,13.1
civ,1999,9.5
civ,2005,8.2
civ,2012,9.8
civ,2016,7
cmr,1991,21.3
cmr,1998,14.8
cmr,2004,16.5
cmr,2011,13.4
cmr,2014,10.2
cmr,2018,10.7
cod,2007,8.3
cod,2014,10
cod,2018,8.44406
cog,2005,5.9
cog,2009,6.7
cog,2012,6.1
cog,2015,6.9
col,1986,4.3
col,1990,3.1
col,1995,5.7
col,2000,4.1
col,2005,4.4
col,2010,5.6
col,2015,4.9
com,1996,9.2
com,2012,10
cpv,2005,2.8
cri,2011,6.8
cri,2018,2
cub,2014,4.7
cub,2019,4.8
dji,2006,1.8
dji,2012,1.3
dom,1986,10.4
dom,1991,9
dom,1996,10.8
dom,1999,9.6
dom,2002,12.5
dom,2007,13.8
dom,2013,10.2
dom,2014,12.3
dza,2013,0.4
dza,2019,0
ecu,1987,5.8
ecu,2004,3.8
ecu,2012,2.5
ecu,2018,3.8
egy,1988,8.9
egy,1992,7.2
egy,1995,7.8
egy,2000,3.9
egy,2003,2.7
egy,2005,2.5
egy,2008,2.2
egy,2014,2
eri,1995,18.2
eri,2002,19.6
eri,2010,12.85728
eth,2000,19.1
eth,2005,23.9
eth,2011,16.4
eth,2016,14.1
gab,2000,10.8
gab,2012,5.6
geo,2010,1.1
geo,2018,0.3
gha,1988,8.7
gha,1993,5.7
gha,1998,6.8
gha,2003,5.9
gha,2008,4.9
gha,2014,4.9
gha,2017,4.9
gha,2018,5.0023
gin,1999,27.5
gin,2005,19.8
gin,2012,21.3
gin,2016,19.2
gin,2018,17
gmb,2013,9.3
gmb,2018,7.45609
gmb,2020,5.6
gnb,2014,6.3
gnb,2019,8.1
gnq,2011,8.6
gtm,1987,12.4
gtm,1995,10.4
gtm,1999,9.3
gtm,2015,6.2
guy,2005,6.5
guy,2009,5.5
guy,2014,3.6
hnd,2006,10.8
hnd,2012,7.6
hti,1995,4.8
hti,2000,5.3
hti,2006,5.6
hti,2012,2.8
hti,2017,2.1
idn,1987,11.3
idn,1991,10
idn,1994,9.4
idn,1997,5.8
idn,2003,4.7
idn,2007,4.3
idn,2012,2.7
idn,2013,1.1
idn,2017,2
ind,1993,17.6
ind,1999,23.4
ind,2006,13.1
ind,2016,5.4
irn,2010,2.7
irq,2011,4.6
irq,2018,7.2
jam,2011,1.36493
jor,1990,2.1
jor,1997,0.9
jor,2002,0.9
jor,2007,1.1
jor,2009,0.7
jor,2012,0.3
jor,2018,1.5
kaz,1995,0.4
kaz,1999,0.3
kaz,2015,0.2
ken,1989,5.6
ken,1993,5.4
ken,1998,5.2
ken,2003,3.8
ken,2009,6.2
ken,2014,4.4
kgz,1997,0.1
kgz,2012,0.1
kgz,2014,0.9
kgz,2018,0.3073
khm,2000,3.3
khm,2005,2.5
khm,2010,2.1
khm,2014,1.9
kir,2009,2.8
kir,2019,2.39116
lao,2012,8.9
lao,2017,7.1
lbn,2009,1.2
lbn,2015,1.4
lbn,2016,1.4
lbr,1986,16.6
lbr,2007,10.8
lbr,2013,8.8
lbr,2020,5.8
lca,2012,3.70959
lka,1987,1.1
lka,2007,1.7
lka,2016,0.9
lso,2004,2.5
lso,2009,2.3
lso,2014,1
lso,2018,1.03751
mar,1987,6.5
mar,1992,2.8
mar,2004,2.5
mar,2018,0.5
mda,2005,0.5
mda,2012,0.4
mdg,1992,8.6
mdg,1997,12.5
mdg,2004,8.4
mdg,2009,14.4
mdg,2013,12.4
mdg,2018,12.73039
mdv,2009,0.3
mdv,2017,0
mex,1987,6.2
mex,2015,3.8
mex,2018,3.6302
mhl,2007,5.5
mkd,2011,0.9
mkd,2019,0.3
mli,1987,27.1
mli,1996,19.2
mli,2001,24.5
mli,2006,24.6
mli,2013,22.8
mli,2015,16.5
mli,2018,15.9
mmr,2015,1.9
mmr,2016,1.9
mne,2013,0.6
mne,2018,1.9
mng,2013,0.1
mng,2018,0.92886
moz,1997,21.5
moz,2003,18.3
moz,2009,20.9
moz,2011,14.3
moz,2015,16.8
mrt,2001,20.8
mrt,2015,17.8
mwi,1992,14.8
mwi,2000,10.2
mwi,2004,10.7
mwi,2010,11.7
mwi,2015,9.01809
mwi,2016,9
nam,1992,1.6
nam,2000,2.2
nam,2007,2.5
nam,2013,1.6
ner,1992,50.3
ner,1998,35.1
ner,2006,36.1
ner,2012,28
nga,1990,26.7
nga,2003,18.8
nga,2008,16.4
nga,2013,17.3
nga,2017,18.2
nga,2018,15.7
nic,1998,16
nic,2001,13.3
nic,2012,9.7
npl,1996,19.1
npl,2001,14.1
npl,2006,10.2
npl,2011,10.1
npl,2016,7
npl,2019,7.9
nru,2007,1.9
omn,2014,1.2
pak,1991,11.4
pak,2007,6.7
pak,2013,2.8
pak,2018,3.6
pan,2013,6.8
per,1986,2.3
per,1992,2.9
per,1996,3.9
per,2000,3.4
per,2006,2.7
per,2008,3.3
per,2009,3.4
per,2010,3
per,2011,2.6
per,2012,2.5
per,2015,3
per,2018,2.52187
phl,1993,1.9
phl,1998,2
phl,2003,1.5
phl,2008,2.1
phl,2013,2
phl,2017,2.2
png,2006,2.1
png,2018,8
prk,2017,0
prk,2018,0
pry,1990,3.1
pry,2016,3.6
pse,2014,1
pse,2020,0.7
qat,2012,0
rwa,1992,1.4
rwa,2000,2.1
rwa,2005,1.1
rwa,2010,0.8
rwa,2015,0.4
rwa,2020,0.3
sdn,1990,11.5
sdn,2014,11.87516
sen,1986,15.4
sen,1993,14.8
sen,1997,11
sen,2005,9.7
sen,2011,12
sen,2013,8.6
sen,2014,8.7
sen,2015,8.5
sen,2016,7.9
sen,2017,8.4
sen,2018,7.8
sen,2019,8.8
sgp,2018,0
sgp,2020,0
slb,2015,5.59622
sle,2008,19.3
sle,2013,12.5
sle,2017,12.9
sle,2019,8.6
slv,1985,6.2
slv,2014,5.8
som,2006,8.4
som,2020,16.8
srb,2014,0.3
srb,2019,1.2
ssd,2010,8.85522
stp,2009,5
stp,2014,7.9
stp,2019,5.4
sur,2010,5.2
sur,2018,8.80189
swz,2007,1
swz,2014,0.81863
syr,2006,2.48885
tcd,1997,28.6
tcd,2004,34.5
tcd,2015,29.7
tcd,2019,24.2
tgo,1988,10.4
tgo,1998,8.3
tgo,2014,5.5
tgo,2017,6.4
tha,1987,2.4
tha,2015,4.4
tha,2019,3
tjk,2012,0.1
tjk,2017,0.1
tkm,2000,0
tkm,2016,0
tkm,2019,0.2
tls,2010,3
tls,2016,2.6
