geo,time,se_com_durs
abw,2011,13
abw,2012,13
abw,2013,13
abw,2014,13
abw,2015,13
abw,2016,13
abw,2017,13
abw,2018,13
abw,2019,13
abw,2020,13
afg,1998,6
afg,1999,6
afg,2000,6
afg,2001,6
afg,2002,6
afg,2003,6
afg,2004,6
afg,2005,6
afg,2006,6
afg,2007,6
afg,2008,9
afg,2009,9
afg,2010,9
afg,2011,9
afg,2012,9
afg,2013,9
afg,2014,9
afg,2015,9
afg,2016,9
afg,2017,9
afg,2018,9
afg,2019,9
afg,2020,9
afg,2021,9
ago,1998,4
ago,1999,4
ago,2000,4
ago,2001,4
ago,2002,4
ago,2003,4
ago,2004,4
ago,2005,4
ago,2006,4
ago,2007,6
ago,2008,6
ago,2009,6
ago,2010,6
ago,2011,6
ago,2012,6
ago,2013,6
ago,2014,6
ago,2015,6
ago,2016,6
ago,2017,6
ago,2018,6
ago,2019,6
ago,2020,6
alb,1998,8
alb,1999,8
alb,2000,8
alb,2001,8
alb,2002,8
alb,2003,8
alb,2004,8
alb,2005,8
alb,2006,8
alb,2007,8
alb,2008,8
alb,2009,8
alb,2010,8
alb,2011,8
alb,2012,9
alb,2013,9
alb,2014,9
alb,2015,9
alb,2016,9
alb,2017,9
alb,2018,9
alb,2019,9
alb,2020,9
and,1998,10
and,1999,10
and,2000,10
and,2001,10
and,2002,10
and,2003,10
and,2004,10
and,2005,10
and,2006,10
and,2007,10
and,2008,10
and,2009,10
and,2010,10
and,2011,10
and,2012,10
and,2013,10
and,2014,10
and,2015,10
and,2016,10
and,2017,10
and,2018,10
and,2019,10
and,2020,10
are,1999,6
are,2000,6
are,2001,6
are,2002,6
are,2003,6
are,2004,6
are,2005,6
are,2006,6
are,2007,6
are,2008,6
are,2009,6
are,2010,6
are,2011,6
are,2012,12
are,2013,12
are,2014,12
are,2015,12
are,2016,12
are,2017,12
are,2018,12
are,2019,12
are,2020,12
arg,1998,10
arg,1999,10
arg,2000,10
arg,2001,10
arg,2002,10
arg,2003,10
arg,2004,10
arg,2005,10
arg,2006,13
arg,2007,13
arg,2008,13
arg,2009,13
arg,2010,13
arg,2011,13
arg,2012,13
arg,2013,13
arg,2014,13
arg,2015,14
arg,2016,14
arg,2017,14
arg,2018,14
arg,2019,14
arg,2020,14
arg,2021,14
arm,1999,10
arm,2000,10
arm,2001,10
arm,2002,10
arm,2003,10
arm,2004,10
arm,2005,10
arm,2006,10
arm,2007,10
arm,2008,10
arm,2009,10
arm,2010,10
arm,2011,11
arm,2012,12
arm,2013,12
arm,2014,12
arm,2015,12
arm,2016,12
arm,2017,12
arm,2018,12
arm,2019,12
arm,2020,12
arm,2021,12
atg,1998,11
atg,1999,11
atg,2000,11
atg,2001,11
atg,2002,11
atg,2003,11
atg,2004,11
atg,2005,11
atg,2006,11
atg,2007,11
atg,2008,11
atg,2009,11
atg,2010,11
atg,2011,11
atg,2012,11
atg,2013,11
atg,2014,11
atg,2015,11
atg,2016,11
atg,2017,11
atg,2018,11
atg,2019,11
atg,2020,11
aus,1998,10
aus,1999,10
aus,2000,10
aus,2001,10
aus,2002,10
aus,2003,10
aus,2004,10
aus,2005,10
aus,2006,10
aus,2007,10
aus,2008,10
aus,2009,10
aus,2010,10
aus,2011,10
aus,2012,10
aus,2013,10
aus,2014,10
aus,2015,10
aus,2016,10
aus,2017,10
aus,2018,10
aus,2019,10
aus,2020,10
aut,1998,9
aut,1999,9
aut,2000,9
aut,2001,9
aut,2002,9
aut,2003,9
aut,2004,9
aut,2005,9
aut,2006,9
aut,2007,9
aut,2008,9
aut,2009,9
aut,2010,9
aut,2011,10
aut,2012,10
aut,2013,10
aut,2014,10
aut,2015,10
aut,2016,10
aut,2017,13
aut,2018,13
aut,2019,13
aut,2020,13
aut,2021,13
aze,1998,9
aze,1999,9
aze,2000,9
aze,2001,9
aze,2002,9
aze,2003,9
aze,2004,9
aze,2005,9
aze,2006,9
aze,2007,9
aze,2008,9
aze,2009,9
aze,2010,9
aze,2011,9
aze,2012,9
aze,2013,10
aze,2014,10
aze,2015,10
aze,2016,10
