global,time,sh_sta_smss_zs
world,2000,28.64201
world,2001,29.14238
world,2002,29.74736
world,2003,30.85364
world,2004,32.14211
world,2005,33.25609
world,2006,34.51485
world,2007,35.82649
world,2008,37.16659
world,2009,38.54113
world,2010,39.94652
world,2011,41.31174
world,2012,42.7511
world,2013,44.20316
world,2014,45.66786
world,2015,47.14434
world,2016,48.63173
world,2017,50.12443
world,2018,51.58634
world,2019,53.02257
world,2020,53.95015
