global,time,sl_srv_empl_fe_zs
world,1991,38.57768
world,1992,39.00153
world,1993,39.85068
world,1994,40.83513
world,1995,42.06379
world,1996,42.85048
world,1997,43.45669
world,1998,43.8419
world,1999,43.99792
world,2000,44.33607
world,2001,44.81149
world,2002,45.44235
world,2003,45.89919
world,2004,46.8445
world,2005,47.36784
world,2006,48.34717
world,2007,48.95046
world,2008,49.8319
world,2009,50.75639
world,2010,51.32835
world,2011,52.2008
world,2012,52.93368
world,2013,54.0729
world,2014,55.19854
world,2015,56.08852
world,2016,56.94399
world,2017,57.69772
world,2018,58.34976
world,2019,59.13579
