global,time,sl_emp_mpyr_ma_zs
world,1991,3.69579
world,1992,3.64671
world,1993,3.57996
world,1994,3.55678
world,1995,3.49296
world,1996,3.38976
world,1997,3.36891
world,1998,3.30503
world,1999,3.29687
world,2000,3.24996
world,2001,3.32183
world,2002,3.32661
world,2003,3.35364
world,2004,3.40362
world,2005,3.39663
world,2006,3.38774
world,2007,3.33621
world,2008,3.35636
world,2009,3.36828
world,2010,3.29265
world,2011,3.28895
world,2012,3.33894
world,2013,3.31266
world,2014,3.34158
world,2015,3.3791
world,2016,3.40945
world,2017,3.49751
world,2018,3.58705
world,2019,3.54302
