global,time,gc_tax_ypkg_rv_zs
world,1998,19.8416
world,2002,20.71643
world,2003,20.44339
world,2004,20.36651
world,2005,20.16882
world,2006,20.01102
world,2007,20.48778
world,2008,22.2642
world,2009,21.27645
world,2010,21.26863
world,2011,21.81937
world,2012,21.3909
world,2013,22.83876
world,2014,22.67247
world,2015,23.2098
world,2016,22.53678
world,2017,22.77863
world,2018,24.14865
world,2019,24.61895
