global,time,nv_ind_totl_kd
world,1994,10827794728506.69922
world,1995,11141741829455.90039
world,1996,11505354041552.19922
world,1997,11886632173430.69922
world,1998,12143254158742.69922
world,1999,12531011719557.19922
world,2000,13162877185955.59961
world,2001,13163322873860.90039
world,2002,13359871320580.69922
world,2003,13855895815713.59961
world,2004,14600604462572.30078
world,2005,15151626011542.09961
world,2006,15978881362979
world,2007,16715633679649
world,2008,16876470044874.5
world,2009,16094320684491.80078
world,2010,17171111338053.5
world,2011,17835280924004.30078
world,2012,18258704379969.80078
world,2013,18800177795933.30078
world,2014,19475292958563.10156
world,2015,20136786155923.10156
world,2016,20708770240659.69531
world,2017,21459654292681
world,2018,22210963804778.30078
world,2019,22643363068251.80078
world,2020,22081641197277.39844
