geo,time,sh_sta_hygn_zs
afg,2005,36.96777
afg,2006,37.0382
afg,2007,37.10932
afg,2008,37.18079
afg,2009,37.2526
afg,2010,37.32476
afg,2011,37.39761
afg,2012,37.4708
afg,2013,37.54434
afg,2014,37.61823
afg,2015,37.6928
afg,2016,37.76772
afg,2017,37.84713
afg,2018,37.93172
afg,2019,38.02114
afg,2020,38.11505
ago,2012,25.94169
ago,2013,26.09392
ago,2014,26.24511
ago,2015,26.3934
ago,2016,26.5392
ago,2017,26.6823
ago,2018,26.8223
ago,2019,26.9598
ago,2020,27.09419
arm,2000,83.24601
arm,2001,83.81407
arm,2002,84.42177
arm,2003,85.04492
arm,2004,85.67044
arm,2005,86.29813
arm,2006,86.92842
arm,2007,87.5609
arm,2008,88.19596
arm,2009,88.83323
arm,2010,89.4729
arm,2011,90.11498
arm,2012,90.75946
arm,2013,91.40915
arm,2014,92.06319
arm,2015,92.7208
arm,2016,93.38101
arm,2017,94.04294
arm,2018,94.7058
arm,2019,94.70979
arm,2020,94.71515
aze,2009,89.22884
aze,2010,89.23639
aze,2011,89.24445
aze,2012,89.25304
aze,2013,89.26219
aze,2014,89.27186
aze,2015,89.28206
aze,2016,89.29277
aze,2017,89.30402
bdi,2004,5.87484
bdi,2005,5.92306
bdi,2006,5.97252
bdi,2007,6.02299
bdi,2008,6.07489
bdi,2009,6.08744
bdi,2010,6.09913
bdi,2011,6.10967
bdi,2012,6.11876
bdi,2013,6.12688
bdi,2014,6.13336
bdi,2015,6.13847
bdi,2016,6.14208
bdi,2017,6.1441
bdi,2018,6.1444
bdi,2019,6.14288
bdi,2020,6.19518
ben,2000,1.62074
ben,2001,1.87166
ben,2002,2.17018
ben,2003,2.70069
ben,2004,3.23321
ben,2005,3.76764
ben,2006,4.30403
ben,2007,4.84248
ben,2008,5.38292
ben,2009,5.92524
ben,2010,6.46957
ben,2011,7.01593
ben,2012,7.56432
ben,2013,8.11461
ben,2014,8.66733
ben,2015,9.22236
ben,2016,9.77973
ben,2017,10.33947
ben,2018,10.9016
ben,2019,11.46616
ben,2020,12.03316
bfa,2000,7.1092
bfa,2001,7.26278
bfa,2002,7.43545
bfa,2003,7.60441
bfa,2004,7.76994
bfa,2005,7.93087
bfa,2006,8.08745
bfa,2007,8.208
bfa,2008,8.29965
bfa,2009,8.3866
bfa,2010,8.4691
bfa,2011,8.54699
bfa,2012,8.61996
bfa,2013,8.68788
bfa,2014,8.75077
bfa,2015,8.80833
bfa,2016,8.86043
bfa,2017,8.90655
bfa,2018,8.94673
bfa,2019,8.98098
bfa,2020,9.00897
bgd,2005,19.96053
bgd,2006,20.18406
bgd,2007,20.41139
bgd,2008,20.64219
bgd,2009,20.87614
bgd,2010,24.42005
bgd,2011,27.9399
bgd,2012,31.43384
bgd,2013,34.90063
bgd,2014,38.3409
bgd,2015,41.7536
bgd,2016,45.1391
bgd,2017,48.49696
bgd,2018,51.82702
bgd,2019,55.12933
bgd,2020,58.40395
bih,2008,97.19483
bih,2009,97.20296
bih,2010,97.21109
bih,2011,97.21925
bih,2012,97.22743
bih,2013,97.23559
bih,2014,97.24377
bih,2015,97.25226
bih,2016,97.26106
blz,2005,82.61808
blz,2006,82.61929
blz,2007,82.6205
blz,2008,82.62171
blz,2009,82.62292
blz,2010,83.47123
blz,2011,84.31832
blz,2012,85.16477
blz,2013,86.0112
blz,2014,86.85826
blz,2015,87.70656
blz,2016,88.55673
blz,2017,89.40937
blz,2018,90.26509
blz,2019,90.26999
blz,2020,90.27548
bol,2010,26.67097
bol,2011,26.7029
bol,2012,26.73461
bol,2013,26.76222
bol,2014,26.78725
bol,2015,26.81213
bol,2016,26.83694
bol,2017,26.86153
bol,2018,26.88634
bol,2019,26.91136
bol,2020,26.93653
brb,2008,88.46935
brb,2009,88.46935
brb,2010,88.46935
brb,2011,88.46935
brb,2012,88.46935
brb,2013,88.46935
brb,2014,88.46935
brb,2015,88.46935
brb,2016,88.46935
btn,2004,75.89257
btn,2005,76.05927
btn,2006,76.16946
btn,2007,76.28114
btn,2008,76.39428
btn,2009,77.80129
btn,2010,79.18509
btn,2011,80.54526
btn,2012,81.8801
btn,2013,83.18977
btn,2014,84.47457
btn,2015,85.73494
btn,2016,86.97128
btn,2017,88.18404
btn,2018,89.37375
btn,2019,90.54092
btn,2020,91.68615
caf,2004,15.76923
caf,2005,15.77616
caf,2006,15.7845
caf,2007,15.79433
caf,2008,15.80557
caf,2009,16.22797
caf,2010,16.65721
caf,2011,17.09402
caf,2012,17.53933
caf,2013,17.99396
caf,2014,18.45863
caf,2015,18.93429
caf,2016,19.42195
caf,2017,19.92213
caf,2018,20.43583
caf,2019,20.96388
caf,2020,21.50713
civ,2006,14.77206
civ,2007,14.84424
civ,2008,14.91658
civ,2009,14.98875
civ,2010,15.0611
civ,2011,15.70222
civ,2012,16.3459
civ,2013,16.99216
civ,2014,17.64097
civ,2015,18.29404
civ,2016,18.95106
civ,2017,19.6123
civ,2018,20.27781
civ,2019,20.94748
civ,2020,21.62138
cmr,2015,35.67319
cmr,2016,35.82343
cmr,2017,35.97291
cmr,2018,36.12215
cmr,2019,36.27063
cmr,2020,36.41861
cod,2014,18.65459
cod,2015,18.73851
cod,2016,18.82348
cod,2017,18.90934
cod,2018,18.99626
cod,2019,19.08408
cod,2020,19.17279
cog,2011,47.29613
cog,2012,47.40718
cog,2013,47.51848
cog,2014,47.62978
cog,2015,47.74108
cog,2016,47.85237
cog,2017,47.96367
cog,2018,48.07473
cog,2019,48.18578
col,2011,66.64167
col,2012,66.80586
col,2013,66.96736
col,2014,67.12617
col,2015,67.28273
col,2016,67.43705
col,2017,67.58867
col,2018,67.73761
col,2019,67.88386
col,2020,68.02786
com,2008,15.54996
com,2009,15.55108
com,2010,15.55276
com,2011,15.55491
com,2012,15.55758
com,2013,15.5608
com,2014,15.5645
com,2015,15.56874
com,2016,15.57353
cri,2005,83.37774
cri,2006,83.38816
cri,2007,83.39837
cri,2008,83.4084
cri,2009,83.41817
cri,2010,83.62741
cri,2011,83.84135
cri,2012,84.05945
cri,2013,84.28135
cri,2014,84.5067
cri,2015,84.73524
cri,2016,84.96667
cri,2017,85.20069
cri,2018,85.43706
cri,2019,85.67552
cri,2020,85.91587
cub,2008,82.79433
cub,2009,82.80652
cub,2010,82.81871
cub,2011,82.83089
cub,2012,82.84308
cub,2013,84.01483
cub,2014,85.1845
cub,2015,86.35379
cub,2016,87.52249
cub,2017,88.69195
cub,2018,89.86192
cub,2019,91.032
cub,2020,92.20205
dom,2008,45.00224
dom,2009,45.21216
dom,2010,45.41684
dom,2011,45.59836
dom,2012,45.76315
dom,2013,45.92321
dom,2014,46.07887
dom,2015,46.23031
dom,2016,46.37735
dom,2017,46.51949
dom,2018,46.6542
dom,2019,46.78164
dom,2020,46.90198
dza,2007,82.91379
dza,2008,83.02934
dza,2009,83.14181
dza,2010,83.25196
dza,2011,83.35933
dza,2012,83.5239
dza,2013,83.68204
dza,2014,83.83419
dza,2015,83.9802
dza,2016,84.12051
dza,2017,84.25496
dza,2018,84.38398
dza,2019,84.50756
dza,2020,84.62598
ecu,2010,86.97552
ecu,2011,86.99727
ecu,2012,87.01579
ecu,2013,87.0343
ecu,2014,87.05268
ecu,2015,87.07119
ecu,2016,87.08957
ecu,2017,87.10794
ecu,2018,87.12835
ecu,2019,87.15064
ecu,2020,87.17496
egy,2000,66.04586
egy,2001,67.54782
egy,2002,69.04805
egy,2003,70.54655
egy,2004,72.0433
egy,2005,73.53833
egy,2006,75.03162
egy,2007,76.51413
egy,2008,77.9914
egy,2009,79.46962
egy,2010,80.94838
egy,2011,82.42805
egy,2012,83.90401
egy,2013,85.38212
egy,2014,86.86214
egy,2015,88.3442
egy,2016,89.82834
egy,2017,89.82697
egy,2018,89.82692
egy,2019,89.82824
egy,2020,89.83093
eth,2010,7.49747
eth,2011,7.56166
eth,2012,7.62724
eth,2013,7.69127
eth,2014,7.75654
eth,2015,7.82289
eth,2016,7.89048
eth,2017,7.95899
eth,2018,8.02888
