global,time,sh_med_beds_zs
world,1970,3.07584
world,1975,2.39768
world,1980,3.59369
world,1985,4.1242
world,1990,3.647
world,1991,3.42695
world,2000,2.90645
world,2001,2.77895
world,2002,2.67685
world,2003,2.90046
world,2005,2.64167
world,2006,2.63267
world,2007,2.68418
world,2008,2.66269
world,2009,2.61712
world,2010,2.62976
world,2011,2.66122
world,2012,2.75592
world,2013,2.79229
world,2014,2.80943
world,2015,2.70609
world,2016,2.75901
world,2017,2.89424
